uniqueid,fullname,gender,dob,party,stateabr,district,statedistid,congress109,congress110,congress111,congress112,congress113,congress114,congress115,congress116,congress117,congress118,twitterhandle,joinedon,yearjoined
McB-MN04,"McCollum, Betty",F,2054-07-12,Democratic,MN,4,2704,109,110,111,112,113,114,115,116,117,118,BettyMcCollum04,2012-01-01,2012
SuB-OH13,"Sutton, Betty",F,2063-07-31,Democratic,OH,13,3913,0,110,111,112,0,0,0,0,0,0,BettySutton,2010-04-01,2010
BiB-CA50,"Bilbray, Brian P.",M,2051-01-28,Republican,CA,50,0650,109,110,111,112,0,0,0,0,0,0,BilbrayCA50,2009-07-01,2009
CaB-LA06,"Cassidy, Bill",M,2057-09-28,Republican,LA,6,2206,0,0,111,112,113,0,0,0,0,0,BillCassidy,2009-07-01,2009
OwW-NY21,"Owens, William L.",M,2049-01-20,Democratic,NY,21,3621,0,0,111,112,113,0,0,0,0,0,BillOwensNY,2010-12-01,2010
PaB-NJ09,"Pascrell, Bill, Jr.",M,2037-01-25,Democratic,NJ,9,3409,109,110,111,112,113,114,115,116,117,118,BillPascrell,2009-01-01,2009
BrR-PA01,"Brady, Robert A.",M,2045-04-07,Democratic,PA,1,4201,109,110,111,112,113,114,115,0,0,0,BobBradyPHL,2010-05-01,2010
JiB-LA01,"Jindal, Bobby",M,1971-06-10,Republican,LA,1,2201,109,110,0,0,0,0,0,0,0,0,BobbyJindal,2008-10-01,2008
RuB-IL01,"Rush, Bobby L.",M,2046-11-23,Democratic,IL,1,1701,109,110,111,112,113,114,115,116,117,0,BobbyLRush,2011-05-01,2011
ScR-VA03,"Scott, Robert C. Bobby",M,2047-04-30,Democratic,VA,3,5103,109,110,111,112,113,114,115,116,117,118,BobbyScott,2010-01-01,2010
FiB-CA51,"Filner, Bob",M,2042-09-04,Democratic,CA,51,0651,109,110,111,112,0,0,0,0,0,0,bobfilner,2009-09-01,2009
InB-SC04,"Inglis, Bob",M,2059-10-11,Republican,SC,4,4504,109,110,111,0,0,0,0,0,0,0,bobinglis,2008-10-01,2008
LaR-OH05,"Latta, Robert E.",M,2056-04-18,Republican,OH,5,3905,0,110,111,112,113,114,115,116,117,118,boblatta,2008-01-01,2008
NeR-OH18,"Ney, Robert W.",M,2054-07-05,Republican,OH,18,3918,109,0,0,0,0,0,0,0,0,0,bobney,2008-09-01,2008
EtB-NC02,"Etheridge, Bob",M,2041-08-07,Democratic,NC,2,3702,109,110,111,0,0,0,0,0,0,0,bobretheridge,2010-11-01,2010
BoN-KS02,"Boyda, Nancy E.",F,2055-08-02,Democratic,KS,2,2002,0,110,0,0,0,0,0,0,0,0,BoydaNancy,2019-05-01,2019
QuB-AZ03,"Quayle, Benjamin",M,1976-11-03,Republican,AZ,3,0403,0,0,0,112,0,0,0,0,0,0,bquayle,2010-02-01,2010
ByB-AL01,"Byrne, Bradley",M,2055-02-16,Republican,AL,1,0101,0,0,0,0,113,114,115,116,0,0,BradleyByrne,2009-05-01,2009
ShB-CA32,"Sherman, Brad",M,2054-10-24,Democratic,CA,32,0632,109,110,111,112,113,114,115,116,117,118,BradSherman,2009-01-01,2009
BrK-TX08,"Brady, Kevin",M,2055-04-11,Republican,TX,8,4808,109,110,111,112,113,114,115,116,117,0,bradyfortexas,2012-05-01,2012
LaB-MI14,"Lawrence, Brenda L.",F,2054-10-18,Democratic,MI,14,2614,0,0,0,0,0,114,115,116,117,0,BrendaLLawrence,2009-07-01,2009
PoB-ME02,"Poliquin, Bruce",M,2053-11-01,Republican,ME,2,2302,0,0,0,0,0,114,115,0,0,0,BrucePoliquin,2009-04-01,2009
OtC-ID01,"Otter, C. L. (Butch)",M,2042-05-03,Republican,ID,1,1601,109,0,0,0,0,0,0,0,0,0,ButchOtter,2009-04-01,2009
RuC-MD02,"Ruppersberger, C. A. Dutch",M,2046-01-31,Democratic,MD,2,2402,109,110,111,112,113,114,115,116,117,118,Call_Me_Dutch,2011-01-01,2011
MiC-MI10,"Miller, Candice S.",F,2054-05-07,Republican,MI,10,2610,109,110,111,112,113,114,0,0,0,0,CandiceMiller,2008-06-01,2008
CuC-FL26,"Curbelo, Carlos",M,1980-03-01,Republican,FL,26,1226,0,0,0,0,0,114,115,0,0,0,carloslcurbelo,2014-10-01,2014
BoC-GA07,"Bourdeaux, Carolyn",F,1970-06-03,Democratic,GA,7,1307,0,0,0,0,0,0,0,0,117,0,Carolyn4GA7,2017-06-01,2017
McC-WA05,"McMorris Rodgers, Cathy",F,2069-05-22,Republican,WA,5,5305,109,110,111,112,113,114,115,116,117,118,cathymcmorris,2008-01-01,2008
RaC-NY13,"Rangel, Charles B.",M,2030-06-11,Democratic,NY,13,3613,109,110,111,112,113,114,0,0,0,0,cbrangel,2009-02-01,2009
EdC-TX17,"Edwards, Chet",M,2051-11-24,Democratic,TX,17,4817,109,110,111,0,0,0,0,0,0,0,CEdwardsTX,2016-11-01,2016
HaR-NC08,"Hayes, Robin",M,2045-08-14,Republican,NC,8,3708,109,110,0,0,0,0,0,0,0,0,ChairmanHayes,2011-01-01,2011
McH-CA25,"McKeon, Howard P. Buck",M,2038-09-09,Republican,CA,25,0625,109,110,111,112,113,0,0,0,0,0,chairmanmckeon,2015-11-01,2015
FaC-PA02,"Fattah, Chaka",M,2056-11-21,Democratic,PA,2,4202,109,110,111,112,113,114,0,0,0,0,chakafattah,2009-06-01,2009
CrC-FL13,"Crist, Charlie",M,2056-07-24,Democratic,FL,13,1213,0,0,0,0,0,0,115,116,117,0,CharlieCrist,2009-05-01,2009
PiC-ME01,"Pingree, Chellie",F,2055-04-02,Democratic,ME,1,2301,0,0,111,112,113,114,115,116,117,118,chelliepingree,2008-06-01,2008
CaC-UT03,"Cannon, Chris",M,2050-10-20,Republican,UT,3,4903,109,110,0,0,0,0,0,0,0,0,chriscanno,2009-01-01,2009
ChC-IN02,"Chocola, Chris",M,2062-02-24,Republican,IN,2,1802,109,0,0,0,0,0,0,0,0,0,ChrisChocola,2012-07-01,2012
GiC-NY19,"Gibson, Christopher P.",M,2064-05-13,Republican,NY,19,3619,0,0,0,112,113,114,0,0,0,0,ChrisGibsonNY,2010-03-01,2010
MuC-CT05,"Murphy, Christopher",M,1973-08-03,Democratic,CT,5,0905,0,110,111,112,0,0,0,0,0,0,ChrisMurphyCT,2010-05-01,2010
VaC-MD08,"Van Hollen, Chris",M,2059-01-10,Democratic,MD,8,2408,109,110,111,112,113,114,0,0,0,0,ChrisVanHollen,2008-12-01,2008
GaJ-IL04,"Garcia, Jesus G. Chuy",M,2056-04-12,Democratic,IL,4,1704,0,0,0,0,0,0,0,116,117,118,ChuyChicago,2014-10-01,2014
RoC-TX23,"Rodriguez, Ciro D.",M,2046-12-09,Democratic,TX,23,4823,0,110,111,0,0,0,0,0,0,0,CiroDRodriguez,2010-06-01,2010
PeC-MN07,"Peterson, Collin C.",M,2044-06-29,Democratic,MN,7,2707,109,110,111,112,113,114,115,116,0,0,collinpeterson,2010-02-01,2010
CoP-CA08,"Cook, Paul",M,2043-03-03,Republican,CA,8,0608,0,0,0,0,113,114,115,116,0,0,ColPaulCookRet,2013-01-01,2013
CoK-TX11,"Conaway, K. Michael",M,2048-06-11,Republican,TX,11,4811,109,110,111,112,113,114,115,116,0,0,ConawayTX11,2011-05-01,2011
SaJ-NJ03,"Saxton, Jim",M,2043-01-22,Republican,NJ,3,3403,109,110,0,0,0,0,0,0,0,0,Cong_Jim_Saxton,2015-04-01,2015
PoB-FL08,"Posey, Bill",M,2047-12-18,Republican,FL,8,1208,0,0,111,112,113,114,115,116,117,118,congbillposey,2009-03-01,2009
BoB-PA02,"Boyle, Brendan F.",M,1977-02-06,Democratic,PA,2,4202,0,0,0,0,0,114,115,116,117,118,CongBoyle,2015-11-01,2015
HuT-KS01,"Huelskamp, Tim",M,2068-11-11,Republican,KS,1,2001,0,0,0,112,113,114,0,0,0,0,CongHuelskamp,2011-01-01,2011
SiM-ID02,"Simpson, Michael K.",M,2050-09-08,Republican,ID,2,1602,109,110,111,112,113,114,115,116,117,118,CongMikeSimpson,2009-09-01,2009
PaS-MS04,"Palazzo, Steven M.",M,1970-02-21,Republican,MS,4,2804,0,0,0,112,113,114,115,116,117,0,CongPalazzo,2011-05-01,2011
MeL-IN06,"Messer, Luke",M,2069-02-27,Republican,IN,6,1806,0,0,0,0,113,114,115,0,0,0,Congress_LukeM,2013-04-01,2013
VaJ-NJ02,"Van Drew, Jefferson",M,2053-02-23,Republican,NJ,2,3402,0,0,0,0,0,0,0,116,117,118,Congressman_JVD,2011-12-01,2011
BeD-MI01,"Benishek, Dan",M,2052-04-20,Republican,MI,1,2601,0,0,0,112,113,114,0,0,0,0,CongressmanDan,2011-01-01,2011
ThG-PA15,"Thompson, Glenn",M,2059-07-27,Republican,PA,15,4215,0,0,111,112,113,114,115,116,117,118,CongressmanGT,2009-01-01,2009
HiJ-GA10,"Hice, Jody B.",M,2060-04-22,Republican,GA,10,1310,0,0,0,0,0,114,115,116,117,0,CongressmanHice,2015-01-01,2015
KeT-NJ07,"Kean, Thomas H.",M,2068-09-05,Republican,NJ,7,3407,0,0,0,0,0,0,0,0,0,118,CongressmanKean,2022-12-01,2022
KrR-IL08,"Krishnamoorthi, Raja",M,1973-07-19,Democratic,IL,8,1708,0,0,0,0,0,0,115,116,117,118,CongressmanRaja,2016-01-01,2016
ChS-FL20,"Cherfilus-McCormick, Sheila",F,1979-01-25,Democratic,FL,20,1220,0,0,0,0,0,0,0,0,117,118,CongresswomanSC,2022-01-01,2022
RoS-NJ09,"Rothman, Steven R.",M,2052-10-14,Democratic,NJ,9,3409,109,110,111,112,0,0,0,0,0,0,CongRothman,2011-09-01,2011
MaC-FL14,"Mack, Connie",M,2067-08-12,Republican,FL,14,1214,109,110,111,112,0,0,0,0,0,0,ConnieMackIV,2009-03-01,2009
LaC-PA17,"Lamb, Conor",M,1984-06-27,Democratic,PA,17,4217,0,0,0,0,0,0,115,116,117,0,ConorLambPA,2017-04-01,2017
CoJ-TN05,"Cooper, Jim",M,2054-06-19,Democratic,TN,5,4705,109,110,111,112,113,114,115,116,117,0,CoopForCongress,2012-06-01,2012
ShC-CT04,"Shays, Christopher",M,2045-10-18,Republican,CT,4,0904,109,110,0,0,0,0,0,0,0,0,CShays,2008-05-01,2008
McC-GA04,"McKinney, Cynthia A.",F,2055-03-17,Democratic,GA,4,1304,109,0,0,0,0,0,0,0,0,0,cynthiamckinney,2009-01-01,2009
BoD-OK02,"Boren, Dan",M,1973-08-02,Democratic,OK,2,4002,109,110,111,112,0,0,0,0,0,0,DanBorenOK,2020-04-01,2020
BuD-IN05,"Burton, Dan",M,2038-06-21,Republican,IN,5,1805,109,110,111,112,0,0,0,0,0,0,danburton,2008-07-01,2008
MaD-NY24,"Maffei, Daniel B.",M,2068-07-04,Democratic,NY,24,3624,0,0,111,0,113,0,0,0,0,0,danielbmaffei,2015-08-01,2015
BrD-VA07,"Brat, Dave",M,2064-07-27,Republican,VA,7,5107,0,0,0,0,113,114,115,0,0,0,DaveBratVA7th,2014-01-01,2014
LoD-IA02,"Loebsack, David",M,2052-12-23,Democratic,IA,2,1902,0,110,111,112,113,114,115,116,0,0,daveloebsack,2012-03-01,2012
CiD-RI01,"Cicilline, David N.",M,2061-07-15,Democratic,RI,1,4401,0,0,0,112,113,114,115,116,117,118,davidcicilline,2009-03-01,2009
WuD-OR01,"Wu, David",M,2055-04-08,Democratic,OR,1,4101,109,110,111,0,0,0,0,0,0,0,DavidWu2010,2010-09-01,2010
RoD-NC02,"Ross, Deborah K.",F,2063-06-20,Democratic,NC,2,3702,0,0,0,0,0,0,0,0,117,118,DeborahRossNC,2015-10-01,2015
ChD-VI00,"Christensen, Donna M.",F,2045-09-19,Democratic,VI,0,0000,109,110,111,112,113,0,0,0,0,0,DelegateDonna,2011-03-01,2011
RaD-IL03,"Ramirez, Delia C.",F,1983-06-02,Democratic,IL,3,1703,0,0,0,0,0,0,0,0,0,118,DeliaRamirezIL,2021-11-01,2021
KuD-OH10,"Kucinich, Dennis J.",M,2046-11-08,Democratic,OH,10,3910,109,110,111,112,0,0,0,0,0,0,Dennis_Kucinich,2008-06-01,2008
RoD-FL15,"Ross, Dennis A.",M,2059-10-18,Republican,FL,15,1215,0,0,0,112,113,114,115,0,0,0,DennisRossSEU,2009-04-01,2009
HeD-WA10,"Heck, Denny",M,2052-07-29,Democratic,WA,10,5310,0,0,0,0,113,114,115,116,0,0,DennyHeck,2009-08-01,2009
DeS-TN04,"DesJarlais, Scott",M,2064-02-21,Republican,TN,4,4704,0,0,0,112,113,114,115,116,117,118,DesJarlaisTN04,2011-01-01,2011
NuD-CA22,"Nunes, Devin",M,1973-10-01,Republican,CA,22,0622,109,110,111,112,113,114,115,116,117,0,DevinNunes,2009-07-01,2009
HaD-WA04,"Hastings, Doc",M,2041-02-07,Republican,WA,4,5304,109,110,111,112,113,0,0,0,0,0,DocHastings,2011-10-01,2011
NoD-NJ01,"Norcross, Donald",M,2058-12-13,Democratic,NJ,1,3401,0,0,0,0,113,114,115,116,117,118,DonaldNorcross,2015-03-01,2015
CaD-LA06,"Cazayoux, Donald J., Jr.",M,2064-01-17,Democratic,LA,6,2206,0,110,0,0,0,0,0,0,0,0,DonCazayoux,2013-08-01,2013
EdD-MD04,"Edwards, Donna F.",F,2058-06-28,Democratic,MD,4,2404,0,110,111,112,113,114,0,0,0,0,DonnaFEdwards,2012-08-01,2012
ShD-FL27,"Shalala, Donna E.",F,2041-02-14,Democratic,FL,27,1227,0,0,0,0,0,0,0,116,0,0,DonnaShalala,2016-05-01,2016
MaD-CA07,"Matsui, Doris O.",F,2044-09-25,Democratic,CA,7,0607,109,110,111,112,113,114,115,116,117,118,DorisMatsui,2009-05-01,2009
WeD-FL15,"Weldon, Dave",M,2053-08-31,Republican,FL,15,1215,109,110,0,0,0,0,0,0,0,0,DrDaveWeldon,2012-05-01,2012
DuN-FL02,"Dunn, Neal P.",M,2053-02-16,Republican,FL,2,1202,0,0,0,0,0,0,115,116,117,118,DrNealDunnFL2,2017-01-01,2017
GiP-GA11,"Gingrey, Phil",M,2042-07-10,Republican,GA,11,1311,109,110,111,112,113,0,0,0,0,0,DrPhilGingrey,2009-04-01,2009
RoD-TN01,"Roe, David P.",M,2045-07-21,Republican,TN,1,4701,0,0,111,112,113,114,115,116,0,0,DrPhilRoe,2009-06-01,2009
RoE-CA39,"Royce, Edward R.",M,2051-12-12,Republican,CA,39,0639,109,110,111,112,113,114,115,0,0,0,EdRRoyce,2010-08-01,2010
ToE-NY10,"Towns, Edolphus",M,2034-07-21,Democratic,NY,10,3610,109,110,111,112,0,0,0,0,0,0,EdTowns,2010-03-01,2010
NoE-DC00,"Norton, Eleanor Holmes",F,2037-06-13,Democratic,DC,0,1100,109,110,111,112,113,114,115,116,117,118,EleanorNorton,2009-03-01,2009
EsE-CT05,"Esty, Elizabeth H.",F,2059-08-25,Democratic,CT,5,0905,0,0,0,0,113,114,115,0,0,0,ElizabethCrypt7,2021-04-01,2021
SyE-OH13,"Sykes, Emilia Strong",F,1986-01-04,Democratic,OH,13,3913,0,0,0,0,0,0,0,0,0,118,EmiliaSykesOH,2013-09-01,2013
EnW-IL12,"Enyart, William L.",M,2049-09-22,Democratic,IL,12,1712,0,0,0,0,113,0,0,0,0,0,EnyartforIL12,2012-06-01,2012
CaE-VA07,"Cantor, Eric",M,2063-06-06,Republican,VA,7,5107,109,110,111,112,113,0,0,0,0,0,EricCantor,2009-01-01,2009
PaE-MN03,"Paulsen, Erik",M,2065-05-14,Republican,MN,3,2703,0,0,111,112,113,114,115,0,0,0,ErikPaulsen,2008-11-01,2008
JeE-WV03,"Jenkins, Evan H.",M,2060-09-12,Republican,WV,3,5403,0,0,0,0,0,114,115,0,0,0,EvanJenkinsWV,2013-07-01,2013
FaB-TX27,"Farenthold, Blake",M,2061-12-12,Republican,TX,27,4827,0,0,0,112,113,114,115,0,0,0,farenthold,2008-12-01,2008
WoF-VA10,"Wolf, Frank R.",M,2039-01-30,Republican,VA,10,5110,109,110,111,112,113,0,0,0,0,0,fmrRepWolf,2011-01-01,2011
LoF-NJ02,"LoBiondo, Frank A.",M,2046-05-12,Republican,NJ,2,3402,109,110,111,112,113,114,115,0,0,0,FrankLoBiondoNJ,2011-01-01,2011
PaF-NJ06,"Pallone, Frank, Jr.",M,2051-10-30,Democratic,NJ,6,3406,109,110,111,112,113,114,115,116,117,118,FrankPallone,2009-04-01,2009
GiG-AZ08,"Giffords, Gabrielle",F,1970-06-08,Democratic,AZ,8,0408,0,110,111,112,0,0,0,0,0,0,GabbyGiffords,2009-06-01,2009
VaG-NM02,"Vasquez, Gabe",M,1984-08-03,Democratic,NM,2,3502,0,0,0,0,0,0,0,0,0,118,Gabe_NM,2013-10-01,2013
TaG-MS04,"Taylor, Gene",M,2053-09-17,Democratic,MS,4,2804,109,110,111,0,0,0,0,0,0,0,GeneTaylor4MS,2014-03-01,2014
GeJ-PA06,"Gerlach, Jim",M,2055-02-25,Republican,PA,6,4206,109,110,111,112,113,0,0,0,0,0,GerlachforPA,2009-05-01,2009
CoG-VA11,"Connolly, Gerald E.",M,2050-03-30,Democratic,VA,11,5111,0,0,111,112,113,114,115,116,117,118,GerryConnolly,2009-09-01,2009
GuG-MN01,"Gutknecht, Gil",M,2051-03-20,Republican,MN,1,2701,109,0,0,0,0,0,0,0,0,0,gilgman,2014-10-01,2014
GiK-NY20,"Gillibrand, Kirsten E.",F,2066-12-09,Democratic,NY,20,3620,0,110,0,0,0,0,0,0,0,0,gillibrandny,2017-08-01,2017
BrG-FL05,"Brown-Waite, Ginny",F,2043-10-05,Republican,FL,5,1205,109,110,111,0,0,0,0,0,0,0,GinnyBrownWaite,2010-01-01,2010
BuG-NC01,"Butterfield, G. K.",M,2047-04-27,Democratic,NC,1,3701,109,110,111,112,113,114,115,116,117,0,GKButterfield,2011-12-01,2011
NyG-VA02,"Nye, Glenn C.",M,1974-09-09,Democratic,VA,2,5102,0,0,111,0,0,0,0,0,0,0,GlennNye,2008-08-01,2008
EmT-MN06,"Emmer, Tom",M,2061-03-03,Republican,MN,6,2706,0,0,0,0,0,114,115,116,117,118,GOPmajoritywhip,2014-12-01,2014
GiG-MT00,"Gianforte, Greg",M,2061-04-17,Republican,MT,0,3000,0,0,0,0,0,0,115,116,0,0,GovGianforte,2020-12-01,2020
InJ-WA01,"Inslee, Jay",M,2051-02-09,Democratic,WA,1,5301,109,110,111,112,0,0,0,0,0,0,GovInslee,2013-01-01,2013
FaM-OK05,"Fallin, Mary",F,2054-12-09,Republican,OK,5,4005,0,110,111,0,0,0,0,0,0,0,GovMaryFallin,2010-09-01,2010
NaG-CA31,"Napolitano, Grace F.",F,2036-12-04,Democratic,CA,31,0631,109,110,111,112,113,114,115,116,117,118,gracenapolitano,2010-06-01,2010
ReG-PA14,"Reschenthaler, Guy",M,1983-04-17,Republican,PA,14,4214,0,0,0,0,0,0,0,116,117,118,GReschenthaler,2015-01-01,2015
SaM-GU00,"San Nicolas, Michael F. Q.",M,1981-01-30,Democratic,GU,0,0000,0,0,0,0,0,0,0,116,117,0,GuamCongressman,2011-08-01,2011
GrG-FL02,"Graham, Gwen",F,2063-01-31,Democratic,FL,2,1202,0,0,0,0,0,114,0,0,0,0,GwenGraham,2013-03-01,2013
ClH-MI13,"Clarke, Hansen",M,2057-03-02,Democratic,MI,13,2613,0,0,0,112,0,0,0,0,0,0,HansenClarke,2010-05-01,2010
FoH-TN09,"Ford, Harold E., Jr.",M,1970-05-11,Democratic,TN,9,4709,109,0,0,0,0,0,0,0,0,0,HaroldFordJr,2009-07-01,2009
HaG-MS03,"Harper, Gregg",M,2056-06-01,Republican,MS,3,2803,0,0,111,112,113,114,115,0,0,0,HarperCampaign,2009-10-01,2009
TeH-NM02,"Teague, Harry",M,2049-06-29,Democratic,NM,2,3502,0,0,111,0,0,0,0,0,0,0,Harry4Congress,2010-06-01,2010
MiH-AZ05,"Mitchell, Harry E.",M,2040-07-18,Democratic,AZ,5,0405,0,110,111,0,0,0,0,0,0,0,HarryEMitchell,2009-04-01,2009
HaM-PA04,"Hart, Melissa A.",F,2062-04-04,Republican,PA,4,4204,109,0,0,0,0,0,0,0,0,0,HartofPgh,2014-07-01,2014
WiH-NM01,"Wilson, Heather",F,2060-12-30,Republican,NM,1,3501,109,110,0,0,0,0,0,0,0,0,HeatherAnWilson,2011-03-01,2011
ShH-NC11,"Shuler, Heath",M,1971-12-31,Democratic,NC,11,3711,0,110,111,112,0,0,0,0,0,0,HeathShuler5,2017-07-01,2017
HeJ-WA03,"Herrera Beutler, Jaime",F,1978-11-03,Republican,WA,3,5303,0,0,0,112,113,114,115,116,117,0,HerreraBeutler,2011-01-01,2011
SoH-CA32,"Solis, Hilda L.",F,2057-10-20,Democratic,CA,32,0632,109,110,0,0,0,0,0,0,0,0,HildaSolis,2014-03-01,2014
HoK-OK05,"Horn, Kendra S.",F,1976-06-09,Democratic,OK,5,4005,0,0,0,0,0,0,0,116,0,0,HornForCongress,2017-06-01,2017
BeH-CA28,"Berman, Howard L.",M,2041-04-15,Democratic,CA,28,0628,109,110,111,112,0,0,0,0,0,0,HowardBerman,2011-11-01,2011
CoH-NC06,"Coble, Howard",M,2031-03-18,Republican,NC,6,3706,109,110,111,112,113,0,0,0,0,0,HowardCoble,2011-06-01,2011
SkI-MO04,"Skelton, Ike",M,2031-12-20,Democratic,MO,4,2904,109,110,111,0,0,0,0,0,0,0,IkeSkelton,2010-01-01,2010
OmI-MN05,"Omar, Ilhan",F,1982-10-04,Democratic,MN,5,2705,0,0,0,0,0,0,0,116,117,118,Ilhan,2019-01-01,2019
WaZ-TN03,"Wamp, Zach",M,2057-10-28,Republican,TN,3,4703,109,110,111,0,0,0,0,0,0,0,IOWamp,2017-04-01,2017
IsE-OK05,"Istook, Ernest J., Jr.",M,2050-02-11,Republican,OK,5,4005,109,0,0,0,0,0,0,0,0,0,Istook,2008-07-01,2008
KiJ-GA01,"Kingston, Jack",M,2055-04-24,Republican,GA,1,1301,109,110,111,112,113,0,0,0,0,0,JackKingston,2009-04-01,2009
JaS-TX18,"Jackson Lee, Sheila",F,2050-01-12,Democratic,TX,18,4818,109,110,111,112,113,114,115,116,117,118,JacksonLeeTX18,2009-01-01,2009
HiJ-CT04,"Himes, James A.",M,2066-07-05,Democratic,CT,4,0904,0,0,111,112,113,114,115,116,117,118,jahimes,2009-04-01,2009
HaJ-CA36,"Harman, Jane",F,2045-06-28,Democratic,CA,36,0636,109,110,111,0,0,0,0,0,0,0,JaneHarmanCA,2022-08-01,2022
HaJ-CA44,"Hahn, Janice",F,2052-03-30,Democratic,CA,44,0644,0,0,0,112,113,114,0,0,0,0,JaniceHahn,2009-02-01,2009
AlJ-PA04,"Altmire, Jason",M,2068-03-07,Democratic,PA,4,4204,0,110,111,112,0,0,0,0,0,0,jasonaltmire,2011-03-01,2011
