uniqueid,fullname,gender,dob,party,stateabr,district,congress109,twitterhandle,joinedon,yearjoined,sessionstartedon,sessionendedon,agewhensessionstarted
MiC-MI10,"Miller, Candice S.",F,2054-05-07,Republican,MI,10,109,CandiceMiller,2008-06-01,2008,2005-01-03,2007-01-03,-49
CuC-FL26,"Curbelo, Carlos",M,1980-03-01,Republican,FL,26,0,carloslcurbelo,2014-10-01,2014,,,
BoC-GA07,"Bourdeaux, Carolyn",F,1970-06-03,Democratic,GA,7,0,Carolyn4GA7,2017-06-01,2017,,,
McC-WA05,"McMorris Rodgers, Cathy",F,2069-05-22,Republican,WA,5,109,cathymcmorris,2008-01-01,2008,2005-01-03,2007-01-03,-64
RaC-NY13,"Rangel, Charles B.",M,2030-06-11,Democratic,NY,13,109,cbrangel,2009-02-01,2009,2005-01-03,2007-01-03,-25
EdC-TX17,"Edwards, Chet",M,2051-11-24,Democratic,TX,17,109,CEdwardsTX,2016-11-01,2016,2005-01-03,2007-01-03,-46
HaR-NC08,"Hayes, Robin",M,2045-08-14,Republican,NC,8,109,ChairmanHayes,2011-01-01,2011,2005-01-03,2007-01-03,-40
McH-CA25,"McKeon, Howard P. Buck",M,2038-09-09,Republican,CA,25,109,chairmanmckeon,2015-11-01,2015,2005-01-03,2007-01-03,-33
FaC-PA02,"Fattah, Chaka",M,2056-11-21,Democratic,PA,2,109,chakafattah,2009-06-01,2009,2005-01-03,2007-01-03,-51
CrC-FL13,"Crist, Charlie",M,2056-07-24,Democratic,FL,13,0,CharlieCrist,2009-05-01,2009,,,
PiC-ME01,"Pingree, Chellie",F,2055-04-02,Democratic,ME,1,0,chelliepingree,2008-06-01,2008,,,
CaC-UT03,"Cannon, Chris",M,2050-10-20,Republican,UT,3,109,chriscanno,2009-01-01,2009,2005-01-03,2007-01-03,-45
ChC-IN02,"Chocola, Chris",M,2062-02-24,Republican,IN,2,109,ChrisChocola,2012-07-01,2012,2005-01-03,2007-01-03,-57
GiC-NY19,"Gibson, Christopher P.",M,2064-05-13,Republican,NY,19,0,ChrisGibsonNY,2010-03-01,2010,,,
MuC-CT05,"Murphy, Christopher",M,1973-08-03,Democratic,CT,5,0,ChrisMurphyCT,2010-05-01,2010,,,
VaC-MD08,"Van Hollen, Chris",M,2059-01-10,Democratic,MD,8,109,ChrisVanHollen,2008-12-01,2008,2005-01-03,2007-01-03,-54
GaJ-IL04,"Garcia, Jesus G. Chuy",M,2056-04-12,Democratic,IL,4,0,ChuyChicago,2014-10-01,2014,,,
RoC-TX23,"Rodriguez, Ciro D.",M,2046-12-09,Democratic,TX,23,0,CiroDRodriguez,2010-06-01,2010,,,
PeC-MN07,"Peterson, Collin C.",M,2044-06-29,Democratic,MN,7,109,collinpeterson,2010-02-01,2010,2005-01-03,2007-01-03,-39
CoP-CA08,"Cook, Paul",M,2043-03-03,Republican,CA,8,0,ColPaulCookRet,2013-01-01,2013,,,
CoK-TX11,"Conaway, K. Michael",M,2048-06-11,Republican,TX,11,109,ConawayTX11,2011-05-01,2011,2005-01-03,2007-01-03,-43
SaJ-NJ03,"Saxton, Jim",M,2043-01-22,Republican,NJ,3,109,Cong_Jim_Saxton,2015-04-01,2015,2005-01-03,2007-01-03,-38
PoB-FL08,"Posey, Bill",M,2047-12-18,Republican,FL,8,0,congbillposey,2009-03-01,2009,,,
BoB-PA02,"Boyle, Brendan F.",M,1977-02-06,Democratic,PA,2,0,CongBoyle,2015-11-01,2015,,,
HuT-KS01,"Huelskamp, Tim",M,2068-11-11,Republican,KS,1,0,CongHuelskamp,2011-01-01,2011,,,
SiM-ID02,"Simpson, Michael K.",M,2050-09-08,Republican,ID,2,109,CongMikeSimpson,2009-09-01,2009,2005-01-03,2007-01-03,-45
PaS-MS04,"Palazzo, Steven M.",M,1970-02-21,Republican,MS,4,0,CongPalazzo,2011-05-01,2011,,,
MeL-IN06,"Messer, Luke",M,2069-02-27,Republican,IN,6,0,Congress_LukeM,2013-04-01,2013,,,
VaJ-NJ02,"Van Drew, Jefferson",M,2053-02-23,Republican,NJ,2,0,Congressman_JVD,2011-12-01,2011,,,
BeD-MI01,"Benishek, Dan",M,2052-04-20,Republican,MI,1,0,CongressmanDan,2011-01-01,2011,,,
ThG-PA15,"Thompson, Glenn",M,2059-07-27,Republican,PA,15,0,CongressmanGT,2009-01-01,2009,,,
HiJ-GA10,"Hice, Jody B.",M,2060-04-22,Republican,GA,10,0,CongressmanHice,2015-01-01,2015,,,
KeT-NJ07,"Kean, Thomas H.",M,2068-09-05,Republican,NJ,7,0,CongressmanKean,2022-12-01,2022,,,
KrR-IL08,"Krishnamoorthi, Raja",M,1973-07-19,Democratic,IL,8,0,CongressmanRaja,2016-01-01,2016,,,
ChS-FL20,"Cherfilus-McCormick, Sheila",F,1979-01-25,Democratic,FL,20,0,CongresswomanSC,2022-01-01,2022,,,
RoS-NJ09,"Rothman, Steven R.",M,2052-10-14,Democratic,NJ,9,109,CongRothman,2011-09-01,2011,2005-01-03,2007-01-03,-47
MaC-FL14,"Mack, Connie",M,2067-08-12,Republican,FL,14,109,ConnieMackIV,2009-03-01,2009,2005-01-03,2007-01-03,-62
LaC-PA17,"Lamb, Conor",M,1984-06-27,Democratic,PA,17,0,ConorLambPA,2017-04-01,2017,,,
CoJ-TN05,"Cooper, Jim",M,2054-06-19,Democratic,TN,5,109,CoopForCongress,2012-06-01,2012,2005-01-03,2007-01-03,-49
ShC-CT04,"Shays, Christopher",M,2045-10-18,Republican,CT,4,109,CShays,2008-05-01,2008,2005-01-03,2007-01-03,-40
McC-GA04,"McKinney, Cynthia A.",F,2055-03-17,Democratic,GA,4,109,cynthiamckinney,2009-01-01,2009,2005-01-03,2007-01-03,-50
BoD-OK02,"Boren, Dan",M,1973-08-02,Democratic,OK,2,109,DanBorenOK,2020-04-01,2020,2005-01-03,2007-01-03,31
BuD-IN05,"Burton, Dan",M,2038-06-21,Republican,IN,5,109,danburton,2008-07-01,2008,2005-01-03,2007-01-03,-33
MaD-NY24,"Maffei, Daniel B.",M,2068-07-04,Democratic,NY,24,0,danielbmaffei,2015-08-01,2015,,,
BrD-VA07,"Brat, Dave",M,2064-07-27,Republican,VA,7,0,DaveBratVA7th,2014-01-01,2014,,,
LoD-IA02,"Loebsack, David",M,2052-12-23,Democratic,IA,2,0,daveloebsack,2012-03-01,2012,,,
CiD-RI01,"Cicilline, David N.",M,2061-07-15,Democratic,RI,1,0,davidcicilline,2009-03-01,2009,,,
WuD-OR01,"Wu, David",M,2055-04-08,Democratic,OR,1,109,DavidWu2010,2010-09-01,2010,2005-01-03,2007-01-03,-50
RoD-NC02,"Ross, Deborah K.",F,2063-06-20,Democratic,NC,2,0,DeborahRossNC,2015-10-01,2015,,,
ChD-VI00,"Christensen, Donna M.",F,2045-09-19,Democratic,VI,0,109,DelegateDonna,2011-03-01,2011,2005-01-03,2007-01-03,-40
RaD-IL03,"Ramirez, Delia C.",F,1983-06-02,Democratic,IL,3,0,DeliaRamirezIL,2021-11-01,2021,,,
KuD-OH10,"Kucinich, Dennis J.",M,2046-11-08,Democratic,OH,10,109,Dennis_Kucinich,2008-06-01,2008,2005-01-03,2007-01-03,-41
RoD-FL15,"Ross, Dennis A.",M,2059-10-18,Republican,FL,15,0,DennisRossSEU,2009-04-01,2009,,,
HeD-WA10,"Heck, Denny",M,2052-07-29,Democratic,WA,10,0,DennyHeck,2009-08-01,2009,,,
DeS-TN04,"DesJarlais, Scott",M,2064-02-21,Republican,TN,4,0,DesJarlaisTN04,2011-01-01,2011,,,
NuD-CA22,"Nunes, Devin",M,1973-10-01,Republican,CA,22,109,DevinNunes,2009-07-01,2009,2005-01-03,2007-01-03,31
HaD-WA04,"Hastings, Doc",M,2041-02-07,Republican,WA,4,109,DocHastings,2011-10-01,2011,2005-01-03,2007-01-03,-36
NoD-NJ01,"Norcross, Donald",M,2058-12-13,Democratic,NJ,1,0,DonaldNorcross,2015-03-01,2015,,,
CaD-LA06,"Cazayoux, Donald J., Jr.",M,2064-01-17,Democratic,LA,6,0,DonCazayoux,2013-08-01,2013,,,
EdD-MD04,"Edwards, Donna F.",F,2058-06-28,Democratic,MD,4,0,DonnaFEdwards,2012-08-01,2012,,,
ShD-FL27,"Shalala, Donna E.",F,2041-02-14,Democratic,FL,27,0,DonnaShalala,2016-05-01,2016,,,
MaD-CA07,"Matsui, Doris O.",F,2044-09-25,Democratic,CA,7,109,DorisMatsui,2009-05-01,2009,2005-01-03,2007-01-03,-39
WeD-FL15,"Weldon, Dave",M,2053-08-31,Republican,FL,15,109,DrDaveWeldon,2012-05-01,2012,2005-01-03,2007-01-03,-48
DuN-FL02,"Dunn, Neal P.",M,2053-02-16,Republican,FL,2,0,DrNealDunnFL2,2017-01-01,2017,,,
GiP-GA11,"Gingrey, Phil",M,2042-07-10,Republican,GA,11,109,DrPhilGingrey,2009-04-01,2009,2005-01-03,2007-01-03,-37
RoD-TN01,"Roe, David P.",M,2045-07-21,Republican,TN,1,0,DrPhilRoe,2009-06-01,2009,,,
RoE-CA39,"Royce, Edward R.",M,2051-12-12,Republican,CA,39,109,EdRRoyce,2010-08-01,2010,2005-01-03,2007-01-03,-46
ToE-NY10,"Towns, Edolphus",M,2034-07-21,Democratic,NY,10,109,EdTowns,2010-03-01,2010,2005-01-03,2007-01-03,-29
NoE-DC00,"Norton, Eleanor Holmes",F,2037-06-13,Democratic,DC,0,109,EleanorNorton,2009-03-01,2009,2005-01-03,2007-01-03,-32
EsE-CT05,"Esty, Elizabeth H.",F,2059-08-25,Democratic,CT,5,0,ElizabethCrypt7,2021-04-01,2021,,,
SyE-OH13,"Sykes, Emilia Strong",F,1986-01-04,Democratic,OH,13,0,EmiliaSykesOH,2013-09-01,2013,,,
EnW-IL12,"Enyart, William L.",M,2049-09-22,Democratic,IL,12,0,EnyartforIL12,2012-06-01,2012,,,
CaE-VA07,"Cantor, Eric",M,2063-06-06,Republican,VA,7,109,EricCantor,2009-01-01,2009,2005-01-03,2007-01-03,-58
PaE-MN03,"Paulsen, Erik",M,2065-05-14,Republican,MN,3,0,ErikPaulsen,2008-11-01,2008,,,
JeE-WV03,"Jenkins, Evan H.",M,2060-09-12,Republican,WV,3,0,EvanJenkinsWV,2013-07-01,2013,,,
FaB-TX27,"Farenthold, Blake",M,2061-12-12,Republican,TX,27,0,farenthold,2008-12-01,2008,,,
WoF-VA10,"Wolf, Frank R.",M,2039-01-30,Republican,VA,10,109,fmrRepWolf,2011-01-01,2011,2005-01-03,2007-01-03,-34
LoF-NJ02,"LoBiondo, Frank A.",M,2046-05-12,Republican,NJ,2,109,FrankLoBiondoNJ,2011-01-01,2011,2005-01-03,2007-01-03,-41
PaF-NJ06,"Pallone, Frank, Jr.",M,2051-10-30,Democratic,NJ,6,109,FrankPallone,2009-04-01,2009,2005-01-03,2007-01-03,-46
GiG-AZ08,"Giffords, Gabrielle",F,1970-06-08,Democratic,AZ,8,0,GabbyGiffords,2009-06-01,2009,,,
VaG-NM02,"Vasquez, Gabe",M,1984-08-03,Democratic,NM,2,0,Gabe_NM,2013-10-01,2013,,,
TaG-MS04,"Taylor, Gene",M,2053-09-17,Democratic,MS,4,109,GeneTaylor4MS,2014-03-01,2014,2005-01-03,2007-01-03,-48
GeJ-PA06,"Gerlach, Jim",M,2055-02-25,Republican,PA,6,109,GerlachforPA,2009-05-01,2009,2005-01-03,2007-01-03,-50
CoG-VA11,"Connolly, Gerald E.",M,2050-03-30,Democratic,VA,11,0,GerryConnolly,2009-09-01,2009,,,
GuG-MN01,"Gutknecht, Gil",M,2051-03-20,Republican,MN,1,109,gilgman,2014-10-01,2014,2005-01-03,2007-01-03,-46
GiK-NY20,"Gillibrand, Kirsten E.",F,2066-12-09,Democratic,NY,20,0,gillibrandny,2017-08-01,2017,,,
BrG-FL05,"Brown-Waite, Ginny",F,2043-10-05,Republican,FL,5,109,GinnyBrownWaite,2010-01-01,2010,2005-01-03,2007-01-03,-38
BuG-NC01,"Butterfield, G. K.",M,2047-04-27,Democratic,NC,1,109,GKButterfield,2011-12-01,2011,2005-01-03,2007-01-03,-42
NyG-VA02,"Nye, Glenn C.",M,1974-09-09,Democratic,VA,2,0,GlennNye,2008-08-01,2008,,,
EmT-MN06,"Emmer, Tom",M,2061-03-03,Republican,MN,6,0,GOPmajoritywhip,2014-12-01,2014,,,
GiG-MT00,"Gianforte, Greg",M,2061-04-17,Republican,MT,0,0,GovGianforte,2020-12-01,2020,,,
InJ-WA01,"Inslee, Jay",M,2051-02-09,Democratic,WA,1,109,GovInslee,2013-01-01,2013,2005-01-03,2007-01-03,-46
FaM-OK05,"Fallin, Mary",F,2054-12-09,Republican,OK,5,0,GovMaryFallin,2010-09-01,2010,,,
NaG-CA31,"Napolitano, Grace F.",F,2036-12-04,Democratic,CA,31,109,gracenapolitano,2010-06-01,2010,2005-01-03,2007-01-03,-31
ReG-PA14,"Reschenthaler, Guy",M,1983-04-17,Republican,PA,14,0,GReschenthaler,2015-01-01,2015,,,
SaM-GU00,"San Nicolas, Michael F. Q.",M,1981-01-30,Democratic,GU,0,0,GuamCongressman,2011-08-01,2011,,,
GrG-FL02,"Graham, Gwen",F,2063-01-31,Democratic,FL,2,0,GwenGraham,2013-03-01,2013,,,
ClH-MI13,"Clarke, Hansen",M,2057-03-02,Democratic,MI,13,0,HansenClarke,2010-05-01,2010,,,
FoH-TN09,"Ford, Harold E., Jr.",M,1970-05-11,Democratic,TN,9,109,HaroldFordJr,2009-07-01,2009,2005-01-03,2007-01-03,34
HaG-MS03,"Harper, Gregg",M,2056-06-01,Republican,MS,3,0,HarperCampaign,2009-10-01,2009,,,
TeH-NM02,"Teague, Harry",M,2049-06-29,Democratic,NM,2,0,Harry4Congress,2010-06-01,2010,,,
MiH-AZ05,"Mitchell, Harry E.",M,2040-07-18,Democratic,AZ,5,0,HarryEMitchell,2009-04-01,2009,,,
HaM-PA04,"Hart, Melissa A.",F,2062-04-04,Republican,PA,4,109,HartofPgh,2014-07-01,2014,2005-01-03,2007-01-03,-57
WiH-NM01,"Wilson, Heather",F,2060-12-30,Republican,NM,1,109,HeatherAnWilson,2011-03-01,2011,2005-01-03,2007-01-03,-56
ShH-NC11,"Shuler, Heath",M,1971-12-31,Democratic,NC,11,0,HeathShuler5,2017-07-01,2017,,,
HeJ-WA03,"Herrera Beutler, Jaime",F,1978-11-03,Republican,WA,3,0,HerreraBeutler,2011-01-01,2011,,,
SoH-CA32,"Solis, Hilda L.",F,2057-10-20,Democratic,CA,32,109,HildaSolis,2014-03-01,2014,2005-01-03,2007-01-03,-52
HoK-OK05,"Horn, Kendra S.",F,1976-06-09,Democratic,OK,5,0,HornForCongress,2017-06-01,2017,,,
BeH-CA28,"Berman, Howard L.",M,2041-04-15,Democratic,CA,28,109,HowardBerman,2011-11-01,2011,2005-01-03,2007-01-03,-36
CoH-NC06,"Coble, Howard",M,2031-03-18,Republican,NC,6,109,HowardCoble,2011-06-01,2011,2005-01-03,2007-01-03,-26
SkI-MO04,"Skelton, Ike",M,2031-12-20,Democratic,MO,4,109,IkeSkelton,2010-01-01,2010,2005-01-03,2007-01-03,-26
OmI-MN05,"Omar, Ilhan",F,1982-10-04,Democratic,MN,5,0,Ilhan,2019-01-01,2019,,,
WaZ-TN03,"Wamp, Zach",M,2057-10-28,Republican,TN,3,109,IOWamp,2017-04-01,2017,2005-01-03,2007-01-03,-52
IsE-OK05,"Istook, Ernest J., Jr.",M,2050-02-11,Republican,OK,5,109,Istook,2008-07-01,2008,2005-01-03,2007-01-03,-45
KiJ-GA01,"Kingston, Jack",M,2055-04-24,Republican,GA,1,109,JackKingston,2009-04-01,2009,2005-01-03,2007-01-03,-50
JaS-TX18,"Jackson Lee, Sheila",F,2050-01-12,Democratic,TX,18,109,JacksonLeeTX18,2009-01-01,2009,2005-01-03,2007-01-03,-45
HiJ-CT04,"Himes, James A.",M,2066-07-05,Democratic,CT,4,0,jahimes,2009-04-01,2009,,,
HaJ-CA36,"Harman, Jane",F,2045-06-28,Democratic,CA,36,109,JaneHarmanCA,2022-08-01,2022,2005-01-03,2007-01-03,-40
HaJ-CA44,"Hahn, Janice",F,2052-03-30,Democratic,CA,44,0,JaniceHahn,2009-02-01,2009,,,
AlJ-PA04,"Altmire, Jason",M,2068-03-07,Democratic,PA,4,0,jasonaltmire,2011-03-01,2011,,,
ChJ-UT03,"Chaffetz, Jason",M,2067-03-26,Republican,UT,3,0,jasoninthehouse,2008-12-01,2008,,,
ObJ-CA23,"Obernolte, Jay",M,1970-08-18,Republican,CA,23,0,JayObernolte,2011-01-01,2011,,,
DeJ-CA10,"Denham, Jeff",M,2067-07-29,Republican,CA,10,0,JeffDenham,2009-02-01,2009,,,
FlJ-AZ06,"Flake, Jeff",M,2062-12-31,Republican,AZ,6,109,JeffFlake,2008-08-01,2008,2005-01-03,2007-01-03,-58
FoJ-NE01,"Fortenberry, Jeff",M,2060-12-27,Republican,NE,1,109,JeffFortenberry,2009-01-01,2009,2005-01-03,2007-01-03,-56
KiJ-VA02,"Kiggans, Jennifer A",F,1971-06-18,Republican,VA,2,0,JenKiggans,2019-04-01,2019,,,
MoJ-KS01,"Moran, Jerry",M,2054-05-29,Republican,KS,1,109,JerryMoran,2009-01-01,2009,2005-01-03,2007-01-03,-49
WeJ-IL11,"Weller, Jerry",M,2057-07-07,Republican,IL,11,109,JerryWeller1,2013-12-01,2013,2005-01-03,2007-01-03,-52
JoJ-OH04,"Jordan, Jim",M,2064-02-17,Republican,OH,4,0,Jim_Jordan,2008-01-01,2008,,,
MoJ-VA08,"Moran, James P.",M,2045-05-16,Democratic,VA,8,109,Jim_Moran,2009-06-01,2009,2005-01-03,2007-01-03,-40
LaJ-RI02,"Langevin, James R.",M,2064-04-22,Democratic,RI,2,109,JimLangevin,2009-01-01,2009,2005-01-03,2007-01-03,-59
NuJ-IA01,"Nussle, Jim",M,2060-06-27,Republican,IA,1,109,JimNussle,2009-02-01,2009,2005-01-03,2007-01-03,-55
ObJ-MN08,"Oberstar, James L.",M,2034-09-10,Democratic,MN,8,109,JimOberstar,2009-02-09,2009,2005-01-03,2007-01-03,-29
ReJ-OH16,"Renacci, James B.",M,2058-12-03,Republican,OH,16,0,JimRenacci,2014-02-01,2014,,,
RyJ-KS02,"Ryun, Jim",M,2047-04-29,Republican,KS,2,109,jimryun,2009-12-01,2009,2005-01-03,2007-01-03,-42
MoJ-GU00,"Moylan, James C.",M,2062-07-18,Republican,GU,0,0,JMoylanforGuam,2022-12-01,2022,,,
CaJ-TX20,"Castro, Joaquin",M,1974-09-16,Democratic,TX,20,0,JoaquinCastrotx,2010-01-01,2010,,,
CrJ-NY14,"Crowley, Joseph",M,2062-03-16,Democratic,NY,14,109,JoeCrowleyNY,2010-02-01,2010,2005-01-03,2007-01-03,-57
GaJ-FL26,"Garcia, Joe",M,2063-10-19,Democratic,FL,26,0,JoeGarcia,2007-12-01,2007,,,
KeJ-MA04,"Kennedy, Joseph P., III",M,1980-10-04,Democratic,MA,4,0,joekennedy,2013-01-01,2013,,,
PiJ-PA16,"Pitts, Joseph R.",M,2039-10-10,Republican,PA,16,109,JoePitts4PA,2010-02-01,2010,2005-01-03,2007-01-03,-34
SeJ-NY23,"Sempolinski, Joseph",M,1983-02-10,Republican,NY,23,0,JoeSempo,2021-01-01,2021,,,
SeJ-PA07,"Sestak, Joe",M,2051-12-12,Democratic,PA,7,0,JoeSestak,2009-06-01,2009,,,
BaJ-GA12,"Barrow, John",M,2055-10-31,Democratic,GA,12,109,JohnBarrowMC,2020-04-01,2020,2005-01-03,2007-01-03,-50
BoJ-AR03,"Boozman, John",M,2050-12-10,Republican,AR,3,109,JohnBoozman,2007-04-01,2007,2005-01-03,2007-01-03,-45
CaJ-DE00,"Carney, John C., Jr.",M,2056-05-20,Democratic,DE,0,0,JohnCarneyDE,2011-01-01,2011,,,
CuJ-TX07,"Culberson, John Abney",M,2056-08-24,Republican,TX,7,109,johnculberson,2008-05-01,2008,2005-01-03,2007-01-03,-51
DeJ-MD06,"Delaney, John K.",M,2063-04-16,Democratic,MD,6,0,JohnDelaney,2011-12-01,2011,,,
DiJ-MI12,"Dingell, John D.",M,2026-07-08,Democratic,MI,12,109,JohnDingell,2010-01-01,2010,2005-01-03,2007-01-03,-21
JaJ-MI10,"James, John",M,1981-06-08,Republican,MI,10,0,JohnJamesMI,2017-05-01,2017,,,
