uniqueid,fullname,gender,dob,party,stateabr,district,congress109,twitterhandle,Twitter,joinedon,yearjoined,sessionstartedon,sessionendedon,agewhensessionstarted,joined109
ToE-NY10,"Towns, Edolphus",M,7/21/34,Democratic,NY,10,109,EdTowns,1,3/1/10,2010,1/3/05,1/3/07,-29,
NoE-DC00,"Norton, Eleanor Holmes",F,6/13/37,Democratic,DC,0,109,EleanorNorton,1,3/1/09,2009,1/3/05,1/3/07,-32,
CaE-VA07,"Cantor, Eric",M,6/6/63,Republican,VA,7,109,EricCantor,1,1/1/09,2009,1/3/05,1/3/07,-58,
WoF-VA10,"Wolf, Frank R.",M,1/30/39,Republican,VA,10,109,fmrRepWolf,1,1/1/11,2011,1/3/05,1/3/07,-34,
LoF-NJ02,"LoBiondo, Frank A.",M,5/12/46,Republican,NJ,2,109,FrankLoBiondoNJ,1,1/1/11,2011,1/3/05,1/3/07,-41,
PaF-NJ06,"Pallone, Frank, Jr.",M,10/30/51,Democratic,NJ,6,109,FrankPallone,1,4/1/09,2009,1/3/05,1/3/07,-46,
TaG-MS04,"Taylor, Gene",M,9/17/53,Democratic,MS,4,109,GeneTaylor4MS,1,3/1/14,2014,1/3/05,1/3/07,-48,
GeJ-PA06,"Gerlach, Jim",M,2/25/55,Republican,PA,6,109,GerlachforPA,1,5/1/09,2009,1/3/05,1/3/07,-50,
GuG-MN01,"Gutknecht, Gil",M,3/20/51,Republican,MN,1,109,gilgman,1,10/1/14,2014,1/3/05,1/3/07,-46,
BrG-FL05,"Brown-Waite, Ginny",F,10/5/43,Republican,FL,5,109,GinnyBrownWaite,1,1/1/10,2010,1/3/05,1/3/07,-38,
BuG-NC01,"Butterfield, G. K.",M,4/27/47,Democratic,NC,1,109,GKButterfield,1,12/1/11,2011,1/3/05,1/3/07,-42,
InJ-WA01,"Inslee, Jay",M,2/9/51,Democratic,WA,1,109,GovInslee,1,1/1/13,2013,1/3/05,1/3/07,-46,
NaG-CA31,"Napolitano, Grace F.",F,12/4/36,Democratic,CA,31,109,gracenapolitano,1,6/1/10,2010,1/3/05,1/3/07,-31,
FoH-TN09,"Ford, Harold E., Jr.",M,5/11/70,Democratic,TN,9,109,HaroldFordJr,1,7/1/09,2009,1/3/05,1/3/07,34,
HaM-PA04,"Hart, Melissa A.",F,4/4/62,Republican,PA,4,109,HartofPgh,1,7/1/14,2014,1/3/05,1/3/07,-57,
WiH-NM01,"Wilson, Heather",F,12/30/60,Republican,NM,1,109,HeatherAnWilson,1,3/1/11,2011,1/3/05,1/3/07,-56,
SoH-CA32,"Solis, Hilda L.",F,10/20/57,Democratic,CA,32,109,HildaSolis,1,3/1/14,2014,1/3/05,1/3/07,-52,
BeH-CA28,"Berman, Howard L.",M,4/15/41,Democratic,CA,28,109,HowardBerman,1,11/1/11,2011,1/3/05,1/3/07,-36,
CoH-NC06,"Coble, Howard",M,3/18/31,Republican,NC,6,109,HowardCoble,1,6/1/11,2011,1/3/05,1/3/07,-26,
SkI-MO04,"Skelton, Ike",M,12/20/31,Democratic,MO,4,109,IkeSkelton,1,1/1/10,2010,1/3/05,1/3/07,-26,
WaZ-TN03,"Wamp, Zach",M,10/28/57,Republican,TN,3,109,IOWamp,1,4/1/17,2017,1/3/05,1/3/07,-52,
IsE-OK05,"Istook, Ernest J., Jr.",M,2/11/50,Republican,OK,5,109,Istook,1,7/1/08,2008,1/3/05,1/3/07,-45,
KiJ-GA01,"Kingston, Jack",M,4/24/55,Republican,GA,1,109,JackKingston,1,4/1/09,2009,1/3/05,1/3/07,-50,
JaS-TX18,"Jackson Lee, Sheila",F,1/12/50,Democratic,TX,18,109,JacksonLeeTX18,1,1/1/09,2009,1/3/05,1/3/07,-45,
HaJ-CA36,"Harman, Jane",F,6/28/45,Democratic,CA,36,109,JaneHarmanCA,1,8/1/22,2022,1/3/05,1/3/07,-40,
FlJ-AZ06,"Flake, Jeff",M,12/31/62,Republican,AZ,6,109,JeffFlake,1,8/1/08,2008,1/3/05,1/3/07,-58,
FoJ-NE01,"Fortenberry, Jeff",M,12/27/60,Republican,NE,1,109,JeffFortenberry,1,1/1/09,2009,1/3/05,1/3/07,-56,
MoJ-KS01,"Moran, Jerry",M,5/29/54,Republican,KS,1,109,JerryMoran,1,1/1/09,2009,1/3/05,1/3/07,-49,
WeJ-IL11,"Weller, Jerry",M,7/7/57,Republican,IL,11,109,JerryWeller1,1,12/1/13,2013,1/3/05,1/3/07,-52,
MoJ-VA08,"Moran, James P.",M,5/16/45,Democratic,VA,8,109,Jim_Moran,1,6/1/09,2009,1/3/05,1/3/07,-40,
LaJ-RI02,"Langevin, James R.",M,4/22/64,Democratic,RI,2,109,JimLangevin,1,1/1/09,2009,1/3/05,1/3/07,-59,
NuJ-IA01,"Nussle, Jim",M,6/27/60,Republican,IA,1,109,JimNussle,1,2/1/09,2009,1/3/05,1/3/07,-55,
ObJ-MN08,"Oberstar, James L.",M,9/10/34,Democratic,MN,8,109,JimOberstar,1,2/9/09,2009,1/3/05,1/3/07,-29,
RyJ-KS02,"Ryun, Jim",M,4/29/47,Republican,KS,2,109,jimryun,1,12/1/09,2009,1/3/05,1/3/07,-42,
CrJ-NY14,"Crowley, Joseph",M,3/16/62,Democratic,NY,14,109,JoeCrowleyNY,1,2/1/10,2010,1/3/05,1/3/07,-57,
PiJ-PA16,"Pitts, Joseph R.",M,10/10/39,Republican,PA,16,109,JoePitts4PA,1,2/1/10,2010,1/3/05,1/3/07,-34,
BaJ-GA12,"Barrow, John",M,10/31/55,Democratic,GA,12,109,JohnBarrowMC,1,4/1/20,2020,1/3/05,1/3/07,-50,
BoJ-AR03,"Boozman, John",M,12/10/50,Republican,AR,3,109,JohnBoozman,1,4/1/07,2007,1/3/05,1/3/07,-45,1.00
CuJ-TX07,"Culberson, John Abney",M,8/24/56,Republican,TX,7,109,johnculberson,1,5/1/08,2008,1/3/05,1/3/07,-51,
DiJ-MI12,"Dingell, John D.",M,7/8/26,Democratic,MI,12,109,JohnDingell,1,1/1/10,2010,1/3/05,1/3/07,-21,
PoJ-NV03,"Porter, Jon C.",M,5/16/55,Republican,NV,3,109,jportertweets,1,10/1/11,2011,1/3/05,1/3/07,-50,
DoJ-CA04,"Doolittle, John T.",M,10/30/50,Republican,CA,4,109,jtdoolittle1950,1,9/1/14,2014,1/3/05,1/3/07,-45,
CaJ-TX31,"Carter, John R.",M,11/6/41,Republican,TX,31,109,JudgeCarter,1,12/1/08,2008,1/3/05,1/3/07,-36,
PoT-TX02,"Poe, Ted",M,9/10/48,Republican,TX,2,109,JudgeTedPoe,1,9/1/09,2009,1/3/05,1/3/07,-43,
BiJ-IL13,"Biggert, Judy",F,8/15/37,Republican,IL,13,109,JudyBiggert,1,2/1/09,2009,1/3/05,1/3/07,-32,
KeR-FL08,"Keller, Ric",M,9/5/64,Republican,FL,8,109,keller_ric,1,2/1/19,2019,1/3/05,1/3/07,-59,
CaK-CA41,"Calvert, Ken",M,6/8/53,Republican,CA,41,109,KenCalvert,1,1/1/09,2009,1/3/05,1/3/07,-48,
MeK-FL17,"Meek, Kendrick B.",M,9/6/66,Democratic,FL,17,109,KendrickMeek,1,3/1/09,2009,1/3/05,1/3/07,-61,
ClW-MO01,"Clay, Wm. Lacy",M,7/27/56,Democratic,MO,1,109,LacyClayMO1,1,5/1/12,2012,1/3/05,1/3/07,-51,
SmL-TX21,"Smith, Lamar",M,11/19/47,Republican,TX,21,109,LamarSmithTX21,1,8/1/08,2008,1/3/05,1/3/07,-42,
LaS-OH14,"LaTourette, Steven C.",M,7/22/54,Republican,OH,14,109,LaTourette,1,1/1/09,2009,1/3/05,1/3/07,-49,
TeL-NE02,"Terry, Lee",M,1/29/62,Republican,NE,2,109,LEETERRYNE,1,12/1/08,2008,1/3/05,1/3/07,-57,
BoL-IA03,"Boswell, Leonard L.",M,1/10/34,Democratic,IA,3,109,LeonardBoswell,1,2/1/09,2009,1/3/05,1/3/07,-29,
DiL-FL21,"Diaz-Balart, Lincoln",M,8/13/54,Republican,FL,21,109,LincolnDBalart,1,8/1/12,2012,1/3/05,1/3/07,-49,
LiJ-GA07,"Linder, John",M,9/9/42,Republican,GA,7,109,linderje,1,12/1/13,2013,1/3/05,1/3/07,-37,
SaL-CA46,"Sanchez, Loretta",F,1/7/60,Democratic,CA,46,109,LorettaSanchez,1,1/1/10,2010,1/3/05,1/3/07,-55,
GoL-TX01,"Gohmert, Louie",M,8/18/53,Republican,TX,1,109,LouieGohmertTX1,1,1/1/16,2016,1/3/05,1/3/07,-48,
SlL-NY25,"Slaughter, Louise McIntosh",F,8/14/29,Democratic,NY,25,109,louiseslaughter,1,8/1/09,2009,1/3/05,1/3/07,-24,
LoN-NY17,"Lowey, Nita M.",F,7/5/37,Democratic,NY,17,109,Lowey4Congress,1,8/1/12,2012,1/3/05,1/3/07,-32,
FoL-PR00,"Fortuno, Luis G.",M,10/31/60,Republican,PR,0,109,luisfortuno51,1,8/1/10,2010,1/3/05,1/3/07,-55,
WoL-CA06,"Woolsey, Lynn C.",F,11/3/37,Democratic,CA,6,109,lynnwoolsey,1,4/1/09,2009,1/3/05,1/3/07,-32,
ThM-TX13,"Thornberry, Mac",M,7/15/58,Republican,TX,13,109,MacTXPress,1,9/1/11,2011,1/3/05,1/3/07,-53,
DiM-FL26,"Diaz-Balart, Mario",M,9/25/61,Republican,FL,26,109,MarioDB,1,1/1/09,2009,1/3/05,1/3/07,-56,
UdM-CO02,"Udall, Mark",M,7/18/50,Democratic,CO,2,109,MarkUdall,1,8/1/07,2007,1/3/05,1/3/07,-45,1.00
BlM-TN07,"Blackburn, Marsha",F,6/6/52,Republican,TN,7,109,MarshaBlackburn,1,4/1/11,2011,1/3/05,1/3/07,-47,
MeM-MA05,"Meehan, Martin T.",M,12/30/56,Democratic,MA,5,109,MartyMeehan,1,11/1/15,2015,1/3/05,1/3/07,-52,
BoM-CA45,"Bono Mack, Mary",F,10/24/61,Republican,CA,45,109,MaryBonoUSA,1,1/1/09,2009,1/3/05,1/3/07,-56,
HiM-NY22,"Hinchey, Maurice D.",M,10/27/38,Democratic,NY,22,109,mauricehinchey,1,9/1/09,2009,1/3/05,1/3/07,-33,
MeC-LA03,"Melancon, Charlie",M,10/3/47,Democratic,LA,3,109,melancon2010,1,8/1/09,2009,1/3/05,1/3/07,-42,
BuM-TX26,"Burgess, Michael C.",M,12/23/50,Republican,TX,26,109,michaelcburgess,1,8/1/08,2008,1/3/05,1/3/07,-46,
MiM-ME02,"Michaud, Michael H.",M,1/18/55,Democratic,ME,2,109,Michaud2014,1,6/1/13,2013,1/3/05,1/3/07,-50,
PeM-IN06,"Pence, Mike",M,6/7/59,Republican,IN,6,109,Mike_Pence,1,2/1/09,2009,1/3/05,1/3/07,-54,
CaM-MA07,"Capuano, Michael E.",M,1/9/52,Democratic,MA,7,109,mikecapuano,1,9/1/09,2009,1/3/05,1/3/07,-47,
McM-NC07,"McIntyre, Mike",M,8/6/56,Democratic,NC,7,109,MikeMcIntyreNC,1,6/1/09,2009,1/3/05,1/3/07,-51,
RoM-AR04,"Ross, Mike",M,8/2/61,Democratic,AR,4,109,MikeRossUpdates,1,1/1/10,2010,1/3/05,1/3/07,-56,
DeN-GA09,"Deal, Nathan",M,8/25/42,Republican,GA,9,109,NathanDeal,1,6/1/09,2009,1/3/05,1/3/07,-37,
AbN-HI01,"Abercrombie, Neil",M,6/26/38,Democratic,HI,1,109,neilabercrombie,1,11/1/07,2007,1/3/05,1/3/07,-33,1.00
VeN-NY07,"Velazquez, Nydia M.",F,3/28/53,Democratic,NY,7,109,NydiaVelazquez,1,7/1/10,2010,1/3/05,1/3/07,-48,
McP-NC10,"McHenry, Patrick T.",M,11/22/75,Republican,NC,10,109,PatrickMcHenry,1,3/1/09,2009,1/3/05,1/3/07,29,
TiP-OH12,"Tiberi, Patrick J.",M,10/21/62,Republican,OH,12,109,PatTiberi,1,10/1/12,2012,1/3/05,1/3/07,-57,
GrA-TX09,"Green, Al",M,9/1/47,Democratic,TX,9,109,RepAlGreen,1,4/1/10,2010,1/3/05,1/3/07,-42,
KaP-PA11,"Kanjorski, Paul E.",M,4/2/37,Democratic,PA,11,109,PaulKanjorski,1,6/1/10,2010,1/3/05,1/3/07,-32,
SeP-TX17,"Sessions, Pete",M,3/22/55,Republican,TX,17,109,PeteSessions,1,1/1/09,2009,1/3/05,1/3/07,-50,
KeP-RI01,"Kennedy, Patrick J.",M,7/14/67,Democratic,RI,1,109,PJK4brainhealth,1,4/1/12,2012,1/3/05,1/3/07,-62,
EmR-IL05,"Emanuel, Rahm",M,11/29/59,Democratic,IL,5,109,RahmEmanuel,1,10/1/10,2010,1/3/05,1/3/07,-54,
HaR-TX04,"Hall, Ralph M.",M,5/3/23,Republican,TX,4,109,RalphHallPress,1,2/1/13,2013,1/3/05,1/3/07,-18,
FoJ-VA04,"Forbes, J. Randy",M,2/17/52,Republican,VA,4,109,Randy_Forbes,1,6/1/08,2008,1/3/05,1/3/07,-47,
NeR-TX19,"Neugebauer, Randy",M,12/24/49,Republican,TX,19,109,RandyNeugebauer,1,4/1/09,2009,1/3/05,1/3/07,-45,
LaR-IL18,"LaHood, Ray",M,12/6/45,Republican,IL,18,109,RayLaHood,1,7/1/13,2013,1/3/05,1/3/07,-40,
ReR-AZ01,"Renzi, Rick",M,6/11/58,Republican,AZ,1,109,RenziRick,1,2/1/19,2019,1/3/05,1/3/07,-53,
ScA-CA30,"Schiff, Adam B.",M,6/22/60,Democratic,CA,30,109,RepAdamSchiff,1,4/1/09,2009,1/3/05,1/3/07,-55,
SmA-WA09,"Smith, Adam",M,6/15/65,Democratic,WA,9,109,RepAdamSmith,1,3/1/09,2009,1/3/05,1/3/07,-60,
EsA-CA16,"Eshoo, Anna G.",F,12/13/42,Democratic,CA,16,109,RepAnnaEshoo,1,2/1/11,2011,1/3/05,1/3/07,-37,
LeB-CA12,"Lee, Barbara",F,7/16/46,Democratic,CA,12,109,RepBarbaraLee,1,2/1/11,2011,1/3/05,1/3/07,-41,
BaJ-SC03,"Barrett, J. Gresham",M,2/14/61,Republican,SC,3,109,RepBarrett,1,1/1/09,2009,1/3/05,1/3/07,-56,
BlE-OR03,"Blumenauer, Earl",M,8/16/48,Democratic,OR,3,109,repblumenauer,1,8/1/08,2008,1/3/05,1/3/07,-43,
HiB-NY26,"Higgins, Brian",M,10/6/59,Democratic,NY,26,109,RepBrianHiggins,1,4/1/09,2009,1/3/05,1/3/07,-54,
CaD-CA18,"Cardoza, Dennis A.",M,3/31/59,Democratic,CA,18,109,RepCardoza,1,1/1/10,2010,1/3/05,1/3/07,-54,
BaC-NH02,"Bass, Charles F.",M,1/8/52,Republican,NH,2,109,RepCharlesBass,1,1/1/11,2011,1/3/05,1/3/07,-47,
DeC-PA15,"Dent, Charles W.",M,5/24/60,Republican,PA,15,109,RepCharlieDent,1,1/1/11,2011,1/3/05,1/3/07,-55,
ClE-MO05,"Cleaver, Emanuel",M,10/26/44,Democratic,MO,5,109,repcleaver,1,7/1/20,2020,1/3/05,1/3/07,-39,
StC-FL06,"Stearns, Cliff",M,4/16/41,Republican,FL,6,109,RepCliffStearns,1,2/1/09,2009,1/3/05,1/3/07,-36,
CuH-TX28,"Cuellar, Henry",M,9/19/55,Democratic,TX,28,109,RepCuellar,1,11/1/10,2010,1/3/05,1/3/07,-50,
CuE-MD07,"Cummings, Elijah E.",M,1/18/51,Democratic,MD,7,109,RepCummings,1,8/1/12,2012,1/3/05,1/3/07,-46,
LuD-CA03,"Lungren, Daniel E.",M,9/22/46,Republican,CA,3,109,RepDanLungren,1,9/1/11,2011,1/3/05,1/3/07,-41,
DaD-IL07,"Davis, Danny K.",M,9/6/41,Democratic,IL,7,109,RepDannyDavis,1,8/1/12,2012,1/3/05,1/3/07,-36,
IsD-CA48,"Issa, Darrell E.",M,11/1/53,Republican,CA,48,109,repdarrellissa,1,8/1/09,2009,1/3/05,1/3/07,-48,
PrD-NC04,"Price, David E.",M,8/17/40,Democratic,NC,4,109,RepDavidEPrice,1,6/1/10,2010,1/3/05,1/3/07,-35,
ScD-GA13,"Scott, David",M,6/27/45,Democratic,GA,13,109,repdavidscott,1,7/1/10,2010,1/3/05,1/3/07,-40,
DeD-CO01,"DeGette, Diana",F,7/29/57,Democratic,CO,1,109,RepDianaDeGette,1,4/1/09,2009,1/3/05,1/3/07,-52,
YoD-AK00,"Young, Don",M,6/9/33,Republican,AK,0,109,repdonyoung,1,5/1/09,2009,1/3/05,1/3/07,-28,
WaD-FL25,"Wasserman Schultz, Debbie",F,9/27/66,Democratic,FL,25,109,RepDWStweets,1,2/1/13,2013,1/3/05,1/3/07,-61,
JoE-TX30,"Johnson, Eddie Bernice",F,12/3/35,Democratic,TX,30,109,RepEBJ,1,7/1/10,2010,1/3/05,1/3/07,-30,
CaE-HI01,"Case, Ed",M,9/27/52,Democratic,HI,1,109,RepEdCase,1,1/1/19,2019,1/3/05,1/3/07,-47,
WhE-KY01,"Whitfield, Ed",M,5/25/43,Republican,KY,1,109,RepEdWhitfield,1,1/1/11,2011,1/3/05,1/3/07,-38,
EnE-NY16,"Engel, Eliot L.",M,2/18/47,Democratic,NY,16,109,RepEliotEngel,1,7/1/10,2010,1/3/05,1/3/07,-42,
FiM-PA08,"Fitzpatrick, Michael G.",M,6/28/63,Republican,PA,8,109,RepFitzpatrick,1,1/1/11,2011,1/3/05,1/3/07,-58,
LuF-OK03,"Lucas, Frank D.",M,1/6/60,Republican,OK,3,109,RepFrankLucas,1,1/1/11,2011,1/3/05,1/3/07,-55,
UpF-MI06,"Upton, Fred",M,4/23/53,Republican,MI,6,109,RepFredUpton,1,3/1/10,2010,1/3/05,1/3/07,-48,
GaS-NJ05,"Garrett, Scott",M,7/9/59,Republican,NJ,5,109,RepGarrett,1,11/1/12,2012,1/3/05,1/3/07,-54,
AcG-NY05,"Ackerman, Gary L.",M,11/19/42,Democratic,NY,5,109,RepGaryAckerman,1,11/1/09,2009,1/3/05,1/3/07,-37,
MiG-CA31,"Miller, Gary G.",M,10/16/48,Republican,CA,31,109,RepGaryMiller,1,6/1/10,2010,1/3/05,1/3/07,-43,
DaG-KY04,"Davis, Geoff",M,10/26/58,Republican,KY,4,109,RepGeoffDavis,1,1/1/11,2011,1/3/05,1/3/07,-53,
GoB-VA06,"Goodlatte, Bob",M,9/22/52,Republican,VA,6,109,RepGoodlatte,1,5/1/09,2009,1/3/05,1/3/07,-47,
MeG-NY05,"Meeks, Gregory W.",M,9/25/53,Democratic,NY,5,109,RepGregoryMeeks,1,3/1/09,2009,1/3/05,1/3/07,-48,
WaG-OR02,"Walden, Greg",M,1/10/57,Republican,OR,2,109,repgregwalden,1,4/1/09,2009,1/3/05,1/3/07,-52,
GuL-IL04,"Gutierrez, Luis V.",M,12/10/53,Democratic,IL,4,109,RepGutierrez,1,5/1/09,2009,1/3/05,1/3/07,-48,
MoG-WI04,"Moore, Gwen",F,4/18/51,Democratic,WI,4,109,RepGwenMoore,1,1/1/09,2009,1/3/05,1/3/07,-46,
RoH-KY05,"Rogers, Harold",M,12/31/37,Republican,KY,5,109,RepHalRogers,1,4/1/12,2012,1/3/05,1/3/07,-33,
HeJ-TX05,"Hensarling, Jeb",M,5/29/57,Republican,TX,5,109,RepHensarling,1,1/1/09,2009,1/3/05,1/3/07,-52,
