uniqueid,fullname,gender,dob,party,stateabr,district,congress110,twitterhandle,joinedon,yearjoined,sessionstartedon,sessionendedon,agewhensessionstarted,twitter,NT,joined110
HiB-IN09,"Hill, Baron P.",M,6/23/53,Democratic,IN,9,110,BaronHill2016,2/1/10,2010,1/3/07,1/3/09,-46,,No Twitter,0
McB-UT04,"McAdams, Ben",M,12/5/74,Democratic,UT,4,0,BenMcAdams,6/1/09,2009,,,,,,0
ThB-MS02,"Thompson, Bennie G.",M,1/28/48,Democratic,MS,2,110,BennieGThompson,1/1/09,2009,1/3/07,1/3/09,-41,,No Twitter,0
BeS-NV01,"Berkley, Shelley",F,1/20/51,Democratic,NV,1,110,Berkley4Senate,4/1/11,2011,1/3/07,1/3/09,-44,,No Twitter,0
O'B-TX16,"O''Rourke, Beto",M,9/26/72,Democratic,TX,16,0,BetoORourke,7/1/11,2011,,,,,,0
MaB-CO04,"Markey, Betsy",F,4/27/56,Democratic,CO,4,0,BetsyMarkey,6/1/09,2009,,,,,,0
McB-MN04,"McCollum, Betty",F,7/12/54,Democratic,MN,4,110,BettyMcCollum04,1/1/12,2012,1/3/07,1/3/09,-47,,No Twitter,0
SuB-OH13,"Sutton, Betty",F,7/31/63,Democratic,OH,13,110,BettySutton,4/1/10,2010,1/3/07,1/3/09,-56,,No Twitter,0
BiB-CA50,"Bilbray, Brian P.",M,1/28/51,Republican,CA,50,110,BilbrayCA50,7/1/09,2009,1/3/07,1/3/09,-44,,No Twitter,0
CaB-LA06,"Cassidy, Bill",M,9/28/57,Republican,LA,6,0,BillCassidy,7/1/09,2009,,,,,,0
OwW-NY21,"Owens, William L.",M,1/20/49,Democratic,NY,21,0,BillOwensNY,12/1/10,2010,,,,,,0
PaB-NJ09,"Pascrell, Bill, Jr.",M,1/25/37,Democratic,NJ,9,110,BillPascrell,1/1/09,2009,1/3/07,1/3/09,-30,,No Twitter,0
BrR-PA01,"Brady, Robert A.",M,4/7/45,Democratic,PA,1,110,BobBradyPHL,5/1/10,2010,1/3/07,1/3/09,-38,,No Twitter,0
JiB-LA01,"Jindal, Bobby",M,6/10/71,Republican,LA,1,110,BobbyJindal,10/1/08,2008,1/3/07,1/3/09,35,1.00,Has Twitter,1
RuB-IL01,"Rush, Bobby L.",M,11/23/46,Democratic,IL,1,110,BobbyLRush,5/1/11,2011,1/3/07,1/3/09,-39,,No Twitter,0
ScR-VA03,"Scott, Robert C. Bobby",M,4/30/47,Democratic,VA,3,110,BobbyScott,1/1/10,2010,1/3/07,1/3/09,-40,,No Twitter,0
FiB-CA51,"Filner, Bob",M,9/4/42,Democratic,CA,51,110,bobfilner,9/1/09,2009,1/3/07,1/3/09,-35,,No Twitter,0
InB-SC04,"Inglis, Bob",M,10/11/59,Republican,SC,4,110,bobinglis,10/1/08,2008,1/3/07,1/3/09,-52,1.00,Has Twitter,1
LaR-OH05,"Latta, Robert E.",M,4/18/56,Republican,OH,5,110,boblatta,1/1/08,2008,1/3/07,1/3/09,-49,1.00,Has Twitter,1
NeR-OH18,"Ney, Robert W.",M,7/5/54,Republican,OH,18,0,bobney,9/1/08,2008,,,,1.00,,1
EtB-NC02,"Etheridge, Bob",M,8/7/41,Democratic,NC,2,110,bobretheridge,11/1/10,2010,1/3/07,1/3/09,-34,,No Twitter,0
BoN-KS02,"Boyda, Nancy E.",F,8/2/55,Democratic,KS,2,110,BoydaNancy,5/1/19,2019,1/3/07,1/3/09,-48,,No Twitter,0
QuB-AZ03,"Quayle, Benjamin",M,11/3/76,Republican,AZ,3,0,bquayle,2/1/10,2010,,,,,,0
ByB-AL01,"Byrne, Bradley",M,2/16/55,Republican,AL,1,0,BradleyByrne,5/1/09,2009,,,,,,0
ShB-CA32,"Sherman, Brad",M,10/24/54,Democratic,CA,32,110,BradSherman,1/1/09,2009,1/3/07,1/3/09,-47,,No Twitter,0
BrK-TX08,"Brady, Kevin",M,4/11/55,Republican,TX,8,110,bradyfortexas,5/1/12,2012,1/3/07,1/3/09,-48,,No Twitter,0
LaB-MI14,"Lawrence, Brenda L.",F,10/18/54,Democratic,MI,14,0,BrendaLLawrence,7/1/09,2009,,,,,,0
PoB-ME02,"Poliquin, Bruce",M,11/1/53,Republican,ME,2,0,BrucePoliquin,4/1/09,2009,,,,,,0
OtC-ID01,"Otter, C. L. (Butch)",M,5/3/42,Republican,ID,1,0,ButchOtter,4/1/09,2009,,,,,,0
RuC-MD02,"Ruppersberger, C. A. Dutch",M,1/31/46,Democratic,MD,2,110,Call_Me_Dutch,1/1/11,2011,1/3/07,1/3/09,-39,,No Twitter,0
MiC-MI10,"Miller, Candice S.",F,5/7/54,Republican,MI,10,110,CandiceMiller,6/1/08,2008,1/3/07,1/3/09,-47,1.00,Has Twitter,1
CuC-FL26,"Curbelo, Carlos",M,3/1/80,Republican,FL,26,0,carloslcurbelo,10/1/14,2014,,,,,,0
BoC-GA07,"Bourdeaux, Carolyn",F,6/3/70,Democratic,GA,7,0,Carolyn4GA7,6/1/17,2017,,,,,,0
McC-WA05,"McMorris Rodgers, Cathy",F,5/22/69,Republican,WA,5,110,cathymcmorris,1/1/08,2008,1/3/07,1/3/09,-62,1.00,Has Twitter,1
RaC-NY13,"Rangel, Charles B.",M,6/11/30,Democratic,NY,13,110,cbrangel,2/1/09,2009,1/3/07,1/3/09,-23,,No Twitter,0
EdC-TX17,"Edwards, Chet",M,11/24/51,Democratic,TX,17,110,CEdwardsTX,11/1/16,2016,1/3/07,1/3/09,-44,,No Twitter,0
HaR-NC08,"Hayes, Robin",M,8/14/45,Republican,NC,8,110,ChairmanHayes,1/1/11,2011,1/3/07,1/3/09,-38,,No Twitter,0
McH-CA25,"McKeon, Howard P. Buck",M,9/9/38,Republican,CA,25,110,chairmanmckeon,11/1/15,2015,1/3/07,1/3/09,-31,,No Twitter,0
FaC-PA02,"Fattah, Chaka",M,11/21/56,Democratic,PA,2,110,chakafattah,6/1/09,2009,1/3/07,1/3/09,-49,,No Twitter,0
CrC-FL13,"Crist, Charlie",M,7/24/56,Democratic,FL,13,0,CharlieCrist,5/1/09,2009,,,,,,0
PiC-ME01,"Pingree, Chellie",F,4/2/55,Democratic,ME,1,0,chelliepingree,6/1/08,2008,,,,1.00,,1
CaC-UT03,"Cannon, Chris",M,10/20/50,Republican,UT,3,110,chriscanno,1/1/09,2009,1/3/07,1/3/09,-43,,No Twitter,0
ChC-IN02,"Chocola, Chris",M,2/24/62,Republican,IN,2,0,ChrisChocola,7/1/12,2012,,,,,,0
GiC-NY19,"Gibson, Christopher P.",M,5/13/64,Republican,NY,19,0,ChrisGibsonNY,3/1/10,2010,,,,,,0
MuC-CT05,"Murphy, Christopher",M,8/3/73,Democratic,CT,5,110,ChrisMurphyCT,5/1/10,2010,1/3/07,1/3/09,33,,No Twitter,0
VaC-MD08,"Van Hollen, Chris",M,1/10/59,Democratic,MD,8,110,ChrisVanHollen,12/1/08,2008,1/3/07,1/3/09,-52,1.00,Has Twitter,1
GaJ-IL04,"Garcia, Jesus G. Chuy",M,4/12/56,Democratic,IL,4,0,ChuyChicago,10/1/14,2014,,,,,,0
RoC-TX23,"Rodriguez, Ciro D.",M,12/9/46,Democratic,TX,23,110,CiroDRodriguez,6/1/10,2010,1/3/07,1/3/09,-39,,No Twitter,0
PeC-MN07,"Peterson, Collin C.",M,6/29/44,Democratic,MN,7,110,collinpeterson,2/1/10,2010,1/3/07,1/3/09,-37,,No Twitter,0
CoP-CA08,"Cook, Paul",M,3/3/43,Republican,CA,8,0,ColPaulCookRet,1/1/13,2013,,,,,,0
CoK-TX11,"Conaway, K. Michael",M,6/11/48,Republican,TX,11,110,ConawayTX11,5/1/11,2011,1/3/07,1/3/09,-41,,No Twitter,0
SaJ-NJ03,"Saxton, Jim",M,1/22/43,Republican,NJ,3,110,Cong_Jim_Saxton,4/1/15,2015,1/3/07,1/3/09,-36,,No Twitter,0
PoB-FL08,"Posey, Bill",M,12/18/47,Republican,FL,8,0,congbillposey,3/1/09,2009,,,,,,0
BoB-PA02,"Boyle, Brendan F.",M,2/6/77,Democratic,PA,2,0,CongBoyle,11/1/15,2015,,,,,,0
HuT-KS01,"Huelskamp, Tim",M,11/11/68,Republican,KS,1,0,CongHuelskamp,1/1/11,2011,,,,,,0
SiM-ID02,"Simpson, Michael K.",M,9/8/50,Republican,ID,2,110,CongMikeSimpson,9/1/09,2009,1/3/07,1/3/09,-43,,No Twitter,0
PaS-MS04,"Palazzo, Steven M.",M,2/21/70,Republican,MS,4,0,CongPalazzo,5/1/11,2011,,,,,,0
MeL-IN06,"Messer, Luke",M,2/27/69,Republican,IN,6,0,Congress_LukeM,4/1/13,2013,,,,,,0
VaJ-NJ02,"Van Drew, Jefferson",M,2/23/53,Republican,NJ,2,0,Congressman_JVD,12/1/11,2011,,,,,,0
BeD-MI01,"Benishek, Dan",M,4/20/52,Republican,MI,1,0,CongressmanDan,1/1/11,2011,,,,,,0
ThG-PA15,"Thompson, Glenn",M,7/27/59,Republican,PA,15,0,CongressmanGT,1/1/09,2009,,,,,,0
HiJ-GA10,"Hice, Jody B.",M,4/22/60,Republican,GA,10,0,CongressmanHice,1/1/15,2015,,,,,,0
KeT-NJ07,"Kean, Thomas H.",M,9/5/68,Republican,NJ,7,0,CongressmanKean,12/1/22,2022,,,,,,0
KrR-IL08,"Krishnamoorthi, Raja",M,7/19/73,Democratic,IL,8,0,CongressmanRaja,1/1/16,2016,,,,,,0
ChS-FL20,"Cherfilus-McCormick, Sheila",F,1/25/79,Democratic,FL,20,0,CongresswomanSC,1/1/22,2022,,,,,,0
RoS-NJ09,"Rothman, Steven R.",M,10/14/52,Democratic,NJ,9,110,CongRothman,9/1/11,2011,1/3/07,1/3/09,-45,,No Twitter,0
MaC-FL14,"Mack, Connie",M,8/12/67,Republican,FL,14,110,ConnieMackIV,3/1/09,2009,1/3/07,1/3/09,-60,,No Twitter,0
LaC-PA17,"Lamb, Conor",M,6/27/84,Democratic,PA,17,0,ConorLambPA,4/1/17,2017,,,,,,0
CoJ-TN05,"Cooper, Jim",M,6/19/54,Democratic,TN,5,110,CoopForCongress,6/1/12,2012,1/3/07,1/3/09,-47,,No Twitter,0
ShC-CT04,"Shays, Christopher",M,10/18/45,Republican,CT,4,110,CShays,5/1/08,2008,1/3/07,1/3/09,-38,1.00,Has Twitter,1
McC-GA04,"McKinney, Cynthia A.",F,3/17/55,Democratic,GA,4,0,cynthiamckinney,1/1/09,2009,,,,,,0
BoD-OK02,"Boren, Dan",M,8/2/73,Democratic,OK,2,110,DanBorenOK,4/1/20,2020,1/3/07,1/3/09,33,,No Twitter,0
BuD-IN05,"Burton, Dan",M,6/21/38,Republican,IN,5,110,danburton,7/1/08,2008,1/3/07,1/3/09,-31,1.00,Has Twitter,1
MaD-NY24,"Maffei, Daniel B.",M,7/4/68,Democratic,NY,24,0,danielbmaffei,8/1/15,2015,,,,,,0
BrD-VA07,"Brat, Dave",M,7/27/64,Republican,VA,7,0,DaveBratVA7th,1/1/14,2014,,,,,,0
LoD-IA02,"Loebsack, David",M,12/23/52,Democratic,IA,2,110,daveloebsack,3/1/12,2012,1/3/07,1/3/09,-46,,No Twitter,0
CiD-RI01,"Cicilline, David N.",M,7/15/61,Democratic,RI,1,0,davidcicilline,3/1/09,2009,,,,,,0
WuD-OR01,"Wu, David",M,4/8/55,Democratic,OR,1,110,DavidWu2010,9/1/10,2010,1/3/07,1/3/09,-48,,No Twitter,0
RoD-NC02,"Ross, Deborah K.",F,6/20/63,Democratic,NC,2,0,DeborahRossNC,10/1/15,2015,,,,,,0
ChD-VI00,"Christensen, Donna M.",F,9/19/45,Democratic,VI,0,110,DelegateDonna,3/1/11,2011,1/3/07,1/3/09,-38,,No Twitter,0
RaD-IL03,"Ramirez, Delia C.",F,6/2/83,Democratic,IL,3,0,DeliaRamirezIL,11/1/21,2021,,,,,,0
KuD-OH10,"Kucinich, Dennis J.",M,11/8/46,Democratic,OH,10,110,Dennis_Kucinich,6/1/08,2008,1/3/07,1/3/09,-39,1.00,Has Twitter,1
RoD-FL15,"Ross, Dennis A.",M,10/18/59,Republican,FL,15,0,DennisRossSEU,4/1/09,2009,,,,,,0
HeD-WA10,"Heck, Denny",M,7/29/52,Democratic,WA,10,0,DennyHeck,8/1/09,2009,,,,,,0
DeS-TN04,"DesJarlais, Scott",M,2/21/64,Republican,TN,4,0,DesJarlaisTN04,1/1/11,2011,,,,,,0
NuD-CA22,"Nunes, Devin",M,10/1/73,Republican,CA,22,110,DevinNunes,7/1/09,2009,1/3/07,1/3/09,33,,No Twitter,0
HaD-WA04,"Hastings, Doc",M,2/7/41,Republican,WA,4,110,DocHastings,10/1/11,2011,1/3/07,1/3/09,-34,,No Twitter,0
NoD-NJ01,"Norcross, Donald",M,12/13/58,Democratic,NJ,1,0,DonaldNorcross,3/1/15,2015,,,,,,0
CaD-LA06,"Cazayoux, Donald J., Jr.",M,1/17/64,Democratic,LA,6,110,DonCazayoux,8/1/13,2013,1/3/07,1/3/09,-57,,No Twitter,0
EdD-MD04,"Edwards, Donna F.",F,6/28/58,Democratic,MD,4,110,DonnaFEdwards,8/1/12,2012,1/3/07,1/3/09,-51,,No Twitter,0
ShD-FL27,"Shalala, Donna E.",F,2/14/41,Democratic,FL,27,0,DonnaShalala,5/1/16,2016,,,,,,0
MaD-CA07,"Matsui, Doris O.",F,9/25/44,Democratic,CA,7,110,DorisMatsui,5/1/09,2009,1/3/07,1/3/09,-37,,No Twitter,0
WeD-FL15,"Weldon, Dave",M,8/31/53,Republican,FL,15,110,DrDaveWeldon,5/1/12,2012,1/3/07,1/3/09,-46,,No Twitter,0
DuN-FL02,"Dunn, Neal P.",M,2/16/53,Republican,FL,2,0,DrNealDunnFL2,1/1/17,2017,,,,,,0
GiP-GA11,"Gingrey, Phil",M,7/10/42,Republican,GA,11,110,DrPhilGingrey,4/1/09,2009,1/3/07,1/3/09,-35,,No Twitter,0
RoD-TN01,"Roe, David P.",M,7/21/45,Republican,TN,1,0,DrPhilRoe,6/1/09,2009,,,,,,0
RoE-CA39,"Royce, Edward R.",M,12/12/51,Republican,CA,39,110,EdRRoyce,8/1/10,2010,1/3/07,1/3/09,-44,,No Twitter,0
ToE-NY10,"Towns, Edolphus",M,7/21/34,Democratic,NY,10,110,EdTowns,3/1/10,2010,1/3/07,1/3/09,-27,,No Twitter,0
NoE-DC00,"Norton, Eleanor Holmes",F,6/13/37,Democratic,DC,0,110,EleanorNorton,3/1/09,2009,1/3/07,1/3/09,-30,,No Twitter,0
EsE-CT05,"Esty, Elizabeth H.",F,8/25/59,Democratic,CT,5,0,ElizabethCrypt7,4/1/21,2021,,,,,,0
SyE-OH13,"Sykes, Emilia Strong",F,1/4/86,Democratic,OH,13,0,EmiliaSykesOH,9/1/13,2013,,,,,,0
EnW-IL12,"Enyart, William L.",M,9/22/49,Democratic,IL,12,0,EnyartforIL12,6/1/12,2012,,,,,,0
CaE-VA07,"Cantor, Eric",M,6/6/63,Republican,VA,7,110,EricCantor,1/1/09,2009,1/3/07,1/3/09,-56,,No Twitter,0
PaE-MN03,"Paulsen, Erik",M,5/14/65,Republican,MN,3,0,ErikPaulsen,11/1/08,2008,,,,1.00,,1
JeE-WV03,"Jenkins, Evan H.",M,9/12/60,Republican,WV,3,0,EvanJenkinsWV,7/1/13,2013,,,,,,0
FaB-TX27,"Farenthold, Blake",M,12/12/61,Republican,TX,27,0,farenthold,12/1/08,2008,,,,1.00,,1
WoF-VA10,"Wolf, Frank R.",M,1/30/39,Republican,VA,10,110,fmrRepWolf,1/1/11,2011,1/3/07,1/3/09,-32,,No Twitter,0
LoF-NJ02,"LoBiondo, Frank A.",M,5/12/46,Republican,NJ,2,110,FrankLoBiondoNJ,1/1/11,2011,1/3/07,1/3/09,-39,,No Twitter,0
PaF-NJ06,"Pallone, Frank, Jr.",M,10/30/51,Democratic,NJ,6,110,FrankPallone,4/1/09,2009,1/3/07,1/3/09,-44,,No Twitter,0
GiG-AZ08,"Giffords, Gabrielle",F,6/8/70,Democratic,AZ,8,110,GabbyGiffords,6/1/09,2009,1/3/07,1/3/09,36,,No Twitter,0
VaG-NM02,"Vasquez, Gabe",M,8/3/84,Democratic,NM,2,0,Gabe_NM,10/1/13,2013,,,,,,0
TaG-MS04,"Taylor, Gene",M,9/17/53,Democratic,MS,4,110,GeneTaylor4MS,3/1/14,2014,1/3/07,1/3/09,-46,,No Twitter,0
GeJ-PA06,"Gerlach, Jim",M,2/25/55,Republican,PA,6,110,GerlachforPA,5/1/09,2009,1/3/07,1/3/09,-48,,No Twitter,0
CoG-VA11,"Connolly, Gerald E.",M,3/30/50,Democratic,VA,11,0,GerryConnolly,9/1/09,2009,,,,,,0
GuG-MN01,"Gutknecht, Gil",M,3/20/51,Republican,MN,1,0,gilgman,10/1/14,2014,,,,,,0
GiK-NY20,"Gillibrand, Kirsten E.",F,12/9/66,Democratic,NY,20,110,gillibrandny,8/1/17,2017,1/3/07,1/3/09,-59,,No Twitter,0
BrG-FL05,"Brown-Waite, Ginny",F,10/5/43,Republican,FL,5,110,GinnyBrownWaite,1/1/10,2010,1/3/07,1/3/09,-36,,No Twitter,0
BuG-NC01,"Butterfield, G. K.",M,4/27/47,Democratic,NC,1,110,GKButterfield,12/1/11,2011,1/3/07,1/3/09,-40,,No Twitter,0
NyG-VA02,"Nye, Glenn C.",M,9/9/74,Democratic,VA,2,0,GlennNye,8/1/08,2008,,,,1.00,,1
EmT-MN06,"Emmer, Tom",M,3/3/61,Republican,MN,6,0,GOPmajoritywhip,12/1/14,2014,,,,,,0
GiG-MT00,"Gianforte, Greg",M,4/17/61,Republican,MT,0,0,GovGianforte,12/1/20,2020,,,,,,0
InJ-WA01,"Inslee, Jay",M,2/9/51,Democratic,WA,1,110,GovInslee,1/1/13,2013,1/3/07,1/3/09,-44,,No Twitter,0
FaM-OK05,"Fallin, Mary",F,12/9/54,Republican,OK,5,110,GovMaryFallin,9/1/10,2010,1/3/07,1/3/09,-47,,No Twitter,0
NaG-CA31,"Napolitano, Grace F.",F,12/4/36,Democratic,CA,31,110,gracenapolitano,6/1/10,2010,1/3/07,1/3/09,-29,,No Twitter,0
ReG-PA14,"Reschenthaler, Guy",M,4/17/83,Republican,PA,14,0,GReschenthaler,1/1/15,2015,,,,,,0
SaM-GU00,"San Nicolas, Michael F. Q.",M,1/30/81,Democratic,GU,0,0,GuamCongressman,8/1/11,2011,,,,,,0
GrG-FL02,"Graham, Gwen",F,1/31/63,Democratic,FL,2,0,GwenGraham,3/1/13,2013,,,,,,0
ClH-MI13,"Clarke, Hansen",M,3/2/57,Democratic,MI,13,0,HansenClarke,5/1/10,2010,,,,,,0
FoH-TN09,"Ford, Harold E., Jr.",M,5/11/70,Democratic,TN,9,0,HaroldFordJr,7/1/09,2009,,,,,,0
HaG-MS03,"Harper, Gregg",M,6/1/56,Republican,MS,3,0,HarperCampaign,10/1/09,2009,,,,,,0
TeH-NM02,"Teague, Harry",M,6/29/49,Democratic,NM,2,0,Harry4Congress,6/1/10,2010,,,,,,0
MiH-AZ05,"Mitchell, Harry E.",M,7/18/40,Democratic,AZ,5,110,HarryEMitchell,4/1/09,2009,1/3/07,1/3/09,-33,,No Twitter,0
HaM-PA04,"Hart, Melissa A.",F,4/4/62,Republican,PA,4,0,HartofPgh,7/1/14,2014,,,,,,0
WiH-NM01,"Wilson, Heather",F,12/30/60,Republican,NM,1,110,HeatherAnWilson,3/1/11,2011,1/3/07,1/3/09,-54,,No Twitter,0
ShH-NC11,"Shuler, Heath",M,12/31/71,Democratic,NC,11,110,HeathShuler5,7/1/17,2017,1/3/07,1/3/09,35,,No Twitter,0
HeJ-WA03,"Herrera Beutler, Jaime",F,11/3/78,Republican,WA,3,0,HerreraBeutler,1/1/11,2011,,,,,,0
SoH-CA32,"Solis, Hilda L.",F,10/20/57,Democratic,CA,32,110,HildaSolis,3/1/14,2014,1/3/07,1/3/09,-50,,No Twitter,0
HoK-OK05,"Horn, Kendra S.",F,6/9/76,Democratic,OK,5,0,HornForCongress,6/1/17,2017,,,,,,0
BeH-CA28,"Berman, Howard L.",M,4/15/41,Democratic,CA,28,110,HowardBerman,11/1/11,2011,1/3/07,1/3/09,-34,,No Twitter,0
CoH-NC06,"Coble, Howard",M,3/18/31,Republican,NC,6,110,HowardCoble,6/1/11,2011,1/3/07,1/3/09,-24,,No Twitter,0
SkI-MO04,"Skelton, Ike",M,12/20/31,Democratic,MO,4,110,IkeSkelton,1/1/10,2010,1/3/07,1/3/09,-24,,No Twitter,0
OmI-MN05,"Omar, Ilhan",F,10/4/82,Democratic,MN,5,0,Ilhan,1/1/19,2019,,,,,,0
WaZ-TN03,"Wamp, Zach",M,10/28/57,Republican,TN,3,110,IOWamp,4/1/17,2017,1/3/07,1/3/09,-50,,No Twitter,0
IsE-OK05,"Istook, Ernest J., Jr.",M,2/11/50,Republican,OK,5,0,Istook,7/1/08,2008,,,,1.00,,1
KiJ-GA01,"Kingston, Jack",M,4/24/55,Republican,GA,1,110,JackKingston,4/1/09,2009,1/3/07,1/3/09,-48,,No Twitter,0
JaS-TX18,"Jackson Lee, Sheila",F,1/12/50,Democratic,TX,18,110,JacksonLeeTX18,1/1/09,2009,1/3/07,1/3/09,-43,,No Twitter,0
HiJ-CT04,"Himes, James A.",M,7/5/66,Democratic,CT,4,0,jahimes,4/1/09,2009,,,,,,0
HaJ-CA36,"Harman, Jane",F,6/28/45,Democratic,CA,36,110,JaneHarmanCA,8/1/22,2022,1/3/07,1/3/09,-38,,No Twitter,0
HaJ-CA44,"Hahn, Janice",F,3/30/52,Democratic,CA,44,0,JaniceHahn,2/1/09,2009,,,,,,0
AlJ-PA04,"Altmire, Jason",M,3/7/68,Democratic,PA,4,110,jasonaltmire,3/1/11,2011,1/3/07,1/3/09,-61,,No Twitter,0
ChJ-UT03,"Chaffetz, Jason",M,3/26/67,Republican,UT,3,0,jasoninthehouse,12/1/08,2008,,,,1.00,,1
ObJ-CA23,"Obernolte, Jay",M,8/18/70,Republican,CA,23,0,JayObernolte,1/1/11,2011,,,,,,0
DeJ-CA10,"Denham, Jeff",M,7/29/67,Republican,CA,10,0,JeffDenham,2/1/09,2009,,,,,,0
FlJ-AZ06,"Flake, Jeff",M,12/31/62,Republican,AZ,6,110,JeffFlake,8/1/08,2008,1/3/07,1/3/09,-56,1.00,Has Twitter,1
FoJ-NE01,"Fortenberry, Jeff",M,12/27/60,Republican,NE,1,110,JeffFortenberry,1/1/09,2009,1/3/07,1/3/09,-54,,No Twitter,0
KiJ-VA02,"Kiggans, Jennifer A",F,6/18/71,Republican,VA,2,0,JenKiggans,4/1/19,2019,,,,,,0
MoJ-KS01,"Moran, Jerry",M,5/29/54,Republican,KS,1,110,JerryMoran,1/1/09,2009,1/3/07,1/3/09,-47,,No Twitter,0
WeJ-IL11,"Weller, Jerry",M,7/7/57,Republican,IL,11,110,JerryWeller1,12/1/13,2013,1/3/07,1/3/09,-50,,No Twitter,0
JoJ-OH04,"Jordan, Jim",M,2/17/64,Republican,OH,4,110,Jim_Jordan,1/1/08,2008,1/3/07,1/3/09,-57,1.00,Has Twitter,1
MoJ-VA08,"Moran, James P.",M,5/16/45,Democratic,VA,8,110,Jim_Moran,6/1/09,2009,1/3/07,1/3/09,-38,,No Twitter,0
LaJ-RI02,"Langevin, James R.",M,4/22/64,Democratic,RI,2,110,JimLangevin,1/1/09,2009,1/3/07,1/3/09,-57,,No Twitter,0
NuJ-IA01,"Nussle, Jim",M,6/27/60,Republican,IA,1,0,JimNussle,2/1/09,2009,,,,,,0
ObJ-MN08,"Oberstar, James L.",M,9/10/34,Democratic,MN,8,110,JimOberstar,2/9/09,2009,1/3/07,1/3/09,-27,,No Twitter,0
ReJ-OH16,"Renacci, James B.",M,12/3/58,Republican,OH,16,0,JimRenacci,2/1/14,2014,,,,,,0
RyJ-KS02,"Ryun, Jim",M,4/29/47,Republican,KS,2,0,jimryun,12/1/09,2009,,,,,,0
MoJ-GU00,"Moylan, James C.",M,7/18/62,Republican,GU,0,0,JMoylanforGuam,12/1/22,2022,,,,,,0
CaJ-TX20,"Castro, Joaquin",M,9/16/74,Democratic,TX,20,0,JoaquinCastrotx,1/1/10,2010,,,,,,0
CrJ-NY14,"Crowley, Joseph",M,3/16/62,Democratic,NY,14,110,JoeCrowleyNY,2/1/10,2010,1/3/07,1/3/09,-55,,No Twitter,0
