uniqueid,fullname,gender,dob,party,stateabr,district,statedistid,congress109,congress110,congress111,congress112,congress113,congress114,congress115,congress116,congress117,congress118,twitterhandle,joinedon,yearjoined,AgeWhenTwitterJoined
MaD-NY24,"Maffei, Daniel B.",M,1968-07-04,Democratic,NY,24,3624,0,0,111,0,113,0,0,0,0,0,danielbmaffei,2015-08-01,2015,47
LoD-IA02,"Loebsack, David",M,1952-12-23,Democratic,IA,2,1902,0,110,111,112,113,114,115,116,0,0,daveloebsack,2012-03-01,2012,59
CiD-RI01,"Cicilline, David N.",M,1961-07-15,Democratic,RI,1,4401,0,0,0,112,113,114,115,116,117,118,davidcicilline,2009-03-01,2009,47
WuD-OR01,"Wu, David",M,1955-04-08,Democratic,OR,1,4101,109,110,111,0,0,0,0,0,0,0,DavidWu2010,2010-09-01,2010,55
RoD-NC02,"Ross, Deborah K.",F,1963-06-20,Democratic,NC,2,3702,0,0,0,0,0,0,0,0,117,118,DeborahRossNC,2015-10-01,2015,52
ChD-VI00,"Christensen, Donna M.",F,1945-09-19,Democratic,VI,0,0000,109,110,111,112,113,0,0,0,0,0,DelegateDonna,2011-03-01,2011,65
RaD-IL03,"Ramirez, Delia C.",F,1983-06-02,Democratic,IL,3,1703,0,0,0,0,0,0,0,0,0,118,DeliaRamirezIL,2021-11-01,2021,38
KuD-OH10,"Kucinich, Dennis J.",M,1946-11-08,Democratic,OH,10,3910,109,110,111,112,0,0,0,0,0,0,Dennis_Kucinich,2008-06-01,2008,61
HeD-WA10,"Heck, Denny",M,1952-07-29,Democratic,WA,10,5310,0,0,0,0,113,114,115,116,0,0,DennyHeck,2009-08-01,2009,57
NoD-NJ01,"Norcross, Donald",M,1958-12-13,Democratic,NJ,1,3401,0,0,0,0,113,114,115,116,117,118,DonaldNorcross,2015-03-01,2015,56
CaD-LA06,"Cazayoux, Donald J., Jr.",M,1964-01-17,Democratic,LA,6,2206,0,110,0,0,0,0,0,0,0,0,DonCazayoux,2013-08-01,2013,49
EdD-MD04,"Edwards, Donna F.",F,1958-06-28,Democratic,MD,4,2404,0,110,111,112,113,114,0,0,0,0,DonnaFEdwards,2012-08-01,2012,54
ShD-FL27,"Shalala, Donna E.",F,1941-02-14,Democratic,FL,27,1227,0,0,0,0,0,0,0,116,0,0,DonnaShalala,2016-05-01,2016,75
MaD-CA07,"Matsui, Doris O.",F,1944-09-25,Democratic,CA,7,0607,109,110,111,112,113,114,115,116,117,118,DorisMatsui,2009-05-01,2009,64
ToE-NY10,"Towns, Edolphus",M,1934-07-21,Democratic,NY,10,3610,109,110,111,112,0,0,0,0,0,0,EdTowns,2010-03-01,2010,75
NoE-DC00,"Norton, Eleanor Holmes",F,1937-06-13,Democratic,DC,0,1100,109,110,111,112,113,114,115,116,117,118,EleanorNorton,2009-03-01,2009,71
EsE-CT05,"Esty, Elizabeth H.",F,1959-08-25,Democratic,CT,5,0905,0,0,0,0,113,114,115,0,0,0,ElizabethCrypt7,2021-04-01,2021,61
SyE-OH13,"Sykes, Emilia Strong",F,1986-01-04,Democratic,OH,13,3913,0,0,0,0,0,0,0,0,0,118,EmiliaSykesOH,2013-09-01,2013,27
EnW-IL12,"Enyart, William L.",M,1949-09-22,Democratic,IL,12,1712,0,0,0,0,113,0,0,0,0,0,EnyartforIL12,2012-06-01,2012,62
PaF-NJ06,"Pallone, Frank, Jr.",M,1951-10-30,Democratic,NJ,6,3406,109,110,111,112,113,114,115,116,117,118,FrankPallone,2009-04-01,2009,57
GiG-AZ08,"Giffords, Gabrielle",F,1970-06-08,Democratic,AZ,8,0408,0,110,111,112,0,0,0,0,0,0,GabbyGiffords,2009-06-01,2009,39
VaG-NM02,"Vasquez, Gabe",M,1984-08-03,Democratic,NM,2,3502,0,0,0,0,0,0,0,0,0,118,Gabe_NM,2013-10-01,2013,29
TaG-MS04,"Taylor, Gene",M,1953-09-17,Democratic,MS,4,2804,109,110,111,0,0,0,0,0,0,0,GeneTaylor4MS,2014-03-01,2014,60
CoG-VA11,"Connolly, Gerald E.",M,1950-03-30,Democratic,VA,11,5111,0,0,111,112,113,114,115,116,117,118,GerryConnolly,2009-09-01,2009,59
GiK-NY20,"Gillibrand, Kirsten E.",F,1966-12-09,Democratic,NY,20,3620,0,110,0,0,0,0,0,0,0,0,gillibrandny,2017-08-01,2017,50
BuG-NC01,"Butterfield, G. K.",M,1947-04-27,Democratic,NC,1,3701,109,110,111,112,113,114,115,116,117,0,GKButterfield,2011-12-01,2011,64
NyG-VA02,"Nye, Glenn C.",M,1974-09-09,Democratic,VA,2,5102,0,0,111,0,0,0,0,0,0,0,GlennNye,2008-08-01,2008,33
InJ-WA01,"Inslee, Jay",M,1951-02-09,Democratic,WA,1,5301,109,110,111,112,0,0,0,0,0,0,GovInslee,2013-01-01,2013,61
NaG-CA31,"Napolitano, Grace F.",F,1936-12-04,Democratic,CA,31,0631,109,110,111,112,113,114,115,116,117,118,gracenapolitano,2010-06-01,2010,73
SaM-GU00,"San Nicolas, Michael F. Q.",M,1981-01-30,Democratic,GU,0,0000,0,0,0,0,0,0,0,116,117,0,GuamCongressman,2011-08-01,2011,30
GrG-FL02,"Graham, Gwen",F,1963-01-31,Democratic,FL,2,1202,0,0,0,0,0,114,0,0,0,0,GwenGraham,2013-03-01,2013,50
ClH-MI13,"Clarke, Hansen",M,1957-03-02,Democratic,MI,13,2613,0,0,0,112,0,0,0,0,0,0,HansenClarke,2010-05-01,2010,53
FoH-TN09,"Ford, Harold E., Jr.",M,1970-05-11,Democratic,TN,9,4709,109,0,0,0,0,0,0,0,0,0,HaroldFordJr,2009-07-01,2009,39
TeH-NM02,"Teague, Harry",M,1949-06-29,Democratic,NM,2,3502,0,0,111,0,0,0,0,0,0,0,Harry4Congress,2010-06-01,2010,60
MiH-AZ05,"Mitchell, Harry E.",M,1940-07-18,Democratic,AZ,5,0405,0,110,111,0,0,0,0,0,0,0,HarryEMitchell,2009-04-01,2009,68
ShH-NC11,"Shuler, Heath",M,1971-12-31,Democratic,NC,11,3711,0,110,111,112,0,0,0,0,0,0,HeathShuler5,2017-07-01,2017,45
SoH-CA32,"Solis, Hilda L.",F,1957-10-20,Democratic,CA,32,0632,109,110,0,0,0,0,0,0,0,0,HildaSolis,2014-03-01,2014,56
HoK-OK05,"Horn, Kendra S.",F,1976-06-09,Democratic,OK,5,4005,0,0,0,0,0,0,0,116,0,0,HornForCongress,2017-06-01,2017,41
BeH-CA28,"Berman, Howard L.",M,1941-04-15,Democratic,CA,28,0628,109,110,111,112,0,0,0,0,0,0,HowardBerman,2011-11-01,2011,70
SkI-MO04,"Skelton, Ike",M,1931-12-20,Democratic,MO,4,2904,109,110,111,0,0,0,0,0,0,0,IkeSkelton,2010-01-01,2010,78
OmI-MN05,"Omar, Ilhan",F,1982-10-04,Democratic,MN,5,2705,0,0,0,0,0,0,0,116,117,118,Ilhan,2019-01-01,2019,36
JaS-TX18,"Jackson Lee, Sheila",F,1950-01-12,Democratic,TX,18,4818,109,110,111,112,113,114,115,116,117,118,JacksonLeeTX18,2009-01-01,2009,59
HiJ-CT04,"Himes, James A.",M,1966-07-05,Democratic,CT,4,0904,0,0,111,112,113,114,115,116,117,118,jahimes,2009-04-01,2009,42
HaJ-CA36,"Harman, Jane",F,1945-06-28,Democratic,CA,36,0636,109,110,111,0,0,0,0,0,0,0,JaneHarmanCA,2022-08-01,2022,77
HaJ-CA44,"Hahn, Janice",F,1952-03-30,Democratic,CA,44,0644,0,0,0,112,113,114,0,0,0,0,JaniceHahn,2009-02-01,2009,56
AlJ-PA04,"Altmire, Jason",M,1968-03-07,Democratic,PA,4,4204,0,110,111,112,0,0,0,0,0,0,jasonaltmire,2011-03-01,2011,43
MoJ-VA08,"Moran, James P.",M,1945-05-16,Democratic,VA,8,5108,109,110,111,112,113,0,0,0,0,0,Jim_Moran,2009-06-01,2009,64
LaJ-RI02,"Langevin, James R.",M,1964-04-22,Democratic,RI,2,4402,109,110,111,112,113,114,115,116,117,0,JimLangevin,2009-01-01,2009,44
ObJ-MN08,"Oberstar, James L.",M,1934-09-10,Democratic,MN,8,2708,109,110,111,0,0,0,0,0,0,0,JimOberstar,2009-02-09,2009,74
CaJ-TX20,"Castro, Joaquin",M,1974-09-16,Democratic,TX,20,4820,0,0,0,0,113,114,115,116,117,118,JoaquinCastrotx,2010-01-01,2010,35
CrJ-NY14,"Crowley, Joseph",M,1962-03-16,Democratic,NY,14,3614,109,110,111,112,113,114,115,0,0,0,JoeCrowleyNY,2010-02-01,2010,47
GaJ-FL26,"Garcia, Joe",M,1963-10-19,Democratic,FL,26,1226,0,0,0,0,113,0,0,0,0,0,JoeGarcia,2007-12-01,2007,44
KeJ-MA04,"Kennedy, Joseph P., III",M,1980-10-04,Democratic,MA,4,2504,0,0,0,0,113,114,115,116,0,0,joekennedy,2013-01-01,2013,32
SeJ-PA07,"Sestak, Joe",M,1951-12-12,Democratic,PA,7,4207,0,110,111,0,0,0,0,0,0,0,JoeSestak,2009-06-01,2009,57
BaJ-GA12,"Barrow, John",M,1955-10-31,Democratic,GA,12,1312,109,110,111,112,113,0,0,0,0,0,JohnBarrowMC,2020-04-01,2020,64
CaJ-DE00,"Carney, John C., Jr.",M,1956-05-20,Democratic,DE,0,1000,0,0,0,112,113,114,0,0,0,0,JohnCarneyDE,2011-01-01,2011,54
DeJ-MD06,"Delaney, John K.",M,1963-04-16,Democratic,MD,6,2406,0,0,0,0,113,114,115,0,0,0,JohnDelaney,2011-12-01,2011,48
DiJ-MI12,"Dingell, John D.",M,1926-07-08,Democratic,MI,12,2612,109,110,111,112,113,0,0,0,0,0,JohnDingell,2010-01-01,2010,83
YaJ-KY03,"Yarmuth, John A.",M,1947-11-04,Democratic,KY,3,2103,0,110,111,112,113,114,115,116,117,0,JohnYarmuth,2011-10-01,2011,63
RiK-NY04,"Rice, Kathleen M.",F,1965-02-15,Democratic,NY,4,3604,0,0,0,0,0,114,115,116,117,0,KathleenRice,2009-10-01,2009,44
MaK-NC06,"Manning, Kathy E.",F,1956-12-03,Democratic,NC,6,3706,0,0,0,0,0,0,0,0,117,118,KathyManningNC,2017-12-01,2017,61
DaK-PA03,"Dahlkemper, Kathleen A.",F,1957-12-10,Democratic,PA,3,4203,0,0,111,0,0,0,0,0,0,0,kdahlkemper,2011-04-01,2011,53
ElK-MN05,"Ellison, Keith",M,1963-08-04,Democratic,MN,5,2705,0,110,111,112,113,114,115,0,0,0,keithellison,2008-03-01,2008,44
MeK-FL17,"Meek, Kendrick B.",M,1966-09-06,Democratic,FL,17,1217,109,110,111,0,0,0,0,0,0,0,KendrickMeek,2009-03-01,2009,42
SaG-MP00,"Sablan, Gregorio Kilili Camacho",M,1955-01-19,Democratic,MP,0,0000,0,0,111,112,113,114,115,116,117,118,Kilili_Sablan,2017-11-01,2017,62
HaK-GA05,"Hall, Kwanza",M,1971-05-01,Democratic,GA,5,1305,0,0,0,0,0,0,0,116,0,0,kwanzahall,2007-09-01,2007,36
ClW-MO01,"Clay, Wm. Lacy",M,1956-07-27,Democratic,MO,1,2901,109,110,111,112,113,114,115,116,0,0,LacyClayMO1,2012-05-01,2012,55
BoL-IA03,"Boswell, Leonard L.",M,1934-01-10,Democratic,IA,3,1903,109,110,111,112,0,0,0,0,0,0,LeonardBoswell,2009-02-01,2009,75
SaL-CA46,"Sanchez, Loretta",F,1960-01-07,Democratic,CA,46,0646,109,110,111,112,113,114,0,0,0,0,LorettaSanchez,2010-01-01,2010,50
SlL-NY25,"Slaughter, Louise McIntosh",F,1929-08-14,Democratic,NY,25,3625,109,110,111,112,113,114,115,0,0,0,louiseslaughter,2009-08-01,2009,80
LoN-NY17,"Lowey, Nita M.",F,1937-07-05,Democratic,NY,17,3617,109,110,111,112,113,114,115,116,0,0,Lowey4Congress,2012-08-01,2012,75
WoL-CA06,"Woolsey, Lynn C.",F,1937-11-03,Democratic,CA,6,0606,109,110,111,112,0,0,0,0,0,0,lynnwoolsey,2009-04-01,2009,71
MaT-NJ07,"Malinowski, Tom",M,1965-09-23,Democratic,NJ,7,3407,0,0,0,0,0,0,0,116,117,0,Malinowski,2016-12-01,2016,51
UdM-CO02,"Udall, Mark",M,1950-07-18,Democratic,CO,2,0802,109,110,0,0,0,0,0,0,0,0,MarkUdall,2007-08-01,2007,57
HeM-NM01,"Heinrich, Martin",M,1971-10-17,Democratic,NM,1,3501,0,0,111,112,0,0,0,0,0,0,MartinHeinrich,2013-01-01,2013,41
MeM-MA05,"Meehan, Martin T.",M,1956-12-30,Democratic,MA,5,2505,109,0,0,0,0,0,0,0,0,0,MartyMeehan,2015-11-01,2015,58
KiM-OH15,"Kilroy, Mary Jo",F,1949-04-30,Democratic,OH,15,3915,0,0,111,0,0,0,0,0,0,0,MaryJoKilroy,2008-06-01,2008,59
HiM-NY22,"Hinchey, Maurice D.",M,1938-10-27,Democratic,NY,22,3622,109,110,111,112,0,0,0,0,0,0,mauricehinchey,2009-09-01,2009,70
HiM-HI02,"Hirono, Mazie K.",F,1947-11-03,Democratic,HI,2,1502,0,110,111,112,0,0,0,0,0,0,maziehirono,2009-11-01,2009,62
MeC-LA03,"Melancon, Charlie",M,1947-10-03,Democratic,LA,3,2203,109,110,111,0,0,0,0,0,0,0,melancon2010,2009-08-01,2009,61
MiM-ME02,"Michaud, Michael H.",M,1955-01-18,Democratic,ME,2,2302,109,110,111,112,113,0,0,0,0,0,Michaud2014,2013-06-01,2013,58
LuM-NM01,"Lujan Grisham, Michelle",F,1959-10-24,Democratic,NM,1,3501,0,0,0,0,113,114,115,0,0,0,Michelle4NM,2011-09-01,2011,51
CaM-MA07,"Capuano, Michael E.",M,1952-01-09,Democratic,MA,7,2507,109,110,111,112,113,114,115,0,0,0,mikecapuano,2009-09-01,2009,57
McM-NC07,"McIntyre, Mike",M,1956-08-06,Democratic,NC,7,3707,109,110,111,112,113,0,0,0,0,0,MikeMcIntyreNC,2009-06-01,2009,52
RoM-AR04,"Ross, Mike",M,1961-08-02,Democratic,AR,4,0504,109,110,111,112,0,0,0,0,0,0,MikeRossUpdates,2010-01-01,2010,48
JoM-NY17,"Jones, Mondaire",M,1987-05-18,Democratic,NY,17,3617,0,0,0,0,0,0,0,0,117,0,MondaireJones,2017-06-01,2017,30
AbN-HI01,"Abercrombie, Neil",M,1938-06-26,Democratic,HI,1,1501,109,110,111,0,0,0,0,0,0,0,neilabercrombie,2007-11-01,2007,69
LaN-TX22,"Lampson, Nick",M,1945-02-14,Democratic,TX,22,4822,0,110,0,0,0,0,0,0,0,0,nlampson,2009-02-01,2009,64
ToN-CA35,"Torres, Norma J.",F,1965-04-04,Democratic,CA,35,0635,0,0,0,0,0,114,115,116,117,118,NormaJTorres,2011-01-01,2011,45
VeN-NY07,"Velazquez, Nydia M.",F,1953-03-28,Democratic,NY,7,3607,109,110,111,112,113,114,115,116,117,118,NydiaVelazquez,2010-07-01,2010,57
BrA-MD04,"Brown, Anthony G.",M,1961-11-21,Democratic,MD,4,2404,0,0,0,0,0,0,115,116,117,0,OAGMaryland,2017-01-01,2017,55
MuP-FL18,"Murphy, Patrick",M,1983-03-30,Democratic,FL,18,1218,0,0,0,0,113,114,0,0,0,0,PatrickMurphyFL,2011-03-01,2011,27
MuP-PA08,"Murphy, Patrick J.",M,1973-10-19,Democratic,PA,8,4208,0,110,111,0,0,0,0,0,0,0,PatrickMurphyPA,2010-10-01,2010,36
HoP-NH02,"Hodes, Paul W.",M,1951-03-21,Democratic,NH,2,3302,0,110,111,0,0,0,0,0,0,0,paulhodes1,2013-04-01,2013,62
KaP-PA11,"Kanjorski, Paul E.",M,1937-04-02,Democratic,PA,11,4211,109,110,111,0,0,0,0,0,0,0,PaulKanjorski,2010-06-01,2010,73
PiP-PR00,"Pierluisi, Pedro R.",M,1959-04-26,Democratic,PR,0,0000,0,0,111,112,113,114,0,0,0,0,pedropierluisi,2009-04-01,2009,49
GaP-TX23,"Gallego, Pete P.",M,1961-12-02,Democratic,TX,23,4823,0,0,0,0,113,0,0,0,0,0,petegallego,2009-08-01,2009,47
WeP-VT00,"Welch, Peter",M,1947-05-02,Democratic,VT,0,5000,0,110,111,112,113,114,115,116,117,0,PeterWelch,2013-05-01,2013,66
KeP-RI01,"Kennedy, Patrick J.",M,1967-07-14,Democratic,RI,1,4401,109,110,111,0,0,0,0,0,0,0,PJK4brainhealth,2012-04-01,2012,44
EmR-IL05,"Emanuel, Rahm",M,1959-11-29,Democratic,IL,5,1705,109,110,0,0,0,0,0,0,0,0,RahmEmanuel,2010-10-01,2010,50
CrM-PA12,"Critz, Mark S.",M,1962-01-05,Democratic,PA,12,4212,0,0,111,112,0,0,0,0,0,0,realMarkCritz,2010-02-01,2010,48
JaJ-IL01,"Jackson, Jonathan L.",M,1966-01-07,Democratic,IL,1,1701,0,0,0,0,0,0,0,0,0,118,rep_jackson,2023-01-01,2023,57
MaS-RI02,"Magaziner, Seth",M,1983-07-22,Democratic,RI,2,4402,0,0,0,0,0,0,0,0,0,118,Rep_Magaziner,2023-01-01,2023,39
PeM-AK00,"Peltola, Mary Sattler",F,1973-08-31,Democratic,AK,0,0200,0,0,0,0,0,0,0,0,117,118,rep_peltola,2022-09-01,2022,49
StM-NM01,"Stansbury, Melanie Ann",F,1979-01-31,Democratic,NM,1,3501,0,0,0,0,0,0,0,0,117,118,Rep_Stansbury,2021-06-01,2021,42
AdA-NC12,"Adams, Alma S.",F,1946-05-27,Democratic,NC,12,3712,0,0,0,0,113,114,115,116,117,118,RepAdams,2014-01-01,2014,67
ScA-CA30,"Schiff, Adam B.",M,1960-06-22,Democratic,CA,30,0630,109,110,111,112,113,114,115,116,117,118,RepAdamSchiff,2009-04-01,2009,48
SmA-WA09,"Smith, Adam",M,1965-06-15,Democratic,WA,9,5309,109,110,111,112,113,114,115,116,117,118,RepAdamSmith,2009-03-01,2009,43
GrA-TX09,"Green, Al",M,1947-09-01,Democratic,TX,9,4809,109,110,111,112,113,114,115,116,117,118,RepAlGreen,2010-04-01,2010,62
CaA-IN07,"Carson, Andre",M,1974-10-16,Democratic,IN,7,1807,0,110,111,112,113,114,115,116,117,118,RepAndreCarson,2010-10-01,2010,35
KiA-NJ03,"Kim, Andy",M,1982-07-12,Democratic,NJ,3,3403,0,0,0,0,0,0,0,116,117,118,RepAndyKimNJ,2018-01-01,2018,35
LeA-MI09,"Levin, Andy",M,1960-08-10,Democratic,MI,9,2609,0,0,0,0,0,0,0,116,117,0,RepAndyLevin,2019-01-01,2019,58
CrA-MN02,"Craig, Angie",F,1972-02-14,Democratic,MN,2,2702,0,0,0,0,0,0,0,116,117,118,RepAngieCraig,2019-01-01,2019,46
EsA-CA16,"Eshoo, Anna G.",F,1942-12-13,Democratic,CA,16,0616,109,110,111,112,113,114,115,116,117,118,RepAnnaEshoo,2011-02-01,2011,68
KuA-NH02,"Kuster, Ann M.",F,1956-09-05,Democratic,NH,2,3302,0,0,0,0,113,114,115,116,117,118,RepAnnieKuster,2013-01-01,2013,56
OcA-NY14,"Ocasio-Cortez, Alexandria",F,1989-10-13,Democratic,NY,14,3614,0,0,0,0,0,0,0,116,117,118,RepAOC,2018-01-01,2018,28
AuJ-MA04,"Auchincloss, Jake",M,1988-01-29,Democratic,MA,4,2504,0,0,0,0,0,0,0,0,117,118,RepAuchincloss,2020-01-01,2020,31
LeB-CA12,"Lee, Barbara",F,1946-07-16,Democratic,CA,12,0612,109,110,111,112,113,114,115,116,117,118,RepBarbaraLee,2011-02-01,2011,64
BaN-CA44,"Barragan, Nanette Diaz",F,1976-09-15,Democratic,CA,44,0644,0,0,0,0,0,0,115,116,117,118,RepBarragan,2017-01-01,2017,40
