uniqueid,fullname,gender,dob,party,stateabr,district,CongressSession,AgeWhenSessionStarted,sessionstartedon,sessionendedon,twitterhandle,joinedon,AgeWhenTwitterJoined,yearjoinedontwitter
FiM-PA08,"Fitzpatrick, Michael G.",M,1963-06-28,Republican,PA,8,109,41,2005-01-03,2007-01-03,RepFitzpatrick,2011-01-01,47,2011
RoM-MI08,"Rogers, Mike J.",M,1963-06-02,Republican,MI,8,109,41,2005-01-03,2007-01-03,RepMikeRogers,2010-06-01,47,2010
PiC-MS03,"Pickering, Charles W. Chip",M,1963-08-10,Republican,MS,3,109,41,2005-01-03,2007-01-03,,,,
TiP-OH12,"Tiberi, Patrick J.",M,1962-10-21,Republican,OH,12,109,42,2005-01-03,2007-01-03,PatTiberi,2012-10-01,49,2012
HaM-PA04,"Hart, Melissa A.",F,1962-04-04,Republican,PA,4,109,42,2005-01-03,2007-01-03,HartofPgh,2014-07-01,52,2014
TeL-NE02,"Terry, Lee",M,1962-01-29,Republican,NE,2,109,42,2005-01-03,2007-01-03,LEETERRYNE,2008-12-01,46,2008
BaT-WI02,"Baldwin, Tammy",F,1962-02-11,Democratic,WI,2,109,42,2005-01-03,2007-01-03,SenatorBaldwin,2013-01-01,50,2013
BeM-IL08,"Bean, Melissa L.",F,1962-01-22,Democratic,IL,8,109,42,2005-01-03,2007-01-03,,,,
ChC-IN02,"Chocola, Chris",M,1962-02-24,Republican,IN,2,109,42,2005-01-03,2007-01-03,ChrisChocola,2012-07-01,50,2012
PlT-PA19,"Platts, Todd Russell",M,1962-03-05,Republican,PA,19,109,42,2005-01-03,2007-01-03,,,,
CrJ-NY14,"Crowley, Joseph",M,1962-03-16,Democratic,NY,14,109,42,2005-01-03,2007-01-03,JoeCrowleyNY,2010-02-01,47,2010
FlJ-AZ06,"Flake, Jeff",M,1962-12-31,Republican,AZ,6,109,42,2005-01-03,2007-01-03,JeffFlake,2008-08-01,45,2008
BaJ-SC03,"Barrett, J. Gresham",M,1961-02-14,Republican,SC,3,109,43,2005-01-03,2007-01-03,RepBarrett,2009-01-01,47,2009
BoM-CA45,"Bono Mack, Mary",F,1961-10-24,Republican,CA,45,109,43,2005-01-03,2007-01-03,MaryBonoUSA,2009-01-01,47,2009
DiM-FL26,"Diaz-Balart, Mario",M,1961-09-25,Republican,FL,26,109,43,2005-01-03,2007-01-03,MarioDB,2009-01-01,47,2009
HoJ-IN08,"Hostettler, John N.",M,1961-06-19,Republican,IN,8,109,43,2005-01-03,2007-01-03,,,,
McM-TX10,"McCaul, Michael T.",M,1962-01-14,Republican,TX,10,109,43,2005-01-03,2007-01-03,RepMcCaul,2009-03-01,47,2009
RoM-AR04,"Ross, Mike",M,1961-08-02,Democratic,AR,4,109,43,2005-01-03,2007-01-03,MikeRossUpdates,2010-01-01,48,2010
ScA-CA30,"Schiff, Adam B.",M,1960-06-22,Democratic,CA,30,109,44,2005-01-03,2007-01-03,RepAdamSchiff,2009-04-01,48,2009
DeC-PA15,"Dent, Charles W.",M,1960-05-24,Republican,PA,15,109,44,2005-01-03,2007-01-03,RepCharlieDent,2011-01-01,50,2011
FoL-PR00,"Fortuno, Luis G.",M,1960-10-31,Republican,PR,0,109,44,2005-01-03,2007-01-03,luisfortuno51,2010-08-01,49,2010
WeR-FL19,"Wexler, Robert",M,1961-01-02,Democratic,FL,19,109,44,2005-01-03,2007-01-03,,,,
PoR-CA11,"Pombo, Richard W.",M,1961-01-08,Republican,CA,11,109,44,2005-01-03,2007-01-03,richardpombo,2010-01-01,49,2010
GrM-WI08,"Green, Mark",M,1960-06-01,Republican,WI,8,109,44,2005-01-03,2007-01-03,RepMarkGreen,2019-01-01,58,2019
MaJ-UT04,"Matheson, Jim",M,1960-03-21,Democratic,UT,4,109,44,2005-01-03,2007-01-03,RepJimMatheson,2009-06-01,49,2009
WiH-NM01,"Wilson, Heather",F,1960-12-30,Republican,NM,1,109,44,2005-01-03,2007-01-03,HeatherAnWilson,2011-03-01,50,2011
FoJ-NE01,"Fortenberry, Jeff",M,1960-12-27,Republican,NE,1,109,44,2005-01-03,2007-01-03,JeffFortenberry,2009-01-01,48,2009
NuJ-IA01,"Nussle, Jim",M,1960-06-27,Republican,IA,1,109,44,2005-01-03,2007-01-03,JimNussle,2009-02-01,48,2009
ShB-PA09,"Shuster, Bill",M,1961-01-10,Republican,PA,9,109,44,2005-01-03,2007-01-03,ShusterForPA9,2012-09-01,51,2012
CaD-CA18,"Cardoza, Dennis A.",M,1959-03-31,Democratic,CA,18,109,45,2005-01-03,2007-01-03,RepCardoza,2010-01-01,50,2010
McJ-MA02,"McGovern, James P.",M,1959-11-20,Democratic,MA,2,109,45,2005-01-03,2007-01-03,RepMcGovern,2011-01-01,51,2011
InB-SC04,"Inglis, Bob",M,1959-10-11,Republican,SC,4,109,45,2005-01-03,2007-01-03,bobinglis,2008-10-01,49,2008
MiJ-FL01,"Miller, Jeff",M,1959-06-27,Republican,FL,1,109,45,2005-01-03,2007-01-03,,,,
BoJ-AL01,"Bonner, Jo",M,1959-11-19,Republican,AL,1,109,45,2005-01-03,2007-01-03,,,,
ChB-KY06,"Chandler, Ben",M,1959-09-12,Democratic,KY,6,109,45,2005-01-03,2007-01-03,,,,
SaL-CA46,"Sanchez, Loretta",F,1960-01-07,Democratic,CA,46,109,45,2005-01-03,2007-01-03,LorettaSanchez,2010-01-01,50,2010
PeM-IN06,"Pence, Mike",M,1959-06-07,Republican,IN,6,109,45,2005-01-03,2007-01-03,Mike_Pence,2009-02-01,49,2009
EmR-IL05,"Emanuel, Rahm",M,1959-11-29,Democratic,IL,5,109,45,2005-01-03,2007-01-03,RahmEmanuel,2010-10-01,50,2010
HiB-NY26,"Higgins, Brian",M,1959-10-06,Democratic,NY,26,109,45,2005-01-03,2007-01-03,RepBrianHiggins,2009-04-01,49,2009
KiM-IL10,"Kirk, Mark Steven",M,1959-09-15,Republican,IL,10,109,45,2005-01-03,2007-01-03,SenatorKirk,2010-11-01,51,2010
LuF-OK03,"Lucas, Frank D.",M,1960-01-06,Republican,OK,3,109,45,2005-01-03,2007-01-03,RepFrankLucas,2011-01-01,51,2011
GaS-NJ05,"Garrett, Scott",M,1959-07-09,Republican,NJ,5,109,45,2005-01-03,2007-01-03,RepGarrett,2012-11-01,53,2012
TuM-OH10,"Turner, Michael R.",M,1960-01-11,Republican,OH,10,109,45,2005-01-03,2007-01-03,RepMikeTurner,2009-06-01,49,2009
ThM-TX13,"Thornberry, Mac",M,1958-07-15,Republican,TX,13,109,46,2005-01-03,2007-01-03,MacTXPress,2011-09-01,53,2011
FeT-FL24,"Feeney, Tom",M,1958-05-21,Republican,FL,24,109,46,2005-01-03,2007-01-03,,,,
ShJ-IL15,"Shimkus, John",M,1958-02-21,Republican,IL,15,109,46,2005-01-03,2007-01-03,RepShimkus,2008-07-01,50,2008
IsS-NY03,"Israel, Steve",M,1958-05-30,Democratic,NY,3,109,46,2005-01-03,2007-01-03,RepSteveIsrael,2009-02-01,50,2009
DaG-KY04,"Davis, Geoff",M,1958-10-26,Republican,KY,4,109,46,2005-01-03,2007-01-03,RepGeoffDavis,2011-01-01,52,2011
HaJ-AZ05,"Hayworth, J. D.",M,1958-07-12,Republican,AZ,5,109,46,2005-01-03,2007-01-03,,,,
BeX-CA34,"Becerra, Xavier",M,1958-01-26,Democratic,CA,34,109,46,2005-01-03,2007-01-03,SecBecerra,2021-03-01,63,2021
RoM-AL03,"Rogers, Mike D.",M,1958-07-16,Republican,AL,3,109,46,2005-01-03,2007-01-03,repmikerogersal,2009-04-01,50,2009
ReR-AZ01,"Renzi, Rick",M,1958-06-11,Republican,AZ,1,109,46,2005-01-03,2007-01-03,RenziRick,2019-02-01,60,2019
BuS-IN04,"Buyer, Steve",M,1958-11-26,Republican,IN,4,109,46,2005-01-03,2007-01-03,,,,
VaC-MD08,"Van Hollen, Chris",M,1959-01-10,Democratic,MD,8,109,46,2005-01-03,2007-01-03,ChrisVanHollen,2008-12-01,49,2008
CaR-MO03,"Carnahan, Russ",M,1958-07-10,Democratic,MO,3,109,46,2005-01-03,2007-01-03,,,,
HuK-MO09,"Hulshof, Kenny C.",M,1958-05-22,Republican,MO,9,109,46,2005-01-03,2007-01-03,,,,
KeM-MN06,"Kennedy, Mark R.",M,1957-04-11,Republican,MN,6,109,47,2005-01-03,2007-01-03,,,,
WaZ-TN03,"Wamp, Zach",M,1957-10-28,Republican,TN,3,109,47,2005-01-03,2007-01-03,IOWamp,2017-04-01,59,2017
HoT-PA17,"Holden, Tim",M,1957-03-05,Democratic,PA,17,109,47,2005-01-03,2007-01-03,TimHoldenPA17,2010-04-01,53,2010
HeJ-TX05,"Hensarling, Jeb",M,1957-05-29,Republican,TX,5,109,47,2005-01-03,2007-01-03,RepHensarling,2009-01-01,51,2009
SoH-CA32,"Solis, Hilda L.",F,1957-10-20,Democratic,CA,32,109,47,2005-01-03,2007-01-03,HildaSolis,2014-03-01,56,2014
HaK-FL13,"Harris, Katherine",F,1957-04-05,Republican,FL,13,109,47,2005-01-03,2007-01-03,,,,
DaJ-FL11,"Davis, Jim",M,1957-11-11,Democratic,FL,11,109,47,2005-01-03,2007-01-03,,,,
DeD-CO01,"DeGette, Diana",F,1957-07-29,Democratic,CO,1,109,47,2005-01-03,2007-01-03,RepDianaDeGette,2009-04-01,51,2009
FrT-AZ08,"Franks, Trent",M,1957-06-19,Republican,AZ,8,109,47,2005-01-03,2007-01-03,,,,
WeJ-IL11,"Weller, Jerry",M,1957-07-07,Republican,IL,11,109,47,2005-01-03,2007-01-03,JerryWeller1,2013-12-01,56,2013
AnR-NJ01,"Andrews, Robert E.",M,1957-08-04,Democratic,NJ,1,109,47,2005-01-03,2007-01-03,,,,
BaB-WA03,"Baird, Brian",M,1956-03-07,Democratic,WA,3,109,48,2005-01-03,2007-01-03,,,,
CuJ-TX07,"Culberson, John Abney",M,1956-08-24,Republican,TX,7,109,48,2005-01-03,2007-01-03,johnculberson,2008-05-01,51,2008
ClW-MO01,"Clay, Wm. Lacy",M,1956-07-27,Democratic,MO,1,109,48,2005-01-03,2007-01-03,LacyClayMO1,2012-05-01,55,2012
MeM-MA05,"Meehan, Martin T.",M,1956-12-30,Democratic,MA,5,109,48,2005-01-03,2007-01-03,MartyMeehan,2015-11-01,58,2015
McM-NC07,"McIntyre, Mike",M,1956-08-06,Democratic,NC,7,109,48,2005-01-03,2007-01-03,MikeMcIntyreNC,2009-06-01,52,2009
FaC-PA02,"Fattah, Chaka",M,1956-11-21,Democratic,PA,2,109,48,2005-01-03,2007-01-03,chakafattah,2009-06-01,52,2009
EnP-PA03,"English, Phil",M,1956-06-20,Republican,PA,3,109,48,2005-01-03,2007-01-03,,,,
BoC-LA03,"Boustany, Charles W., Jr.",M,1956-02-21,Republican,LA,3,109,48,2005-01-03,2007-01-03,,,,
WaG-OR02,"Walden, Greg",M,1957-01-10,Republican,OR,2,109,48,2005-01-03,2007-01-03,repgregwalden,2009-04-01,52,2009
PoJ-NV03,"Porter, Jon C.",M,1955-05-16,Republican,NV,3,109,49,2005-01-03,2007-01-03,jportertweets,2011-10-01,56,2011
RaG-CA19,"Radanovich, George",M,1955-06-20,Republican,CA,19,109,49,2005-01-03,2007-01-03,RepRadanovich,2009-02-01,53,2009
KiJ-GA01,"Kingston, Jack",M,1955-04-24,Republican,GA,1,109,49,2005-01-03,2007-01-03,JackKingston,2009-04-01,53,2009
MiM-ME02,"Michaud, Michael H.",M,1955-01-18,Democratic,ME,2,109,49,2005-01-03,2007-01-03,Michaud2014,2013-06-01,58,2013
LaR-WA02,"Larsen, Rick",M,1955-06-15,Democratic,WA,2,109,49,2005-01-03,2007-01-03,RepRickLarsen,2011-11-01,56,2011
CuH-TX28,"Cuellar, Henry",M,1955-09-19,Democratic,TX,28,109,49,2005-01-03,2007-01-03,RepCuellar,2010-11-01,55,2010
PoR-OH02,"Portman, Rob",M,1955-12-19,Republican,OH,2,109,49,2005-01-03,2007-01-03,robportman,2014-07-01,58,2014
WuD-OR01,"Wu, David",M,1955-04-08,Democratic,OR,1,109,49,2005-01-03,2007-01-03,DavidWu2010,2010-09-01,55,2010
CaJ-CA45,"Campbell, John",M,1955-07-19,Republican,CA,45,109,49,2005-01-03,2007-01-03,,,,
BrK-TX08,"Brady, Kevin",M,1955-04-11,Republican,TX,8,109,49,2005-01-03,2007-01-03,bradyfortexas,2012-05-01,57,2012
GeJ-PA06,"Gerlach, Jim",M,1955-02-25,Republican,PA,6,109,49,2005-01-03,2007-01-03,GerlachforPA,2009-05-01,54,2009
SeP-TX17,"Sessions, Pete",M,1955-03-22,Republican,TX,17,109,49,2005-01-03,2007-01-03,PeteSessions,2009-01-01,53,2009
McC-GA04,"McKinney, Cynthia A.",F,1955-03-17,Democratic,GA,4,109,49,2005-01-03,2007-01-03,cynthiamckinney,2009-01-01,53,2009
ReD-MT00,"Rehberg, Denny",M,1955-10-05,Republican,MT,0,109,49,2005-01-03,2007-01-03,,,,
BaJ-GA12,"Barrow, John",M,1955-10-31,Democratic,GA,12,109,49,2005-01-03,2007-01-03,JohnBarrowMC,2020-04-01,64,2020
SwJ-NY20,"Sweeney, John E.",M,1955-08-09,Republican,NY,20,109,49,2005-01-03,2007-01-03,,,,
LyS-MA08,"Lynch, Stephen F.",M,1955-03-31,Democratic,MA,8,109,49,2005-01-03,2007-01-03,RepStephenLynch,2011-06-01,56,2011
ShB-CA32,"Sherman, Brad",M,1954-10-24,Democratic,CA,32,109,50,2005-01-03,2007-01-03,BradSherman,2009-01-01,54,2009
NeR-OH18,"Ney, Robert W.",M,1954-07-05,Republican,OH,18,109,50,2005-01-03,2007-01-03,bobney,2008-09-01,54,2008
CoJ-TN05,"Cooper, Jim",M,1954-06-19,Democratic,TN,5,109,50,2005-01-03,2007-01-03,CoopForCongress,2012-06-01,57,2012
FoM-FL16,"Foley, Mark",M,1954-09-08,Republican,FL,16,109,50,2005-01-03,2007-01-03,,,,
LaS-OH14,"LaTourette, Steven C.",M,1954-07-22,Republican,OH,14,109,50,2005-01-03,2007-01-03,LaTourette,2009-01-01,54,2009
McB-MN04,"McCollum, Betty",F,1954-07-12,Democratic,MN,4,109,50,2005-01-03,2007-01-03,BettyMcCollum04,2012-01-01,57,2012
PrT-GA06,"Price, Tom",M,1954-10-08,Republican,GA,6,109,50,2005-01-03,2007-01-03,RepTomPrice,2007-06-01,52,2007
DiL-FL21,"Diaz-Balart, Lincoln",M,1954-08-13,Republican,FL,21,109,50,2005-01-03,2007-01-03,LincolnDBalart,2012-08-01,58,2012
MoJ-KS01,"Moran, Jerry",M,1954-05-29,Republican,KS,1,109,50,2005-01-03,2007-01-03,JerryMoran,2009-01-01,54,2009
MiC-MI10,"Miller, Candice S.",F,1954-05-07,Republican,MI,10,109,50,2005-01-03,2007-01-03,CandiceMiller,2008-06-01,54,2008
VeN-NY07,"Velazquez, Nydia M.",F,1953-03-28,Democratic,NY,7,109,51,2005-01-03,2007-01-03,NydiaVelazquez,2010-07-01,57,2010
SeS-TX22,"Sekula Gibbs, Shelley",F,1953-06-22,Republican,TX,22,109,51,2005-01-03,2007-01-03,ShelleySekula,2014-08-01,61,2014
CaS-WV02,"Capito, Shelley Moore",F,1953-11-26,Republican,WV,2,109,51,2005-01-03,2007-01-03,SenCapito,2010-09-01,56,2010
SmC-NJ04,"Smith, Christopher H.",M,1953-03-04,Republican,NJ,4,109,51,2005-01-03,2007-01-03,,,,
HoP-MI02,"Hoekstra, Peter",M,1953-10-30,Republican,MI,2,109,51,2005-01-03,2007-01-03,,,,
UpF-MI06,"Upton, Fred",M,1953-04-23,Republican,MI,6,109,51,2005-01-03,2007-01-03,RepFredUpton,2010-03-01,56,2010
MiB-NC13,"Miller, Brad",M,1953-05-19,Democratic,NC,13,109,51,2005-01-03,2007-01-03,,,,
DoM-PA18,"Doyle, Michael F.",M,1953-08-05,Democratic,PA,18,109,51,2005-01-03,2007-01-03,USRepMikeDoyle,2009-05-01,55,2009
SaJ-CO03,"Salazar, John T.",M,1953-07-21,Democratic,CO,3,109,51,2005-01-03,2007-01-03,,,,
TaG-MS04,"Taylor, Gene",M,1953-09-17,Democratic,MS,4,109,51,2005-01-03,2007-01-03,GeneTaylor4MS,2014-03-01,60,2014
CaK-CA41,"Calvert, Ken",M,1953-06-08,Republican,CA,41,109,51,2005-01-03,2007-01-03,KenCalvert,2009-01-01,55,2009
BoH-TX23,"Bonilla, Henry",M,1954-01-02,Republican,TX,23,109,51,2005-01-03,2007-01-03,,,,
GoL-TX01,"Gohmert, Louie",M,1953-08-18,Republican,TX,1,109,51,2005-01-03,2007-01-03,LouieGohmertTX1,2016-01-01,62,2016
IsD-CA48,"Issa, Darrell E.",M,1953-11-01,Republican,CA,48,109,51,2005-01-03,2007-01-03,repdarrellissa,2009-08-01,55,2009
ChS-OH01,"Chabot, Steve",M,1953-01-22,Republican,OH,1,109,51,2005-01-03,2007-01-03,RepSteveChabot,2011-01-01,57,2011
GuL-IL04,"Gutierrez, Luis V.",M,1953-12-10,Democratic,IL,4,109,51,2005-01-03,2007-01-03,RepGutierrez,2009-05-01,55,2009
CaD-MI04,"Camp, Dave",M,1953-07-09,Republican,MI,4,109,51,2005-01-03,2007-01-03,,,,
MeG-NY05,"Meeks, Gregory W.",M,1953-09-25,Democratic,NY,5,109,51,2005-01-03,2007-01-03,RepGregoryMeeks,2009-03-01,55,2009
WeD-FL15,"Weldon, Dave",M,1953-08-31,Republican,FL,15,109,51,2005-01-03,2007-01-03,DrDaveWeldon,2012-05-01,58,2012
MeR-NJ13,"Menendez, Robert",M,1954-01-01,Democratic,NJ,13,109,51,2005-01-03,2007-01-03,RepMenendez,2022-12-01,68,2022
GoB-VA06,"Goodlatte, Bob",M,1952-09-22,Republican,VA,6,109,52,2005-01-03,2007-01-03,RepGoodlatte,2009-05-01,56,2009
RoS-NJ09,"Rothman, Steven R.",M,1952-10-14,Democratic,NJ,9,109,52,2005-01-03,2007-01-03,CongRothman,2011-09-01,58,2011
BlM-TN07,"Blackburn, Marsha",F,1952-06-06,Republican,TN,7,109,52,2005-01-03,2007-01-03,MarshaBlackburn,2011-04-01,58,2011
FoJ-VA04,"Forbes, J. Randy",M,1952-02-17,Republican,VA,4,109,52,2005-01-03,2007-01-03,Randy_Forbes,2008-06-01,56,2008
BrS-OH13,"Brown, Sherrod",M,1952-11-09,Democratic,OH,13,109,52,2005-01-03,2007-01-03,SenSherrodBrown,2009-06-01,56,2009
BrJ-NH01,"Bradley, Jeb",M,1952-10-20,Republican,NH,1,109,52,2005-01-03,2007-01-03,SenJeb,2010-03-01,57,2010
DrD-CA26,"Dreier, David",M,1952-07-05,Republican,CA,26,109,52,2005-01-03,2007-01-03,,,,
RoI-FL27,"Ros-Lehtinen, Ileana",F,1952-07-15,Republican,FL,27,109,52,2005-01-03,2007-01-03,RosLehtinen,2008-04-01,55,2008
StB-MI01,"Stupak, Bart",M,1952-02-29,Democratic,MI,1,109,52,2005-01-03,2007-01-03,,,,
CaE-HI01,"Case, Ed",M,1952-09-27,Democratic,HI,1,109,52,2005-01-03,2007-01-03,RepEdCase,2019-01-01,66,2019
CoJ-CA21,"Costa, Jim",M,1952-04-13,Democratic,CA,21,109,52,2005-01-03,2007-01-03,RepJimCosta,2011-01-01,58,2011
PoE-ND00,"Pomeroy, Earl",M,1952-09-02,Democratic,ND,0,109,52,2005-01-03,2007-01-03,,,,
MuT-PA18,"Murphy, Tim",M,1952-09-11,Republican,PA,18,109,52,2005-01-03,2007-01-03,,,,
CoC-CA48,"Cox, Christopher",M,1952-10-16,Republican,CA,48,109,52,2005-01-03,2007-01-03,,,,
TiT-KS04,"Tiahrt, Todd",M,1951-06-15,Republican,KS,4,109,53,2005-01-03,2007-01-03,,,,
PaF-NJ06,"Pallone, Frank, Jr.",M,1951-10-30,Democratic,NJ,6,109,53,2005-01-03,2007-01-03,FrankPallone,2009-04-01,57,2009
CaM-MA07,"Capuano, Michael E.",M,1952-01-09,Democratic,MA,7,109,53,2005-01-03,2007-01-03,mikecapuano,2009-09-01,57,2009
MoG-WI04,"Moore, Gwen",F,1951-04-18,Democratic,WI,4,109,53,2005-01-03,2007-01-03,RepGwenMoore,2009-01-01,57,2009
TiJ-MA06,"Tierney, John F.",M,1951-09-18,Democratic,MA,6,109,53,2005-01-03,2007-01-03,RepTierney,2011-10-01,60,2011
ThM-CA04,"Thompson, Mike",M,1951-01-24,Democratic,CA,4,109,53,2005-01-03,2007-01-03,RepThompson,2011-05-01,60,2011
BeS-NV01,"Berkley, Shelley",F,1951-01-20,Democratic,NV,1,109,53,2005-01-03,2007-01-03,Berkley4Senate,2011-04-01,60,2011
WyA-MD04,"Wynn, Albert Russell",M,1951-09-10,Democratic,MD,4,109,53,2005-01-03,2007-01-03,,,,
EvL-IL17,"Evans, Lane",M,1951-08-04,Democratic,IL,17,109,53,2005-01-03,2007-01-03,,,,
TaE-CA10,"Tauscher, Ellen O.",F,1951-11-15,Democratic,CA,10,109,53,2005-01-03,2007-01-03,,,,
CuE-MD07,"Cummings, Elijah E.",M,1951-01-18,Democratic,MD,7,109,53,2005-01-03,2007-01-03,RepCummings,2012-08-01,61,2012
ScJ-OH02,"Schmidt, Jean",F,1951-11-29,Republican,OH,2,109,53,2005-01-03,2007-01-03,,,,
WiR-MS01,"Wicker, Roger F.",M,1951-07-05,Republican,MS,1,109,53,2005-01-03,2007-01-03,SenatorWicker,2011-03-01,59,2011
BaC-NH02,"Bass, Charles F.",M,1952-01-08,Republican,NH,2,109,53,2005-01-03,2007-01-03,RepCharlesBass,2011-01-01,59,2011
InJ-WA01,"Inslee, Jay",M,1951-02-09,Democratic,WA,1,109,53,2005-01-03,2007-01-03,GovInslee,2013-01-01,61,2013
EdC-TX17,"Edwards, Chet",M,1951-11-24,Democratic,TX,17,109,53,2005-01-03,2007-01-03,CEdwardsTX,2016-11-01,64,2016
BiR-UT01,"Bishop, Rob",M,1951-07-13,Republican,UT,1,109,53,2005-01-03,2007-01-03,RobBishopUT,2016-03-01,64,2016
PrD-OH15,"Pryce, Deborah",F,1951-07-29,Republican,OH,15,109,53,2005-01-03,2007-01-03,,,,
BiB-CA50,"Bilbray, Brian P.",M,1951-01-28,Republican,CA,50,109,53,2005-01-03,2007-01-03,BilbrayCA50,2009-07-01,58,2009
MaK-TX24,"Marchant, Kenny",M,1951-02-23,Republican,TX,24,109,53,2005-01-03,2007-01-03,RepKenMarchant,2009-03-01,58,2009
GuG-MN01,"Gutknecht, Gil",M,1951-03-20,Republican,MN,1,109,53,2005-01-03,2007-01-03,gilgman,2014-10-01,63,2014
RoE-CA39,"Royce, Edward R.",M,1951-12-12,Republican,CA,39,109,53,2005-01-03,2007-01-03,EdRRoyce,2010-08-01,58,2010
SiA-NJ08,"Sires, Albio",M,1951-01-26,Democratic,NJ,8,109,53,2005-01-03,2007-01-03,AlbioSiresNJ,2012-04-01,61,2012
DoJ-CA04,"Doolittle, John T.",M,1950-10-30,Republican,CA,4,109,54,2005-01-03,2007-01-03,jtdoolittle1950,2014-09-01,63,2014
