UniqueID,URL,RefName,Name,Gender,DOB,State,District,StateDistID,Combined,FirstSession,Second Session,Third Session,Congress109,Congress110,Congress111,Congress112,Congress113,Congress114,Congress115,Congress116,Congress117,Congress118
JoN-CT05,https://www.congress.gov/member/nancy-johnson/J000163,"Johnson, Nancy L. - Representative","Johnson, Nancy L.",F,01/05/35,Connecticut,05,1005,CT05,1983-2007,,,109,,,,,,,,,
BiM-FL09,https://www.congress.gov/member/michael-bilirakis/B000463,"Bilirakis, Michael - Representative","Bilirakis, Michael",M,07/16/30,Florida,09,1309,FL09,1983-2007,,,109,,,,,,,,,
OwM-NY11,https://www.congress.gov/member/major-owens/O000159,"Owens, Major R. - Representative","Owens, Major R.",M,,New York,11,3811,NY11,1983-2007,,,109,,,,,,,,,
EvL-IL17,https://www.congress.gov/member/lane-evans/E000250,"Evans, Lane - Representative","Evans, Lane",M,08/04/51,Illinois,17,1917,IL17,1983-2007,,,109,,,,,,,,,
BoS-NY24,https://www.congress.gov/member/sherwood-boehlert/B000586,"Boehlert, Sherwood - Representative","Boehlert, Sherwood",M,,New York,24,3824,NY24,1983-2007,,,109,,,,,,,,,
MoA-WV01,https://www.congress.gov/member/alan-mollohan/M000844,"Mollohan, Alan B. - Representative","Mollohan, Alan B.",M,,West Virginia,01,5501,WV01,1983-2011,,,109,110,111,,,,,,,
SpJ-SC05,https://www.congress.gov/member/john-spratt/S000749,"Spratt, John M., Jr. - Representative","Spratt, John M., Jr.",M,,South Carolina,05,4905,SC05,1983-2011,,,109,110,111,,,,,,,
BoR-VA09,https://www.congress.gov/member/rick-boucher/B000657,"Boucher, Rick - Representative","Boucher, Rick",M,,Virginia,09,5209,VA09,1983-2011,,,109,110,111,,,,,,,
OrS-TX27,https://www.congress.gov/member/solomon-ortiz/O000107,"Ortiz, Solomon P. - Representative","Ortiz, Solomon P.",M,,Texas,27,5327,TX27,1983-2011,,,109,110,111,,,,,,,
BuD-IN05,https://www.congress.gov/member/dan-burton/B001149,"Burton, Dan - Representative","Burton, Dan",M,06/21/38,Indiana,05,2005,IN05,1983-2013,,,109,110,111,112,,,,,,
AcG-NY05,https://www.congress.gov/member/gary-ackerman/A000022,"Ackerman, Gary L. - Representative","Ackerman, Gary L.",M,,New York,05,3805,NY05,1983-2013,,,109,110,111,112,,,,,,
ToE-NY10,https://www.congress.gov/member/edolphus-towns/T000326,"Towns, Edolphus - Representative","Towns, Edolphus",M,,New York,10,3810,NY10,1983-2013,,,109,110,111,112,,,,,,
BeH-CA28,https://www.congress.gov/member/howard-berman/B000410,"Berman, Howard L. - Representative","Berman, Howard L.",,,California,28,0828,CA28,1983-2013,,,109,110,111,112,,,,,,
LeS-MI09,https://www.congress.gov/member/sander-levin/L000263,"Levin, Sander M. - Representative","Levin, Sander M.",M,09/06/31,Michigan,09,2809,MI09,1983-2019,,,109,110,111,112,113,114,115,,,
KaM-OH09,https://www.congress.gov/member/marcy-kaptur/K000009,"Kaptur, Marcy - Representative","Kaptur, Marcy",,,Ohio,09,4209,OH09,1983-2024,,,109,110,111,112,113,114,115,116,117,118
KoJ-AZ08,https://www.congress.gov/member/jim-kolbe/K000306,"Kolbe, Jim - Representative","Kolbe, Jim",,,Arizona,08,0408,AZ08,1985-2007,,,109,,,,,,,,,
DeT-TX22,https://www.congress.gov/member/tom-delay/D000217,"DeLay, Tom - Representative","DeLay, Tom",M,,Texas,22,5322,TX22,1985-2007,,,109,,,,,,,,,
SaJ-NJ03,https://www.congress.gov/member/h-saxton/S000097,"Saxton, Jim - Representative","Saxton, Jim",M,,New Jersey,03,3603,NJ03,1985-2009,,,109,110,,,,,,,,
GoB-TN06,https://www.congress.gov/member/bart-gordon/G000309,"Gordon, Bart - Representative","Gordon, Bart",M,,Tennessee,06,5106,TN06,1985-2011,,,109,110,111,,,,,,,
KaP-PA11,https://www.congress.gov/member/paul-kanjorski/K000008,"Kanjorski, Paul E. - Representative","Kanjorski, Paul E.",M,,Pennsylvania,11,4611,PA11,1985-2011,,,109,110,111,,,,,,,
CoH-NC06,https://www.congress.gov/member/howard-coble/C000556,"Coble, Howard - Representative","Coble, Howard",M,03/18/31,North Carolina,06,3906,NC06,1985-2015,,,109,110,111,112,113,,,,,
BaJ-TX06,https://www.congress.gov/member/joe-barton/B000213,"Barton, Joe - Representative","Barton, Joe",M,,Texas,06,5306,TX06,1985-2019,,,109,110,111,112,113,114,115,,,
ViP-IN01,https://www.congress.gov/member/peter-visclosky/V000108,"Visclosky, Peter J. - Representative","Visclosky, Peter J.",M,08/13/49,Indiana,01,2001,IN01,1985-2021,,,109,110,111,112,113,114,115,116,,
CaB-MD03,https://www.congress.gov/member/ben-cardin/C000141,"Cardin, Benjamin L. - Senator","Cardin, Benjamin L.",M,10/05/43,Maryland,03,2603,MD03,1987-2007,,,109,,,,,,,,,
HeJ-CO05,https://www.congress.gov/member/joel-hefley/H000444,"Hefley, Joel - Representative","Hefley, Joel",M,04/18/35,Colorado,05,0905,CO05,1987-2007,,,109,,,,,,,,,
WeC-PA07,https://www.congress.gov/member/curt-weldon/W000268,"Weldon, Curt - Representative","Weldon, Curt",M,,Pennsylvania,07,4607,PA07,1987-2007,,,109,,,,,,,,,
HaJ-IL14,https://www.congress.gov/member/j-hastert/H000323,"Hastert, J. Dennis - Representative","Hastert, J. Dennis",M,01/02/42,Illinois,14,1914,IL14,1987-2007,,,109,,,,,,,,,
BaR-LA06,https://www.congress.gov/member/richard-baker/B000072,"Baker, Richard H. - Representative","Baker, Richard H.",M,05/22/48,Louisiana,06,2406,LA06,1987-2008,,,109,110,,,,,,,,
ShC-CT04,https://www.congress.gov/member/christopher-shays/S001144,"Shays, Christopher - Representative","Shays, Christopher",M,10/18/45,Connecticut,04,1004,CT04,1987-2009,,,109,110,,,,,,,,
McJ-LA04,https://www.congress.gov/member/jim-mccrery/M000388,"McCrery, Jim - Representative","McCrery, Jim",M,09/18/49,Louisiana,04,2404,LA04,1987-2011,,,109,110,111,,,,,,,
HeW-CA02,https://www.congress.gov/member/wally-herger/H000528,"Herger, Wally - Representative","Herger, Wally",,,California,02,0802,CA02,1987-2013,,,109,110,111,112,,,,,,
CoJ-IL12,https://www.congress.gov/member/jerry-costello/C000794,"Costello, Jerry F. - Representative","Costello, Jerry F.",M,09/25/49,Illinois,12,1912,IL12,1987-2013,,,109,110,111,112,,,,,,
GaE-CA24,https://www.congress.gov/member/elton-gallegly/G000021,"Gallegly, Elton - Representative","Gallegly, Elton",,,California,24,0824,CA24,1987-2013,,,109,110,111,112,,,,,,
SlL-NY25,https://www.congress.gov/member/louise-slaughter/S000480,"Slaughter, Louise McIntosh - Representative","Slaughter, Louise McIntosh",M,,New York,25,3825,NY25,1987-2018,,,109,110,111,112,113,114,115,,,
DuJ-TN02,https://www.congress.gov/member/john-duncan/D000533,"Duncan, John J., Jr. - Representative","Duncan, John J., Jr.",M,,Tennessee,02,5102,TN02,1987-2019,,,109,110,111,112,113,114,115,,,
SmL-TX21,https://www.congress.gov/member/lamar-smith/S000583,"Smith, Lamar - Representative","Smith, Lamar",M,,Texas,21,5321,TX21,1987-2019,,,109,110,111,112,113,114,115,,,
LeJ-GA05,https://www.congress.gov/member/john-lewis/L000287,"Lewis, John - Representative","Lewis, John",M,02/21/40,Georgia,05,1505,GA05,1987-2020,,,109,110,111,112,113,114,115,116,,
DeP-OR04,https://www.congress.gov/member/peter-defazio/D000191,"DeFazio, Peter A. - Representative","DeFazio, Peter A.",M,,Oregon,04,4504,OR04,1987-2023,,,109,110,111,112,113,114,115,116,117,
UpF-MI06,https://www.congress.gov/member/fred-upton/U000031,"Upton, Fred - Representative","Upton, Fred",M,04/23/53,Michigan,06,2806,MI06,1987-2023,,,109,110,111,112,113,114,115,116,117,
PaF-NJ06,https://www.congress.gov/member/frank-pallone/P000034,"Pallone, Frank, Jr. - Representative","Pallone, Frank, Jr.",M,,New Jersey,06,3606,NJ06,1987-2024,,,109,110,111,112,113,114,115,116,117,118
PeN-CA11,https://www.congress.gov/member/nancy-pelosi/P000197,"Pelosi, Nancy - Representative","Pelosi, Nancy",,,California,11,0811,CA11,1987-2024,,,109,110,111,112,113,114,115,116,117,118
GiP-OH05,https://www.congress.gov/member/paul-gillmor/G000210,"Gillmor, Paul E. - Representative","Gillmor, Paul E.",M,,Ohio,05,4205,OH05,1989-2007,,,109,,,,,,,,,
CoC-CA48,https://www.congress.gov/member/christopher-cox/C000830,"Cox, Christopher - Representative","Cox, Christopher",M,10/16/52,California,48,0848,CA48,1989-2007,,,109,,,,,,,,,
McM-NY21,https://www.congress.gov/member/michael-mcnulty/M000590,"McNulty, Michael R. - Representative","McNulty, Michael R.",M,,New York,21,3821,NY21,1989-2009,,,109,110,,,,,,,,
WaJ-NY25,https://www.congress.gov/member/james-walsh/W000099,"Walsh, James T. - Representative","Walsh, James T.",M,,New York,25,3825,NY25,1989-2009,,,109,110,,,,,,,,
TaG-MS04,https://www.congress.gov/member/gene-taylor/T000074,"Taylor, Gene - Representative","Taylor, Gene",M,09/17/53,Mississippi,04,3004,MS04,1989-2011,,,109,110,111,,,,,,,
TaJ-TN08,https://www.congress.gov/member/john-tanner/T000038,"Tanner, John S. - Representative","Tanner, John S.",M,,Tennessee,08,5108,TN08,1989-2011,,,109,110,111,,,,,,,
PaSrD-NJ10,https://www.congress.gov/member/donald-payne/P000149,"Payne, Donald M. - Representative","Payne, Donald M.",M,,New Jersey,10,3610,NJ10,1989-2012,,,109,110,111,112,,,,,,
StC-FL06,https://www.congress.gov/member/cliff-stearns/S000822,"Stearns, Cliff - Representative","Stearns, Cliff",M,04/16/41,Florida,06,1306,FL06,1989-2013,,,109,110,111,112,,,,,,
AnR-NJ01,https://www.congress.gov/member/robert-andrews/A000210,"Andrews, Robert E. - Representative","Andrews, Robert E.",M,08/04/57,New Jersey,01,3601,NJ01,1989-2014,,,109,110,111,112,113,,,,,
FaE-AS00,https://www.congress.gov/member/eni-faleomavaega/F000010,"Faleomavaega, Eni F. H. - Delegate","Faleomavaega, Eni F. H.",M,,American Samoa,00,0600,AS00,1989-2015,,,109,110,111,112,113,,,,,
McJ-WA07,https://www.congress.gov/member/jim-mcdermott/M000404,"McDermott, Jim - Representative","McDermott, Jim",M,,Washington,07,5407,WA07,1989-2017,,,109,110,111,112,113,114,,,,
RoI-FL27,https://www.congress.gov/member/ileana-ros-lehtinen/R000435,"Ros-Lehtinen, Ileana - Representative","Ros-Lehtinen, Ileana",F,07/15/52,Florida,27,1327,FL27,1989-2019,,,109,110,111,112,113,114,115,,,
RoD-CA48,https://www.congress.gov/member/dana-rohrabacher/R000409,"Rohrabacher, Dana - Representative","Rohrabacher, Dana",M,06/21/47,California,48,0848,CA48,1989-2019,,,109,110,111,112,113,114,115,,,
SeJ-NY15,https://www.congress.gov/member/jose-serrano/S000248,"Serrano, Jose E. - Representative","Serrano, Jose E.",M,,New York,15,3815,NY15,1989-2021,,,109,110,111,112,113,114,115,116,,
EnE-NY16,https://www.congress.gov/member/eliot-engel/E000179,"Engel, Eliot L. - Representative","Engel, Eliot L.",M,,New York,16,3816,NY16,1989-2021,,,109,110,111,112,113,114,115,116,,
LoN-NY17,https://www.congress.gov/member/nita-lowey/L000480,"Lowey, Nita M. - Representative","Lowey, Nita M.",F,,New York,17,3817,NY17,1989-2021,,,109,110,111,112,113,114,115,116,,
NeR-MA01,https://www.congress.gov/member/richard-neal/N000015,"Neal, Richard E. - Representative","Neal, Richard E.",M,02/14/49,Massachusetts,01,2701,MA01,1989-2024,,,109,110,111,112,113,114,115,116,117,118
SaB-VT00,https://www.congress.gov/member/bernard-sanders/S000033,"Sanders, Bernard - Senator","Sanders, Bernard",M,,Vermont,00,5600,VT00,1991-2007,,,109,,,,,,,,,
NuJ-IA01,https://www.congress.gov/member/jim-nussle/N000172,"Nussle, Jim - Representative","Nussle, Jim",M,06/27/60,Iowa,01,2101,IA01,1991-2007,,,109,,,,,,,,,
TaC-NC11,https://www.congress.gov/member/charles-taylor/T000067,"Taylor, Charles H. - Representative","Taylor, Charles H.",M,01/23/41,North Carolina,11,3911,NC11,1991-2007,,,109,,,,,,,,,
CuR-CA50,https://www.congress.gov/member/randy-cunningham/C000994,"Cunningham, Randy (Duke) - Representative","Cunningham, Randy (Duke)",M,12/08/41,California,50,0850,CA50,1991-2007,,,109,,,,,,,,,
GiW-MD01,https://www.congress.gov/member/wayne-gilchrest/G000180,"Gilchrest, Wayne T. - Representative","Gilchrest, Wayne T.",M,04/15/46,Maryland,01,2601,MD01,1991-2009,,,109,110,,,,,,,,
JeW-LA02,https://www.congress.gov/member/william-jefferson/J000070,"Jefferson, William J. - Representative","Jefferson, William J.",M,03/14/47,Louisiana,02,2402,LA02,1991-2009,,,109,110,,,,,,,,
RaJ-MN03,https://www.congress.gov/member/jim-ramstad/R000033,"Ramstad, Jim - Representative","Ramstad, Jim",M,05/06/46,Minnesota,03,2903,MN03,1991-2009,,,109,110,,,,,,,,
DoJ-CA04,https://www.congress.gov/member/john-doolittle/D000429,"Doolittle, John T. - Representative","Doolittle, John T.",,,California,04,0804,CA04,1991-2009,,,109,110,,,,,,,,
CrR-AL05,https://www.congress.gov/member/robert-cramer/C000868,"Cramer, Robert E. (Bud), Jr. - Representative","Cramer, Robert E. (Bud), Jr.",,,Alabama,05,0105,AL05,1991-2009,,,109,110,,,,,,,,
HoD-OH07,https://www.congress.gov/member/david-hobson/H000666,"Hobson, David L. - Representative","Hobson, David L.",M,,Ohio,07,4207,OH07,1991-2009,,,109,110,,,,,,,,
AbN-HI01,https://www.congress.gov/member/neil-abercrombie/A000014,"Abercrombie, Neil - Representative","Abercrombie, Neil",M,06/26/38,Hawaii,01,1701,HI01,1991-2011,,,109,110,111,,,,,,,
EdC-TX17,https://www.congress.gov/member/chet-edwards/E000063,"Edwards, Chet - Representative","Edwards, Chet",M,,Texas,17,5317,TX17,1991-2011,,,109,110,111,,,,,,,
OlJ-MA01,https://www.congress.gov/member/john-olver/O000085,"Olver, John W. - Representative","Olver, John W.",M,09/03/36,Massachusetts,01,2701,MA01,1991-2013,,,109,110,111,112,,,,,,
CaD-MI04,https://www.congress.gov/member/dave-camp/C000071,"Camp, Dave - Representative","Camp, Dave",M,07/09/53,Michigan,04,2804,MI04,1991-2015,,,109,110,111,112,113,,,,,
PaE-AZ07,https://www.congress.gov/member/ed-pastor/P000099,"Pastor, Ed - Representative","Pastor, Ed",,,Arizona,07,0407,AZ07,1991-2015,,,109,110,111,112,113,,,,,
BoJ-OH08,https://www.congress.gov/member/john-boehner/B000589,"Boehner, John A. - Representative","Boehner, John A.",M,,Ohio,08,4208,OH08,1991-2015,,,109,110,111,112,113,,,,,
MoJ-VA08,https://www.congress.gov/member/james-moran/M000933,"Moran, James P. - Representative","Moran, James P.",M,,Virginia,08,5208,VA08,1991-2015,,,109,110,111,112,113,,,,,
JoS-TX03,https://www.congress.gov/member/sam-johnson/J000174,"Johnson, Sam - Representative","Johnson, Sam",M,,Texas,03,5303,TX03,1991-2019,,,109,110,111,112,113,114,115,,,
PeC-MN07,https://www.congress.gov/member/collin-peterson/P000258,"Peterson, Collin C. - Representative","Peterson, Collin C.",M,06/29/44,Minnesota,07,2907,MN07,1991-2021,,,109,110,111,112,113,114,115,116,,
NoE-DC00,https://www.congress.gov/member/eleanor-norton/N000147,"Norton, Eleanor Holmes - Delegate","Norton, Eleanor Holmes",F,,District of Columbia,00,1200,DC00,1991-2024,,,109,110,111,112,113,114,115,116,117,118
DeR-CT03,https://www.congress.gov/member/rosa-delauro/D000216,"DeLauro, Rosa L. - Representative","DeLauro, Rosa L.",F,03/02/43,Connecticut,03,1003,CT03,1991-2024,,,109,110,111,112,113,114,115,116,117,118
NaJ-NY12,https://www.congress.gov/member/jerrold-nadler/N000002,"Nadler, Jerrold - Representative","Nadler, Jerrold",M,06/13/47,New York,12,3812,NY12,1991-2024,,,109,110,111,112,113,114,115,116,117,118
WaM-CA43,https://www.congress.gov/member/maxine-waters/W000187,"Waters, Maxine - Representative","Waters, Maxine",,,California,43,0843,CA43,1991-2024,,,109,110,111,112,113,114,115,116,117,118
MeR-NJ13,https://www.congress.gov/member/robert-menendez/M000639,"Menendez, Robert - Senator","Menendez, Robert",,,New Jersey,13,3613,NJ13,1993-2006,,,109,,,,,,,,,
PoR-OH02,https://www.congress.gov/member/rob-portman/P000449,"Portman, Rob - Senator","Portman, Rob",M,,Ohio,02,4202,OH02,1993-2007,,,109,,,,,,,,,
MeM-MA05,https://www.congress.gov/member/martin-meehan/M000627,"Meehan, Martin T. - Representative","Meehan, Martin T.",M,12/30/56,Massachusetts,05,2705,MA05,1993-2007,,,109,,,,,,,,,
IsE-OK05,https://www.congress.gov/member/ernest-istook/I000047,"Istook, Ernest J., Jr. - Representative","Istook, Ernest J., Jr.",M,,Oklahoma,05,4405,OK05,1993-2007,,,109,,,,,,,,,
PoR-CA11,https://www.congress.gov/member/richard-pombo/P000419,"Pombo, Richard W. - Representative","Pombo, Richard W.",,,California,11,0811,CA11,1993-2007,,,109,,,,,,,,,
BrS-OH13,https://www.congress.gov/member/sherrod-brown/B000944,"Brown, Sherrod - Senator","Brown, Sherrod",M,,Ohio,13,4213,OH13,1993-2007,,,109,,,,,,,,,
BoH-TX23,https://www.congress.gov/member/henry-bonilla/B000617,"Bonilla, Henry - Representative","Bonilla, Henry",M,,Texas,23,5323,TX23,1993-2007,,,109,,,,,,,,,
WyA-MD04,https://www.congress.gov/member/albert-wynn/W000784,"Wynn, Albert Russell - Representative","Wynn, Albert Russell",M,09/10/51,Maryland,04,2604,MD04,1993-2008,,,109,110,,,,,,,,
EvT-AL02,https://www.congress.gov/member/terry-everett/E000268,"Everett, Terry - Representative","Everett, Terry",,,Alabama,02,0102,AL02,1993-2009,,,109,110,,,,,,,,
LeR-KY02,https://www.congress.gov/member/ron-lewis/L000293,"Lewis, Ron - Representative","Lewis, Ron",M,09/14/46,Kentucky,02,2302,KY02,1993-2009,,,109,110,,,,,,,,
KnJ-MI09,https://www.congress.gov/member/joe-knollenberg/K000288,"Knollenberg, Joe - Representative","Knollenberg, Joe",M,11/28/33,Michigan,09,2809,MI09,1993-2009,,,109,110,,,,,,,,
PrD-OH15,https://www.congress.gov/member/deborah-pryce/P000555,"Pryce, Deborah - Representative","Pryce, Deborah",F,,Ohio,15,4215,OH15,1993-2009,,,109,110,,,,,,,,
McJ-NY23,https://www.congress.gov/member/john-mchugh/M000472,"McHugh, John M. - Representative","McHugh, John M.",M,,New York,23,3823,NY23,1993-2009,,,109,110,,,,,,,,
DeN-GA09,https://www.congress.gov/member/nathan-deal/D000168,"Deal, Nathan - Representative","Deal, Nathan",M,08/25/42,Georgia,09,1509,GA09,1993-2010,,,109,110,111,,,,,,,
CaM-DE00,https://www.congress.gov/member/michael-castle/C000243,"Castle, Michael N. - Representative","Castle, Michael N.",M,07/02/39,Delaware,00,1100,DE00,1993-2011,,,109,110,111,,,,,,,
PoE-ND00,https://www.congress.gov/member/earl-pomeroy/P000422,"Pomeroy, Earl - Representative","Pomeroy, Earl",M,09/02/52,North Dakota,00,4000,ND00,1993-2011,,,109,110,111,,,,,,,
StB-MI01,https://www.congress.gov/member/bart-stupak/S001045,"Stupak, Bart - Representative","Stupak, Bart",M,02/29/52,Michigan,01,2801,MI01,1993-2011,,,109,110,111,,,,,,,
HoP-MI02,https://www.congress.gov/member/peter-hoekstra/H000676,"Hoekstra, Peter - Representative","Hoekstra, Peter",M,10/30/53,Michigan,02,2802,MI02,1993-2011,,,109,110,111,,,,,,,
EhV-MI03,https://www.congress.gov/member/vernon-ehlers/E000092,"Ehlers, Vernon J. - Representative","Ehlers, Vernon J.",M,02/06/34,Michigan,03,2803,MI03,1993-2011,,,109,110,111,,,,,,,
BuS-IN04,https://www.congress.gov/member/stephen-buyer/B001203,"Buyer, Steve - Representative","Buyer, Steve",M,11/26/58,Indiana,04,2004,IN04,1993-2011,,,109,110,111,,,,,,,
LiJ-GA07,https://www.congress.gov/member/john-linder/L000321,"Linder, John - Representative","Linder, John",M,09/09/42,Georgia,07,1507,GA07,1993-2011,,,109,110,111,,,,,,,
DiL-FL21,https://www.congress.gov/member/lincoln-diaz-balart/D000299,"Diaz-Balart, Lincoln - Representative","Diaz-Balart, Lincoln",M,08/13/54,Florida,21,1321,FL21,1993-2011,,,109,110,111,,,,,,,
WoL-CA06,https://www.congress.gov/member/lynn-woolsey/W000738,"Woolsey, Lynn C. - Representative","Woolsey, Lynn C.",,,California,06,0806,CA06,1993-2013,,,109,110,111,112,,,,,,
BaR-MD06,https://www.congress.gov/member/roscoe-bartlett/B000208,"Bartlett, Roscoe G. - Representative","Bartlett, Roscoe G.",M,06/03/26,Maryland,06,2606,MD06,1993-2013,,,109,110,111,112,,,,,,
