UniqueID,GovernmentURL,FullName,FirstName,LastName,Gender,DOB,Party,HouseTerms,State,StateAbr,District,CombStateDistrict,StateDistID,FirstSession,SecondSession,ThirdSession,Congress109,Congress110,Congress111,Congress112,Congress113,Congress114,Congress115,Congress116,Congress117,Congress118
McB-MN04,https://www.congress.gov/member/betty-mccollum/M001143,"McCollum, Betty",Betty,McCollum,F,07/12/54,Democratic,House: 2001-Present,Minnesota,MN,04,MN04,2704,2001-2024,,,109,110,111,112,113,114,115,116,117,118
SuB-OH13,https://www.congress.gov/member/betty-sutton/S001174,"Sutton, Betty",Betty,Sutton,F,07/31/63,Democratic,House: 2007-2013,Ohio,OH,13,OH13,3913,2007-2013,,,0,110,111,112,0,0,0,0,0,0
BiB-CA50,https://www.congress.gov/member/brian-bilbray/B000461,"Bilbray, Brian P.",Brian P.,Bilbray,M,01/28/51,Republican,"House: 1995-2001, 2005-2013",California,CA,50,CA50,0650,2005-2013,,,109,110,111,112,0,0,0,0,0,0
CaB-LA06,https://www.congress.gov/member/bill-cassidy/C001075,"Cassidy, Bill",Bill,Cassidy,M,09/28/57,Republican,House: 2009-2015,Louisiana,LA,06,LA06,2206,2009-2015,,,0,0,111,112,113,0,0,0,0,0
OwW-NY21,https://www.congress.gov/member/william-owens/O000169,"Owens, William L.",William L.,Owens,M,01/20/49,Democratic,House: 2009-2015,New York,NY,21,NY21,3621,2009-2015,,,0,0,111,112,113,0,0,0,0,0
PaB-NJ09,https://www.congress.gov/member/william-pascrell/P000096,"Pascrell, Bill, Jr.",Bill,Pascrell,M,01/25/37,Democratic,House: 1997-Present,New Jersey,NJ,09,NJ09,3409,1997-2024,,,109,110,111,112,113,114,115,116,117,118
BrR-PA01,https://www.congress.gov/member/robert-brady/B001227,"Brady, Robert A.",Robert A.,Brady,M,04/07/45,Democratic,House: 1997-2019,Pennsylvania,PA,01,PA01,4201,1997-2019,,,109,110,111,112,113,114,115,0,0,0
JiB-LA01,https://www.congress.gov/member/bobby-jindal/J000287,"Jindal, Bobby",Bobby,Jindal,M,06/10/71,Republican,House: 2005-2008,Louisiana,LA,01,LA01,2201,2005-2008,,,109,110,0,0,0,0,0,0,0,0
RuB-IL01,https://www.congress.gov/member/bobby-rush/R000515,"Rush, Bobby L.",Bobby L.,Rush,M,11/23/46,Democratic,House: 1993-2023,Illinois,IL,01,IL01,1701,1993-2023,,,109,110,111,112,113,114,115,116,117,0
ScR-VA03,https://www.congress.gov/member/robert-scott/S000185,"Scott, Robert C. ""Bobby""","Robert C. ""Bobby""",Scott,M,04/30/47,Democratic,House: 1993-Present,Virginia,VA,03,VA03,5103,1993-2024,,,109,110,111,112,113,114,115,116,117,118
FiB-CA51,https://www.congress.gov/member/bob-filner/F000116,"Filner, Bob",Bob,Filner,M,09/04/42,Democratic,House: 1993-2013,California,CA,51,CA51,0651,1993-2013,,,109,110,111,112,0,0,0,0,0,0
InB-SC04,https://www.congress.gov/member/bob-inglis/I000023,"Inglis, Bob",Bob,Inglis,M,10/11/59,Republican,"House: 1993-1999, 2005-2011",South Carolina,SC,04,SC04,4504,2005-2011,,,109,110,111,0,0,0,0,0,0,0
LaR-OH05,https://www.congress.gov/member/robert-latta/L000566,"Latta, Robert E.",Robert E.,Latta,M,04/18/56,Republican,House: 2007-Present,Ohio,OH,05,OH05,3905,2007-2024,,,0,110,111,112,113,114,115,116,117,118
NeR-OH18,https://www.congress.gov/member/bob-ney/N000081,"Ney, Robert W.",Robert W.,Ney,M,07/05/54,Republican,House: 1995-2007,Ohio,OH,18,OH18,3918,1995-2007,,,109,0,0,0,0,0,0,0,0,0
EtB-NC02,https://www.congress.gov/member/bob-etheridge/E000226,"Etheridge, Bob",Bob,Etheridge,M,08/07/41,Democratic,House: 1997-2011,North Carolina,NC,02,NC02,3702,1997-2011,,,109,110,111,0,0,0,0,0,0,0
BoN-KS02,https://www.congress.gov/member/nancy-boyda/B001258,"Boyda, Nancy E.",Nancy E.,Boyda,F,08/02/55,Democratic,House: 2007-2009,Kansas,KS,02,KS02,2002,2007-2009,,,0,110,0,0,0,0,0,0,0,0
QuB-AZ03,https://www.congress.gov/member/benjamin-quayle/Q000024,"Quayle, Benjamin",Benjamin,Quayle,M,11/03/76,Republican,House: 2011-2013,Arizona,AZ,03,AZ03,0403,2011-2013,,,0,0,0,112,0,0,0,0,0,0
ByB-AL01,https://www.congress.gov/member/bradley-byrne/B001289,"Byrne, Bradley",Bradley,Byrne,M,02/16/55,Republican,House: 2014-2021,Alabama,AL,01,AL01,0101,2014-2021,,,0,0,0,0,113,114,115,116,0,0
ShB-CA32,https://www.congress.gov/member/brad-sherman/S000344,"Sherman, Brad",Brad,Sherman,M,10/24/54,Democratic,House: 1997-Present,California,CA,32,CA32,0632,1997-2024,,,109,110,111,112,113,114,115,116,117,118
BrK-TX08,https://www.congress.gov/member/kevin-brady/B000755,"Brady, Kevin",Kevin,Brady,M,04/11/55,Republican,House: 1997-2023,Texas,TX,08,TX08,4808,1997-2023,,,109,110,111,112,113,114,115,116,117,0
LaB-MI14,https://www.congress.gov/member/brenda-lawrence/L000581,"Lawrence, Brenda L.",Brenda L.,Lawrence,F,10/18/54,Democratic,House: 2015-2023,Michigan,MI,14,MI14,2614,2015-2023,,,0,0,0,0,0,114,115,116,117,0
PoB-ME02,https://www.congress.gov/member/bruce-poliquin/P000611,"Poliquin, Bruce",Bruce,Poliquin,M,11/01/53,Republican,House: 2015-2019,Maine,ME,02,ME02,2302,2015-2019,,,0,0,0,0,0,114,115,0,0,0
OtC-ID01,https://www.congress.gov/member/c-l-otter/O000166,"Otter, C. L. (Butch)",C. L. (Butch),Otter,M,05/03/42,Republican,House: 2001-2007,Idaho,ID,01,ID01,1601,2001-2007,,,109,0,0,0,0,0,0,0,0,0
RuC-MD02,https://www.congress.gov/member/c-a-ruppersberger/R000576,"Ruppersberger, C. A. Dutch",C. A. Dutch,Ruppersberger,M,01/31/46,Democratic,House: 2003-Present,Maryland,MD,02,MD02,2402,2003-2024,,,109,110,111,112,113,114,115,116,117,118
MiC-MI10,https://www.congress.gov/member/candice-miller/M001150,"Miller, Candice S.",Candice S.,Miller,F,05/07/54,Republican,House: 2003-2017,Michigan,MI,10,MI10,2610,2003-2017,,,109,110,111,112,113,114,0,0,0,0
CuC-FL26,https://www.congress.gov/member/carlos-curbelo/C001107,"Curbelo, Carlos",Carlos,Curbelo,M,03/01/80,Republican,House: 2015-2019,Florida,FL,26,FL26,1226,2015-2019,,,0,0,0,0,0,114,115,0,0,0
BoC-GA07,https://www.congress.gov/member/carolyn-bourdeaux/B001312,"Bourdeaux, Carolyn",Carolyn,Bourdeaux,F,06/03/70,Democratic,House: 2021-2023,Georgia,GA,07,GA07,1307,2021-2023,,,0,0,0,0,0,0,0,0,117,0
McC-WA05,https://www.congress.gov/member/cathy-rodgers/M001159,"McMorris Rodgers, Cathy",Cathy,McMorris Rodgers,F,05/22/69,Republican,House: 2005-Present,Washington,WA,05,WA05,5305,2005-2024,,,109,110,111,112,113,114,115,116,117,118
RaC-NY13,https://www.congress.gov/member/charles-rangel/R000053,"Rangel, Charles B.",Charles B.,Rangel,M,06/11/30,Democratic,House: 1971-2017,New York,NY,13,NY13,3613,1971-2017,,,109,110,111,112,113,114,0,0,0,0
EdC-TX17,https://www.congress.gov/member/chet-edwards/E000063,"Edwards, Chet",Chet,Edwards,M,11/24/51,Democratic,House: 1991-2011,Texas,TX,17,TX17,4817,1991-2011,,,109,110,111,0,0,0,0,0,0,0
HaR-NC08,https://www.congress.gov/member/robin-hayes/H001029,"Hayes, Robin",Robin,Hayes,M,08/14/45,Republican,House: 1999-2009,North Carolina,NC,08,NC08,3708,1999-2009,,,109,110,0,0,0,0,0,0,0,0
McH-CA25,https://www.congress.gov/member/howard-mckeon/M000508,"McKeon, Howard P. ""Buck""","Howard P. ""Buck""",McKeon,M,09/09/38,Republican,House: 1993-2015,California,CA,25,CA25,0625,1993-2015,,,109,110,111,112,113,0,0,0,0,0
FaC-PA02,https://www.congress.gov/member/chaka-fattah/F000043,"Fattah, Chaka",Chaka,Fattah,M,11/21/56,Democratic,House: 1995-2016,Pennsylvania,PA,02,PA02,4202,1995-2016,,,109,110,111,112,113,114,0,0,0,0
CrC-FL13,https://www.congress.gov/member/charlie-crist/C001111,"Crist, Charlie",Charlie,Crist,M,07/24/56,Democratic,House: 2017-2022,Florida,FL,13,FL13,1213,2017-2022,,,0,0,0,0,0,0,115,116,117,0
PiC-ME01,https://www.congress.gov/member/chellie-pingree/P000597,"Pingree, Chellie",Chellie,Pingree,F,04/02/55,Democratic,House: 2009-Present,Maine,ME,01,ME01,2301,2009-2024,,,0,0,111,112,113,114,115,116,117,118
CaC-UT03,https://www.congress.gov/member/chris-cannon/C000116,"Cannon, Chris",Chris,Cannon,M,10/20/50,Republican,House: 1997-2009,Utah,UT,03,UT03,4903,1997-2009,,,109,110,0,0,0,0,0,0,0,0
ChC-IN02,https://www.congress.gov/member/chris-chocola/C001052,"Chocola, Chris",Chris,Chocola,M,02/24/62,Republican,House: 2003-2007,Indiana,IN,02,IN02,1802,2003-2007,,,109,0,0,0,0,0,0,0,0,0
GiC-NY19,https://www.congress.gov/member/christopher-gibson/G000564,"Gibson, Christopher P.",Christopher P.,Gibson,M,05/13/64,Republican,House: 2011-2017,New York,NY,19,NY19,3619,2011-2017,,,0,0,0,112,113,114,0,0,0,0
MuC-CT05,https://www.congress.gov/member/christopher-murphy/M001169,"Murphy, Christopher",Christopher,Murphy,M,08/03/73,Democratic,House: 2007-2013,Connecticut,CT,05,CT05,0905,2007-2013,,,0,110,111,112,0,0,0,0,0,0
VaC-MD08,https://www.congress.gov/member/chris-van-hollen/V000128,"Van Hollen, Chris",Chris,Van Hollen,M,01/10/59,Democratic,House: 2003-2017,Maryland,MD,08,MD08,2408,2003-2017,,,109,110,111,112,113,114,0,0,0,0
GaJ-IL04,https://www.congress.gov/member/jesus-garcia/G000586,"Garcia, Jesus G. ""Chuy""","Jesus G. ""Chuy""",Garcia,M,04/12/56,Democratic,House: 2019-Present,Illinois,IL,04,IL04,1704,2019-2024,,,0,0,0,0,0,0,0,116,117,118
RoC-TX23,https://www.congress.gov/member/ciro-rodriguez/R000568,"Rodriguez, Ciro D.",Ciro D.,Rodriguez,M,12/09/46,Democratic,"House: 1997-2005, 2007-2011",Texas,TX,23,TX23,4823,2007-2011,,,0,110,111,0,0,0,0,0,0,0
PeC-MN07,https://www.congress.gov/member/collin-peterson/P000258,"Peterson, Collin C.",Collin C.,Peterson,M,06/29/44,Democratic,House: 1991-2021,Minnesota,MN,07,MN07,2707,1991-2021,,,109,110,111,112,113,114,115,116,0,0
CoP-CA08,https://www.congress.gov/member/paul-cook/C001094,"Cook, Paul",Paul,Cook,M,03/03/43,Republican,House: 2013-2020,California,CA,08,CA08,0608,2013-2020,,,0,0,0,0,113,114,115,116,0,0
CoK-TX11,https://www.congress.gov/member/k-conaway/C001062,"Conaway, K. Michael",K. Michael,Conaway,M,06/11/48,Republican,House: 2005-2021,Texas,TX,11,TX11,4811,2005-2021,,,109,110,111,112,113,114,115,116,0,0
SaJ-NJ03,https://www.congress.gov/member/h-saxton/S000097,"Saxton, Jim",Jim,Saxton,M,01/22/43,Republican,House: 1985-2009,New Jersey,NJ,03,NJ03,3403,1985-2009,,,109,110,0,0,0,0,0,0,0,0
PoB-FL08,https://www.congress.gov/member/bill-posey/P000599,"Posey, Bill",Bill,Posey,M,12/18/47,Republican,House: 2009-Present,Florida,FL,08,FL08,1208,2009-2024,,,0,0,111,112,113,114,115,116,117,118
BoB-PA02,https://www.congress.gov/member/brendan-boyle/B001296,"Boyle, Brendan F.",Brendan F.,Boyle,M,02/06/77,Democratic,House: 2015-Present,Pennsylvania,PA,02,PA02,4202,2015-2024,,,0,0,0,0,0,114,115,116,117,118
HuT-KS01,https://www.congress.gov/member/tim-huelskamp/H001057,"Huelskamp, Tim",Tim,Huelskamp,M,11/11/68,Republican,House: 2011-2017,Kansas,KS,01,KS01,2001,2011-2017,,,0,0,0,112,113,114,0,0,0,0
SiM-ID02,https://www.congress.gov/member/michael-simpson/S001148,"Simpson, Michael K.",Michael K.,Simpson,M,09/08/50,Republican,House: 1999-Present,Idaho,ID,02,ID02,1602,1999-2024,,,109,110,111,112,113,114,115,116,117,118
PaS-MS04,https://www.congress.gov/member/steven-palazzo/P000601,"Palazzo, Steven M.",Steven M.,Palazzo,M,02/21/70,Republican,House: 2011-2023,Mississippi,MS,04,MS04,2804,2011-2023,,,0,0,0,112,113,114,115,116,117,0
MeL-IN06,https://www.congress.gov/member/luke-messer/M001189,"Messer, Luke",Luke,Messer,M,02/27/69,Republican,House: 2013-2019,Indiana,IN,06,IN06,1806,2013-2019,,,0,0,0,0,113,114,115,0,0,0
VaJ-NJ02,https://www.congress.gov/member/jefferson-van-drew/V000133,"Van Drew, Jefferson",Jefferson,Van Drew,M,02/23/53,Republican,House: 2019-Present,New Jersey,NJ,02,NJ02,3402,2019-2024,,,0,0,0,0,0,0,0,116,117,118
BeD-MI01,https://www.congress.gov/member/dan-benishek/B001271,"Benishek, Dan",Dan,Benishek,M,04/20/52,Republican,House: 2011-2017,Michigan,MI,01,MI01,2601,2011-2017,,,0,0,0,112,113,114,0,0,0,0
ThG-PA15,https://www.congress.gov/member/glenn-thompson/T000467,"Thompson, Glenn",Glenn,Thompson,M,07/27/59,Republican,House: 2009-Present,Pennsylvania,PA,15,PA15,4215,2009-2024,,,0,0,111,112,113,114,115,116,117,118
HiJ-GA10,https://www.congress.gov/member/jody-hice/H001071,"Hice, Jody B.",Jody B.,Hice,M,04/22/60,Republican,House: 2015-2023,Georgia,GA,10,GA10,1310,2015-2023,,,0,0,0,0,0,114,115,116,117,0
KeT-NJ07,https://www.congress.gov/member/thomas-kean/K000398,"Kean, Thomas H.",Thomas H.,Kean,M,09/05/68,Republican,House: 2023-Present,New Jersey,NJ,07,NJ07,3407,2023-2024,,,0,0,0,0,0,0,0,0,0,118
KrR-IL08,https://www.congress.gov/member/raja-krishnamoorthi/K000391,"Krishnamoorthi, Raja",Raja,Krishnamoorthi,M,07/19/73,Democratic,House: 2017-Present,Illinois,IL,08,IL08,1708,2017-2024,,,0,0,0,0,0,0,115,116,117,118
ChS-FL20,https://www.congress.gov/member/sheila-cherfilus-mccormick/C001127,"Cherfilus-McCormick, Sheila",Sheila,Cherfilus-McCormick,F,01/25/79,Democratic,House: 2022-Present,Florida,FL,20,FL20,1220,2022-2024,,,0,0,0,0,0,0,0,0,117,118
RoS-NJ09,https://www.congress.gov/member/steven-rothman/R000462,"Rothman, Steven R.",Steven R.,Rothman,M,10/14/52,Democratic,House: 1997-2013,New Jersey,NJ,09,NJ09,3409,1997-2013,,,109,110,111,112,0,0,0,0,0,0
MaC-FL14,https://www.congress.gov/member/connie-mack/M001155,"Mack, Connie",Connie,Mack,M,08/12/67,Republican,House: 2005-2013,Florida,FL,14,FL14,1214,2005-2013,,,109,110,111,112,0,0,0,0,0,0
LaC-PA17,https://www.congress.gov/member/conor-lamb/L000588,"Lamb, Conor",Conor,Lamb,M,06/27/84,Democratic,House: 2018-2023,Pennsylvania,PA,17,PA17,4217,2018-2023,,,0,0,0,0,0,0,115,116,117,0
CoJ-TN05,https://www.congress.gov/member/james-cooper/C000754,"Cooper, Jim",Jim,Cooper,M,06/19/54,Democratic,"House: 1983-1995, 2003-2023",Tennessee,TN,05,TN05,4705,2003-2023,,,109,110,111,112,113,114,115,116,117,0
ShC-CT04,https://www.congress.gov/member/christopher-shays/S001144,"Shays, Christopher",Christopher,Shays,M,10/18/45,Republican,House: 1987-2009,Connecticut,CT,04,CT04,0904,1987-2009,,,109,110,0,0,0,0,0,0,0,0
McC-GA04,https://www.congress.gov/member/cynthia-mckinney/M000523,"McKinney, Cynthia A.",Cynthia A.,McKinney,F,03/17/55,Democratic,"House: 1993-2003, 2005-2007",Georgia,GA,04,GA04,1304,2005-2007,,,109,0,0,0,0,0,0,0,0,0
BoD-OK02,https://www.congress.gov/member/dan-boren/B001254,"Boren, Dan",Dan,Boren,M,08/02/73,Democratic,House: 2005-2013,Oklahoma,OK,02,OK02,4002,2005-2013,,,109,110,111,112,0,0,0,0,0,0
BuD-IN05,https://www.congress.gov/member/dan-burton/B001149,"Burton, Dan",Dan,Burton,M,06/21/38,Republican,House: 1983-2013,Indiana,IN,05,IN05,1805,1983-2013,,,109,110,111,112,0,0,0,0,0,0
MaD-NY24,https://www.congress.gov/member/daniel-maffei/M001171,"Maffei, Daniel B.",Daniel B.,Maffei,M,07/04/68,Democratic,"House: 2009-2011, 2013-2015",New York,NY,24,NY24,3624,2009-2011,2013-2015,,0,0,111,0,113,0,0,0,0,0
BrD-VA07,https://www.congress.gov/member/dave-brat/B001290,"Brat, Dave",Dave,Brat,M,07/27/64,Republican,House: 2014-2019,Virginia,VA,07,VA07,5107,2014-2019,,,0,0,0,0,113,114,115,0,0,0
LoD-IA02,https://www.congress.gov/member/david-loebsack/L000565,"Loebsack, David",David,Loebsack,M,12/23/52,Democratic,House: 2007-2021,Iowa,IA,02,IA02,1902,2007-2021,,,0,110,111,112,113,114,115,116,0,0
CiD-RI01,https://www.congress.gov/member/david-cicilline/C001084,"Cicilline, David N.",David N.,Cicilline,M,07/15/61,Democratic,House: 2011-Present,Rhode Island,RI,01,RI01,4401,2011-2024,,,0,0,0,112,113,114,115,116,117,118
WuD-OR01,https://www.congress.gov/member/david-wu/W000793,"Wu, David",David,Wu,M,04/08/55,Democratic,House: 1999-2011,Oregon,OR,01,OR01,4101,1999-2011,,,109,110,111,0,0,0,0,0,0,0
RoD-NC02,https://www.congress.gov/member/deborah-ross/R000305,"Ross, Deborah K.",Deborah K.,Ross,F,06/20/63,Democratic,House: 2021-Present,North Carolina,NC,02,NC02,3702,2021-2024,,,0,0,0,0,0,0,0,0,117,118
ChD-VI00,https://www.congress.gov/member/donna-christensen/C000380,"Christensen, Donna M.",Donna M.,Christensen,F,09/19/45,Democratic,House: 1997-2015,Virgin Islands,VI,00,VI00,0000,1997-2015,,,109,110,111,112,113,0,0,0,0,0
RaD-IL03,https://www.congress.gov/member/delia-ramirez/R000617,"Ramirez, Delia C.",Delia C.,Ramirez,F,06/02/83,Democratic,House: 2023-Present,Illinois,IL,03,IL03,1703,2023-2024,,,0,0,0,0,0,0,0,0,0,118
KuD-OH10,https://www.congress.gov/member/dennis-kucinich/K000336,"Kucinich, Dennis J.",Dennis J.,Kucinich,M,11/08/46,Democratic,House: 1997-2013,Ohio,OH,10,OH10,3910,1997-2013,,,109,110,111,112,0,0,0,0,0,0
RoD-FL15,https://www.congress.gov/member/dennis-ross/R000593,"Ross, Dennis A.",Dennis A.,Ross,M,10/18/59,Republican,House: 2011-2019,Florida,FL,15,FL15,1215,2011-2019,,,0,0,0,112,113,114,115,0,0,0
HeD-WA10,https://www.congress.gov/member/denny-heck/H001064,"Heck, Denny",Denny,Heck,M,07/29/52,Democratic,House: 2013-2021,Washington,WA,10,WA10,5310,2013-2021,,,0,0,0,0,113,114,115,116,0,0
DeS-TN04,https://www.congress.gov/member/scott-desjarlais/D000616,"DesJarlais, Scott",Scott,DesJarlais,M,02/21/64,Republican,House: 2011-Present,Tennessee,TN,04,TN04,4704,2011-2024,,,0,0,0,112,113,114,115,116,117,118
NuD-CA22,https://www.congress.gov/member/devin-nunes/N000181,"Nunes, Devin",Devin,Nunes,M,10/01/73,Republican,House: 2003-2022,California,CA,22,CA22,0622,2003-2022,,,109,110,111,112,113,114,115,116,117,0
HaD-WA04,https://www.congress.gov/member/doc-hastings/H000329,"Hastings, Doc",Doc,Hastings,M,02/07/41,Republican,House: 1995-2015,Washington,WA,04,WA04,5304,1995-2015,,,109,110,111,112,113,0,0,0,0,0
NoD-NJ01,https://www.congress.gov/member/donald-norcross/N000188,"Norcross, Donald",Donald,Norcross,M,12/13/58,Democratic,House: 2014-Present,New Jersey,NJ,01,NJ01,3401,2014-2024,,,0,0,0,0,113,114,115,116,117,118
CaD-LA06,https://www.congress.gov/member/donald-cazayoux/C001073,"Cazayoux, Donald J., Jr.",Donald J.,Cazayoux,M,01/17/64,Democratic,House: 2008-2009,Louisiana,LA,06,LA06,2206,2008-2009,,,0,110,0,0,0,0,0,0,0,0
EdD-MD04,https://www.congress.gov/member/donna-edwards/E000290,"Edwards, Donna F.",Donna F.,Edwards,F,06/28/58,Democratic,House: 2008-2017,Maryland,MD,04,MD04,2404,2008-2017,,,0,110,111,112,113,114,0,0,0,0
