UniqueID,FullName,TwitterHandle,JoinedOn,YearJoined,CreatedAfterSession,YrAfterTwitter
InB-SC04,"Inglis, Bob",bobinglis,10/01/08,2008,,
LaR-OH05,"Latta, Robert E.",boblatta,01/01/08,2008,,
NeR-OH18,"Ney, Robert W.",bobney,09/01/08,2008,,
EtB-NC02,"Etheridge, Bob",bobretheridge,11/01/10,2010,,
BoN-KS02,"Boyda, Nancy E.",BoydaNancy,05/01/19,2019,,
QuB-AZ03,"Quayle, Benjamin",bquayle,02/01/10,2010,,
ByB-AL01,"Byrne, Bradley",BradleyByrne,05/01/09,2009,,
ShB-CA32,"Sherman, Brad",BradSherman,01/01/09,2009,,
BrK-TX08,"Brady, Kevin",bradyfortexas,05/01/12,2012,,
LaB-MI14,"Lawrence, Brenda L.",BrendaLLawrence,07/01/09,2009,,
PoB-ME02,"Poliquin, Bruce",BrucePoliquin,04/01/09,2009,,
OtC-ID01,"Otter, C. L. (Butch)",ButchOtter,04/01/09,2009,,
RuC-MD02,"Ruppersberger, C. A. Dutch",Call_Me_Dutch,01/01/11,2011,,
MiC-MI10,"Miller, Candice S.",CandiceMiller,06/01/08,2008,,
CuC-FL26,"Curbelo, Carlos",carloslcurbelo,10/01/14,2014,,
BoC-GA07,"Bourdeaux, Carolyn",Carolyn4GA7,06/01/17,2017,,
McC-WA05,"McMorris Rodgers, Cathy",cathymcmorris,01/01/08,2008,,
RaC-NY13,"Rangel, Charles B.",cbrangel,02/01/09,2009,,
EdC-TX17,"Edwards, Chet",CEdwardsTX,11/01/16,2016,,
HaR-NC08,"Hayes, Robin",ChairmanHayes,01/01/11,2011,,
McH-CA25,"McKeon, Howard P. ""Buck""",chairmanmckeon,11/01/15,2015,,
FaC-PA02,"Fattah, Chaka",chakafattah,06/01/09,2009,,
CrC-FL13,"Crist, Charlie",CharlieCrist,05/01/09,2009,,
PiC-ME01,"Pingree, Chellie",chelliepingree,06/01/08,2008,,
CaC-UT03,"Cannon, Chris",chriscanno,01/01/09,2009,,
ChC-IN02,"Chocola, Chris",ChrisChocola,07/01/12,2012,,
GiC-NY19,"Gibson, Christopher P.",ChrisGibsonNY,03/01/10,2010,,
MuC-CT05,"Murphy, Christopher",ChrisMurphyCT,05/01/10,2010,,
VaC-MD08,"Van Hollen, Chris",ChrisVanHollen,12/01/08,2008,,
GaJ-IL04,"Garcia, Jesus G. ""Chuy""",ChuyChicago,10/01/14,2014,,
RoC-TX23,"Rodriguez, Ciro D.",CiroDRodriguez,06/01/10,2010,,
PeC-MN07,"Peterson, Collin C.",collinpeterson,02/01/10,2010,,
CoP-CA08,"Cook, Paul",ColPaulCookRet,01/01/13,2013,,
CoK-TX11,"Conaway, K. Michael",ConawayTX11,05/01/11,2011,,
SaJ-NJ03,"Saxton, Jim",Cong_Jim_Saxton,04/01/15,2015,,
PoB-FL08,"Posey, Bill",congbillposey,03/01/09,2009,,
BoB-PA02,"Boyle, Brendan F.",CongBoyle,11/01/15,2015,,
HuT-KS01,"Huelskamp, Tim",CongHuelskamp,01/01/11,2011,,
SiM-ID02,"Simpson, Michael K.",CongMikeSimpson,09/01/09,2009,,
PaS-MS04,"Palazzo, Steven M.",CongPalazzo,05/01/11,2011,,
MeL-IN06,"Messer, Luke",Congress_LukeM,04/01/13,2013,,
VaJ-NJ02,"Van Drew, Jefferson",Congressman_JVD,12/01/11,2011,,
BeD-MI01,"Benishek, Dan",CongressmanDan,01/01/11,2011,,
ThG-PA15,"Thompson, Glenn",CongressmanGT,01/01/09,2009,,
HiJ-GA10,"Hice, Jody B.",CongressmanHice,01/01/15,2015,,
KeT-NJ07,"Kean, Thomas H.",CongressmanKean,12/01/22,2022,,
KrR-IL08,"Krishnamoorthi, Raja",CongressmanRaja,01/01/16,2016,,
ChS-FL20,"Cherfilus-McCormick, Sheila",CongresswomanSC,01/01/22,2022,,
RoS-NJ09,"Rothman, Steven R.",CongRothman,09/01/11,2011,,
MaC-FL14,"Mack, Connie",ConnieMackIV,03/01/09,2009,,
LaC-PA17,"Lamb, Conor",ConorLambPA,04/01/17,2017,,
CoJ-TN05,"Cooper, Jim",CoopForCongress,06/01/12,2012,,
ShC-CT04,"Shays, Christopher",CShays,05/01/08,2008,,
McC-GA04,"McKinney, Cynthia A.",cynthiamckinney,01/01/09,2009,,
BoD-OK02,"Boren, Dan",DanBorenOK,04/01/20,2020,,
BuD-IN05,"Burton, Dan",danburton,07/01/08,2008,,
MaD-NY24,"Maffei, Daniel B.",danielbmaffei,08/01/15,2015,,
BrD-VA07,"Brat, Dave",DaveBratVA7th,01/01/14,2014,,
LoD-IA02,"Loebsack, David",daveloebsack,03/01/12,2012,,
CiD-RI01,"Cicilline, David N.",davidcicilline,03/01/09,2009,,
WuD-OR01,"Wu, David",DavidWu2010,09/01/10,2010,,
RoD-NC02,"Ross, Deborah K.",DeborahRossNC,10/01/15,2015,,
ChD-VI00,"Christensen, Donna M.",DelegateDonna,03/01/11,2011,,
RaD-IL03,"Ramirez, Delia C.",DeliaRamirezIL,11/01/21,2021,,
KuD-OH10,"Kucinich, Dennis J.",Dennis_Kucinich,06/01/08,2008,,
RoD-FL15,"Ross, Dennis A.",DennisRossSEU,04/01/09,2009,,
HeD-WA10,"Heck, Denny",DennyHeck,08/01/09,2009,,
DeS-TN04,"DesJarlais, Scott",DesJarlaisTN04,01/01/11,2011,,
NuD-CA22,"Nunes, Devin",DevinNunes,07/01/09,2009,,
HaD-WA04,"Hastings, Doc",DocHastings,10/01/11,2011,,
NoD-NJ01,"Norcross, Donald",DonaldNorcross,03/01/15,2015,,
CaD-LA06,"Cazayoux, Donald J., Jr.",DonCazayoux,08/01/13,2013,,
EdD-MD04,"Edwards, Donna F.",DonnaFEdwards,08/01/12,2012,,
ShD-FL27,"Shalala, Donna E.",DonnaShalala,05/01/16,2016,,
MaD-CA07,"Matsui, Doris O.",DorisMatsui,05/01/09,2009,,
WeD-FL15,"Weldon, Dave",DrDaveWeldon,05/01/12,2012,,
DuN-FL02,"Dunn, Neal P.",DrNealDunnFL2,01/01/17,2017,,
GiP-GA11,"Gingrey, Phil",DrPhilGingrey,04/01/09,2009,,
RoD-TN01,"Roe, David P.",DrPhilRoe,06/01/09,2009,,
RoE-CA39,"Royce, Edward R.",EdRRoyce,08/01/10,2010,,
ToE-NY10,"Towns, Edolphus",EdTowns,03/01/10,2010,,
NoE-DC00,"Norton, Eleanor Holmes",EleanorNorton,03/01/09,2009,,
EsE-CT05,"Esty, Elizabeth H.",ElizabethCrypt7,04/01/21,2021,,
SyE-OH13,"Sykes, Emilia Strong",EmiliaSykesOH,09/01/13,2013,,
EnW-IL12,"Enyart, William L.",EnyartforIL12,06/01/12,2012,,
CaE-VA07,"Cantor, Eric",EricCantor,01/01/09,2009,,
PaE-MN03,"Paulsen, Erik",ErikPaulsen,11/01/08,2008,,
JeE-WV03,"Jenkins, Evan H.",EvanJenkinsWV,07/01/13,2013,,
FaB-TX27,"Farenthold, Blake",farenthold,12/01/08,2008,,
WoF-VA10,"Wolf, Frank R.",fmrRepWolf,01/01/11,2011,,
LoF-NJ02,"LoBiondo, Frank A.",FrankLoBiondoNJ,01/01/11,2011,,
PaF-NJ06,"Pallone, Frank, Jr.",FrankPallone,04/01/09,2009,,
GiG-AZ08,"Giffords, Gabrielle",GabbyGiffords,06/01/09,2009,,
VaG-NM02,"Vasquez, Gabe",Gabe_NM,10/01/13,2013,,
TaG-MS04,"Taylor, Gene",GeneTaylor4MS,03/01/14,2014,,
GeJ-PA06,"Gerlach, Jim",GerlachforPA,05/01/09,2009,,
CoG-VA11,"Connolly, Gerald E.",GerryConnolly,09/01/09,2009,,
GuG-MN01,"Gutknecht, Gil",gilgman,10/01/14,2014,,
GiK-NY20,"Gillibrand, Kirsten E.",gillibrandny,08/01/17,2017,,
BrG-FL05,"Brown-Waite, Ginny",GinnyBrownWaite,01/01/10,2010,,
BuG-NC01,"Butterfield, G. K.",GKButterfield,12/01/11,2011,,
NyG-VA02,"Nye, Glenn C.",GlennNye,08/01/08,2008,,
EmT-MN06,"Emmer, Tom",GOPmajoritywhip,12/01/14,2014,,
GiG-MT00,"Gianforte, Greg",GovGianforte,12/01/20,2020,,
InJ-WA01,"Inslee, Jay",GovInslee,01/01/13,2013,,
FaM-OK05,"Fallin, Mary",GovMaryFallin,09/01/10,2010,,
NaG-CA31,"Napolitano, Grace F.",gracenapolitano,06/01/10,2010,,
ReG-PA14,"Reschenthaler, Guy",GReschenthaler,01/01/15,2015,,
SaM-GU00,"San Nicolas, Michael F. Q.",GuamCongressman,08/01/11,2011,,
GrG-FL02,"Graham, Gwen",GwenGraham,03/01/13,2013,,
ClH-MI13,"Clarke, Hansen",HansenClarke,05/01/10,2010,,
FoH-TN09,"Ford, Harold E., Jr.",HaroldFordJr,07/01/09,2009,,
HaG-MS03,"Harper, Gregg",HarperCampaign,10/01/09,2009,,
TeH-NM02,"Teague, Harry",Harry4Congress,06/01/10,2010,,
MiH-AZ05,"Mitchell, Harry E.",HarryEMitchell,04/01/09,2009,,
HaM-PA04,"Hart, Melissa A.",HartofPgh,07/01/14,2014,,
WiH-NM01,"Wilson, Heather",HeatherAnWilson,03/01/11,2011,,
ShH-NC11,"Shuler, Heath",HeathShuler5,07/01/17,2017,,
HeJ-WA03,"Herrera Beutler, Jaime",HerreraBeutler,01/01/11,2011,,
SoH-CA32,"Solis, Hilda L.",HildaSolis,03/01/14,2014,,
HoK-OK05,"Horn, Kendra S.",HornForCongress,06/01/17,2017,,
BeH-CA28,"Berman, Howard L.",HowardBerman,11/01/11,2011,,
CoH-NC06,"Coble, Howard",HowardCoble,06/01/11,2011,,
SkI-MO04,"Skelton, Ike",IkeSkelton,01/01/10,2010,,
OmI-MN05,"Omar, Ilhan",Ilhan,01/01/19,2019,,
WaZ-TN03,"Wamp, Zach",IOWamp,04/01/17,2017,,
IsE-OK05,"Istook, Ernest J., Jr.",Istook,07/01/08,2008,,
KiJ-GA01,"Kingston, Jack",JackKingston,04/01/09,2009,,
JaS-TX18,"Jackson Lee, Sheila",JacksonLeeTX18,01/01/09,2009,,
HiJ-CT04,"Himes, James A.",jahimes,04/01/09,2009,,
HaJ-CA36,"Harman, Jane",JaneHarmanCA,08/01/22,2022,,
HaJ-CA44,"Hahn, Janice",JaniceHahn,02/01/09,2009,,
AlJ-PA04,"Altmire, Jason",jasonaltmire,03/01/11,2011,,
ChJ-UT03,"Chaffetz, Jason",jasoninthehouse,12/01/08,2008,,
ObJ-CA23,"Obernolte, Jay",JayObernolte,01/01/11,2011,,
DeJ-CA10,"Denham, Jeff",JeffDenham,02/01/09,2009,,
FlJ-AZ06,"Flake, Jeff",JeffFlake,08/01/08,2008,,
FoJ-NE01,"Fortenberry, Jeff",JeffFortenberry,01/01/09,2009,,
KiJ-VA02,"Kiggans, Jennifer A",JenKiggans,04/01/19,2019,,
MoJ-KS01,"Moran, Jerry",JerryMoran,01/01/09,2009,,
WeJ-IL11,"Weller, Jerry",JerryWeller1,12/01/13,2013,,
JoJ-OH04,"Jordan, Jim",Jim_Jordan,01/01/08,2008,,
MoJ-VA08,"Moran, James P.",Jim_Moran,06/01/09,2009,,
LaJ-RI02,"Langevin, James R.",JimLangevin,01/01/09,2009,,
NuJ-IA01,"Nussle, Jim",JimNussle,02/01/09,2009,,
ObJ-MN08,"Oberstar, James L.",JimOberstar,02/09/09,2009,,
ReJ-OH16,"Renacci, James B.",JimRenacci,02/01/14,2014,,
RyJ-KS02,"Ryun, Jim",jimryun,12/01/09,2009,,
MoJ-GU00,"Moylan, James C.",JMoylanforGuam,12/01/22,2022,,
CaJ-TX20,"Castro, Joaquin",JoaquinCastrotx,01/01/10,2010,,
CrJ-NY14,"Crowley, Joseph",JoeCrowleyNY,02/01/10,2010,,
GaJ-FL26,"Garcia, Joe",JoeGarcia,12/01/07,2007,,
KeJ-MA04,"Kennedy, Joseph P., III",joekennedy,01/01/13,2013,,
PiJ-PA16,"Pitts, Joseph R.",JoePitts4PA,02/01/10,2010,,
SeJ-NY23,"Sempolinski, Joseph",JoeSempo,01/01/21,2021,,
SeJ-PA07,"Sestak, Joe",JoeSestak,06/01/09,2009,,
BaJ-GA12,"Barrow, John",JohnBarrowMC,04/01/20,2020,,
BoJ-AR03,"Boozman, John",JohnBoozman,04/01/07,2007,,
CaJ-DE00,"Carney, John C., Jr.",JohnCarneyDE,01/01/11,2011,,
CuJ-TX07,"Culberson, John Abney",johnculberson,05/01/08,2008,,
DeJ-MD06,"Delaney, John K.",JohnDelaney,12/01/11,2011,,
DiJ-MI12,"Dingell, John D.",JohnDingell,01/01/10,2010,,
JaJ-MI10,"James, John",JohnJamesMI,05/01/17,2017,,
RaJ-TX04,"Ratcliffe, John",JohnRatcliffe,10/01/14,2014,,
YaJ-KY03,"Yarmuth, John A.",JohnYarmuth,10/01/11,2011,,
PoJ-NV03,"Porter, Jon C.",jportertweets,10/01/11,2011,,
DoJ-CA04,"Doolittle, John T.",jtdoolittle1950,09/01/14,2014,,
CaJ-TX31,"Carter, John R.",JudgeCarter,12/01/08,2008,,
PoT-TX02,"Poe, Ted",JudgeTedPoe,09/01/09,2009,,
BiJ-IL13,"Biggert, Judy",JudyBiggert,02/01/09,2009,,
AmJ-MI03,"Amash, Justin",justinamash,01/01/11,2011,,
RiK-NY04,"Rice, Kathleen M.",KathleenRice,10/01/09,2009,,
MaK-NC06,"Manning, Kathy E.",KathyManningNC,12/01/17,2017,,
DaK-PA03,"Dahlkemper, Kathleen A.",kdahlkemper,04/01/11,2011,,
ElK-MN05,"Ellison, Keith",keithellison,03/01/08,2008,,
RoK-PA12,"Rothfus, Keith J.",KeithRothfus,02/01/13,2013,,
KeR-FL08,"Keller, Ric",keller_ric,02/01/19,2019,,
CaK-CA41,"Calvert, Ken",KenCalvert,01/01/09,2009,,
MeK-FL17,"Meek, Kendrick B.",KendrickMeek,03/01/09,2009,,
BeK-MI11,"Bentivolio, Kerry L.",KerryB4Congress,07/01/12,2012,,
YoK-KS03,"Yoder, Kevin",kevinyoder,02/01/11,2011,,
SaG-MP00,"Sablan, Gregorio Kilili Camacho",Kilili_Sablan,11/01/17,2017,,
NoK-SD00,"Noem, Kristi L.",KristiNoem,02/01/10,2010,,
HaK-GA05,"Hall, Kwanza",kwanzahall,09/01/07,2007,,
ClW-MO01,"Clay, Wm. Lacy",LacyClayMO1,05/01/12,2012,,
SmL-TX21,"Smith, Lamar",LamarSmithTX21,08/01/08,2008,,
GoL-TX05,"Gooden, Lance",Lancegooden,08/01/18,2018,,
LaS-OH14,"LaTourette, Steven C.",LaTourette,01/01/09,2009,,
ZeL-NY01,"Zeldin, Lee M.",LeeMZeldin,08/01/14,2014,,
TeL-NE02,"Terry, Lee",LEETERRYNE,12/01/08,2008,,
BoL-IA03,"Boswell, Leonard L.",LeonardBoswell,02/01/09,2009,,
LeJ-MN02,"Lewis, Jason",LewisForMN,09/01/09,2009,,
DiL-FL21,"Diaz-Balart, Lincoln",LincolnDBalart,08/01/12,2012,,
LiJ-GA07,"Linder, John",linderje,12/01/13,2013,,
ChL-WY00,"Cheney, Liz",Liz_Cheney,12/01/09,2009,,
SaL-CA46,"Sanchez, Loretta",LorettaSanchez,01/01/10,2010,,
GoL-TX01,"Gohmert, Louie",LouieGohmertTX1,01/01/16,2016,,
SlL-NY25,"Slaughter, Louise McIntosh",louiseslaughter,08/01/09,2009,,
LoN-NY17,"Lowey, Nita M.",Lowey4Congress,08/01/12,2012,,
FoL-PR00,"Fortuno, Luis G.",luisfortuno51,08/01/10,2010,,
WoL-CA06,"Woolsey, Lynn C.",lynnwoolsey,04/01/09,2009,,
ThM-TX13,"Thornberry, Mac",MacTXPress,09/01/11,2011,,
MaT-NJ07,"Malinowski, Tom",Malinowski,12/01/16,2016,,
MaT-PA12,"Marino, Tom",MarinoPA10,09/01/14,2014,,
DiM-FL26,"Diaz-Balart, Mario",MarioDB,01/01/09,2009,,
AmM-NV02,"Amodei, Mark E.",MarkAmodeiNV2,11/01/11,2011,,
MeM-NC11,"Meadows, Mark",MarkMeadows,11/01/12,2012,,
SaM-SC01,"Sanford, Mark",MarkSanford,04/01/09,2009,,
UdM-CO02,"Udall, Mark",MarkUdall,08/01/07,2007,,
BlM-TN07,"Blackburn, Marsha",MarshaBlackburn,04/01/11,2011,,
McM-AZ02,"McSally, Martha",MarthaMcSallyAZ,02/01/12,2012,,
RoM-AL02,"Roby, Martha",MarthaRobyAL,12/01/10,2010,,
HeM-NM01,"Heinrich, Martin",MartinHeinrich,01/01/13,2013,,
MeM-MA05,"Meehan, Martin T.",MartyMeehan,11/01/15,2015,,
BoM-CA45,"Bono Mack, Mary",MaryBonoUSA,01/01/09,2009,,
KiM-OH15,"Kilroy, Mary Jo",MaryJoKilroy,06/01/08,2008,,
SaM-AZ05,"Salmon, Matt",MattSalmonAZ,04/01/11,2011,,
HiM-NY22,"Hinchey, Maurice D.",mauricehinchey,09/01/09,2009,,
MiM-OH07,"Miller, Max L.",MaxMillerOH,07/01/19,2019,,
FlM-TX34,"Flores, Mayra",MayraFlores2022,11/01/09,2009,,
HiM-HI02,"Hirono, Mazie K.",maziehirono,11/01/09,2009,,
MeC-LA03,"Melancon, Charlie",melancon2010,08/01/09,2009,,
LoM-UT04,"Love, Mia B.",MiaBLove,07/01/11,2011,,
BuM-TX26,"Burgess, Michael C.",michaelcburgess,08/01/08,2008,,
GrM-NY11,"Grimm, Michael G.",MichaelGrimmNY,08/01/17,2017,,
MiM-ME02,"Michaud, Michael H.",Michaud2014,06/01/13,2013,,
BaM-MN06,"Bachmann, Michele",MicheleBachmann,12/01/08,2008,,
LuM-NM01,"Lujan Grisham, Michelle",Michelle4NM,09/01/11,2011,,
MuM-SC05,"Mulvaney, Mick",MickMulvaneyOMB,07/01/17,2017,,
TrD-MI11,"Trott, David A.",MIDaveTrott,11/01/14,2014,,
PeM-IN06,"Pence, Mike",Mike_Pence,02/01/09,2009,,
BiM-MI08,"Bishop, Mike",MikeBishopMI,05/01/09,2009,,
CaM-MA07,"Capuano, Michael E.",mikecapuano,09/01/09,2009,,
KeM-PA16,"Kelly, Mike",MikeKellyPA,01/01/12,2012,,
McM-NC07,"McIntyre, Mike",MikeMcIntyreNC,06/01/09,2009,,
PoM-KS04,"Pompeo, Mike",mikepompeo,08/01/19,2019,,
RoM-AR04,"Ross, Mike",MikeRossUpdates,01/01/10,2010,,
WaM-CA45,"Walters, Mimi",MimiWaltersCA,02/01/14,2014,,
JoM-NY17,"Jones, Mondaire",MondaireJones,06/01/17,2017,,
HaN-NY19,"Hayworth, Nan A. S.",NanHayworth,01/01/11,2011,,
DeN-GA09,"Deal, Nathan",NathanDeal,06/01/09,2009,,
AbN-HI01,"Abercrombie, Neil",neilabercrombie,11/01/07,2007,,
LaN-NY23,"Langworthy, Nicholas A.",NickLangworthy,01/01/09,2009,,
LaN-TX22,"Lampson, Nick",nlampson,02/01/09,2009,,
ToN-CA35,"Torres, Norma J.",NormaJTorres,01/01/11,2011,,
VeN-NY07,"Velazquez, Nydia M.",NydiaVelazquez,07/01/10,2010,,
BrA-MD04,"Brown, Anthony G.",OAGMaryland,01/01/17,2017,,
MeP-PA07,"Meehan, Patrick",PatMeehanPA,01/01/10,2010,,
McP-NC10,"McHenry, Patrick T.",PatrickMcHenry,03/01/09,2009,,
MuP-FL18,"Murphy, Patrick",PatrickMurphyFL,03/01/11,2011,,
MuP-PA08,"Murphy, Patrick J.",PatrickMurphyPA,10/01/10,2010,,
TiP-OH12,"Tiberi, Patrick J.",PatTiberi,10/01/12,2012,,
BrP-GA10,"Broun, Paul C.",PaulBrounforGA,09/01/10,2010,,
HoP-NH02,"Hodes, Paul W.",paulhodes1,04/01/13,2013,,
KaP-PA11,"Kanjorski, Paul E.",PaulKanjorski,06/01/10,2010,,
PeS-NM02,"Pearce, Stevan",Pearce4NM,05/01/09,2009,,
PiP-PR00,"Pierluisi, Pedro R.",pedropierluisi,04/01/09,2009,,
GaP-TX23,"Gallego, Pete P.",petegallego,08/01/09,2009,,
RoP-IL06,"Roskam, Peter J.",PeterRoskam,02/01/09,2009,,
WeP-VT00,"Welch, Peter",PeterWelch,05/01/13,2013,,
SeP-TX17,"Sessions, Pete",PeteSessions,01/01/09,2009,,
KeP-RI01,"Kennedy, Patrick J.",PJK4brainhealth,04/01/12,2012,,
CaF-TX23,"Canseco, Francisco ""Quico""",QuicoCanseco,04/01/14,2014,,
EmR-IL05,"Emanuel, Rahm",RahmEmanuel,10/01/10,2010,,
HaR-TX04,"Hall, Ralph M.",RalphHallPress,02/01/13,2013,,
FoJ-VA04,"Forbes, J. Randy",Randy_Forbes,06/01/08,2008,,
NeR-TX19,"Neugebauer, Randy",RandyNeugebauer,04/01/09,2009,,
LaR-ID01,"Labrador, Raul R.",Raul_Labrador,02/01/11,2011,,
LaR-IL18,"LaHood, Ray",RayLaHood,07/01/13,2013,,
CrM-PA12,"Critz, Mark S.",realMarkCritz,02/01/10,2010,,
ReR-AZ01,"Renzi, Rick",RenziRick,02/01/19,2019,,
ClA-GA09,"Clyde, Andrew S.",Rep_Clyde,02/01/21,2021,,
JaJ-IL01,"Jackson, Jonathan L.",rep_jackson,01/01/23,2023,,
MaS-RI02,"Magaziner, Seth",Rep_Magaziner,01/01/23,2023,,
GrP-AL05,"Griffith, Parker",Rep_P_Griffith,02/01/10,2010,,
PeM-AK00,"Peltola, Mary Sattler",rep_peltola,09/01/22,2022,,
SoS-FL02,"Southerland, Steve II",Rep_Southerland,01/01/11,2011,,
StM-NM01,"Stansbury, Melanie Ann",Rep_Stansbury,06/01/21,2021,,
WoS-AR03,"Womack, Steve",rep_stevewomack,01/01/11,2011,,
BeA-FL04,"Bean, Aaron",RepAaronBean,01/01/22,2022,,
AbR-LA05,"Abraham, Ralph Lee",RepAbraham,01/01/15,2015,,
AdA-NC12,"Adams, Alma S.",RepAdams,01/01/14,2014,,
ScA-CA30,"Schiff, Adam B.",RepAdamSchiff,04/01/09,2009,,
SmA-WA09,"Smith, Adam",RepAdamSmith,03/01/09,2009,,
SmA-NE03,"Smith, Adrian",RepAdrianSmith,01/01/11,2011,,
MoA-WV02,"Mooney, Alexander X.",RepAlexMooney,01/01/15,2015,,
GrA-TX09,"Green, Al",RepAlGreen,04/01/10,2010,,
RaA-AS00,"Radewagen, Aumua Amata Coleman",RepAmata,02/01/15,2015,,
CaA-IN07,"Carson, Andre",RepAndreCarson,10/01/10,2010,,
BaA-KY06,"Barr, Andy",RepAndyBarr,01/01/13,2013,,
BiA-AZ05,"Biggs, Andy",RepAndyBiggsAZ,01/01/17,2017,,
HaA-MD01,"Harris, Andy",RepAndyHarrisMD,01/01/12,2012,,
KiA-NJ03,"Kim, Andy",RepAndyKimNJ,01/01/18,2018,,
LeA-MI09,"Levin, Andy",RepAndyLevin,01/01/19,2019,,
CrA-MN02,"Craig, Angie",RepAngieCraig,01/01/19,2019,,
EsA-CA16,"Eshoo, Anna G.",RepAnnaEshoo,02/01/11,2011,,
KuA-NH02,"Kuster, Ann M.",RepAnnieKuster,01/01/13,2013,,
WaA-MO02,"Wagner, Ann",RepAnnWagner,01/01/12,2012,,
OcA-NY14,"Ocasio-Cortez, Alexandria",RepAOC,01/01/18,2018,,
ArK-ND00,"Armstrong, Kelly",RepArmstrongND,01/01/19,2019,,
ArJ-TX19,"Arrington, Jodey C.",RepArrington,01/01/17,2017,,
HiA-IA02,"Hinson, Ashley",RepAshleyHinson,01/01/20,2020,,
AuJ-MA04,"Auchincloss, Jake",RepAuchincloss,01/01/20,2020,,
BaT-OH12,"Balderson, Troy",RepBalderson,09/01/18,2018,,
LeB-CA12,"Lee, Barbara",RepBarbaraLee,02/01/11,2011,,
BaN-CA44,"Barragan, Nanette Diaz",RepBarragan,01/01/17,2017,,
BaJ-SC03,"Barrett, J. Gresham",RepBarrett,01/01/09,2009,,
MoB-AL02,"Moore, Barry",RepBarryMoore,01/01/20,2020,,
BeJ-OH03,"Beatty, Joyce",RepBeatty,03/01/13,2013,,
BaB-VT00,"Balint, Becca",RepBeccaB,01/01/22,2022,,
ClB-VA06,"Cline, Ben",RepBenCline,01/01/18,2018,,
BeC-OR02,"Bentz, Cliff",RepBentz,01/01/21,2021,,
BeA-CA06,"Bera, Ami",RepBera,11/01/12,2012,,
VaB-TX24,"Van Duyne, Beth",RepBethVanDuyne,12/01/20,2020,,
BiS-OK05,"Bice, Stephanie I.",RepBice,12/01/20,2020,,
FoB-IL11,"Foster, Bill",RepBillFoster,01/01/13,2013,,
JoB-OH06,"Johnson, Bill",RepBillJohnson,11/01/10,2010,,
